Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.022	271.156	656.156	0.0	0.0	6.0	3.7e-07	0.00454403	0.01099586	0.0	0.0	0.00010055
Sevier	0.101	1235.855	2991.855	0.007	8.003	13.003	1.03e-06	0.01262468	0.03056281	7e-08	8.175e-05	0.00013283
Wayne	0.009	113.617	332.617	0.0	0.0	1.0	5.4e-07	0.00686176	0.02008799	0.0	0.0	6.039e-05
Williamson	0.031	1107.684	4415.684	0.004	6.15	28.15	1.3e-07	0.00478008	0.01905538	2e-08	2.654e-05	0.00012148
Lewis	0.047	95.45	153.45	0.0	0.0	1.0	3.89e-06	0.00789757	0.01269651	0.0	0.0	8.274e-05
Wilson	0.045	800.991	2902.991	0.001	1.064	23.064	3.2e-07	0.00569594	0.02064349	1e-08	7.57e-06	0.00016401
Montgomery	0.14	1117.118	2869.118	0.019	18.511	30.511	6.8e-07	0.00542422	0.01393114	9e-08	8.988e-05	0.00014815
Overton	0.057	115.757	254.757	0.0	0.0	1.0	2.58e-06	0.00524547	0.01154418	0.0	0.0	4.531e-05
Van Buren	0.001	31.528	64.528	0.0	0.455	0.455	1.7e-07	0.00546886	0.01119306	0.0	7.892e-05	7.892e-05
Lincoln	0.019	233.318	488.318	0.0	0.0	1.0	5.6e-07	0.00683876	0.01431304	0.0	0.0	2.931e-05
Henderson	0.019	457.341	926.341	0.0	0.0	0.0	6.8e-07	0.01642335	0.03326538	0.0	0.0	0.0
Loudon	0.058	462.528	1144.528	0.0	0.0	3.0	1.09e-06	0.00871806	0.02157289	0.0	0.0	5.655e-05
Washington	0.103	1254.204	2343.204	0.0	0.0	2.0	8e-07	0.00975222	0.01821988	0.0	0.0	1.555e-05
Bedford	0.029	356.735	1233.735	0.0	0.0	11.0	5.9e-07	0.00727466	0.02515875	0.0	0.0	0.00022432
Hardin	0.014	343.798	752.798	0.0	0.0	7.0	5.4e-07	0.01333791	0.02920538	0.0	0.0	0.00027157
Macon	0.119	296.366	1137.366	0.033	24.44	37.44	4.9e-06	0.01221372	0.0468727	1.36e-06	0.00100721	0.00154296
Roane	0.038	466.076	858.076	0.0	0.0	2.0	7.2e-07	0.00877072	0.01614746	0.0	0.0	3.764e-05
Fayette	0.041	329.695	971.695	0.0	0.0	8.0	1.01e-06	0.00813921	0.02398832	0.0	0.0	0.0001975
Jefferson	0.039	479.814	987.814	0.0	0.124	3.124	7.2e-07	0.00888347	0.01828879	0.0	2.3e-06	5.784e-05
Decatur	0.145	291.422	460.422	0.0	0.0	2.0	1.239e-05	0.0248951	0.03933214	0.0	0.0	0.00017085
McMinn	0.017	207.647	700.647	0.0	0.235	20.235	3.2e-07	0.00389691	0.01314905	0.0	4.41e-06	0.00037975
Smith	0.128	318.91	702.91	0.379	104.76	107.76	6.42e-06	0.01599188	0.03524772	1.901e-05	0.00525323	0.00540367
Monroe	0.163	408.292	785.292	0.034	25.182	34.182	3.52e-06	0.00880756	0.0169401	7.3e-07	0.00054322	0.00073736
Stewart	0.0	30.834	100.834	0.034	25.182	25.182	0.0	0.00227373	0.00743559	2.51e-06	0.00185694	0.00185694
Lawrence	0.045	360.767	851.767	0.0	0.0	6.0	1.03e-06	0.00824912	0.01947608	0.0	0.0	0.00013719
Marion	0.0	105.695	314.695	0.0	0.0	4.0	0.0	0.00369886	0.01101295	0.0	0.0	0.00013998
Benton	1.084	678.194	786.194	0.0	0.0	1.0	6.698e-05	0.04190522	0.04857847	0.0	0.0	6.179e-05
Cocke	0.032	389.615	801.615	0.0	0.0	1.0	8.9e-07	0.01089101	0.02240775	0.0	0.0	2.795e-05
Houston	0.007	59.7	113.7	0.0	0.0	0.0	8.5e-07	0.00722498	0.01376014	0.0	0.0	0.0
Henry	1.029	920.921	1145.921	0.0	0.0	1.0	3.18e-05	0.02846038	0.03541384	0.0	0.0	3.09e-05
Grainger	0.077	260.548	439.548	0.0	0.0	0.0	3.33e-06	0.0112572	0.01899106	0.0	0.0	0.0
Carter	0.091	466.151	899.151	0.019	16.853	21.853	1.61e-06	0.00827228	0.01595626	3.4e-07	0.00029907	0.0003878
Madison	2.513	2249.266	3178.266	0.266	112.112	125.112	2.575e-05	0.02304458	0.03256253	2.73e-06	0.00114863	0.00128182
Unicoi	0.012	148.301	287.301	0.266	112.112	112.112	6.8e-07	0.00834981	0.01617595	1.498e-05	0.00631226	0.00631226
Sequatchie	0.005	66.323	162.323	0.266	112.112	112.112	3.4e-07	0.00445839	0.01091174	1.788e-05	0.00753643	0.00753643
McNairy	0.025	307.755	631.755	0.024	26.351	31.351	9.7e-07	0.01191371	0.02445629	9.3e-07	0.00102009	0.00121365
Scott	0.144	245.527	350.527	0.024	26.351	26.351	6.53e-06	0.01114057	0.01590485	1.09e-06	0.00119565	0.00119565
Marshall	0.018	224.65	490.65	0.0	0.0	2.0	5.3e-07	0.00666954	0.0145667	0.0	0.0	5.938e-05
Dickson	0.013	372.859	981.859	0.0	0.0	1.0	2.4e-07	0.00697637	0.01837105	0.0	0.0	1.871e-05
Lake	0.117	174.069	930.069	0.0	1.04	1.04	1.579e-05	0.02348792	0.12549845	0.0	0.00014033	0.00014033
Crockett	0.091	308.291	544.291	0.0	0.0	4.0	6.35e-06	0.02151668	0.03798793	0.0	0.0	0.00027917
Claiborne	0.104	259.505	494.505	0.0	0.0	0.0	3.27e-06	0.00817184	0.01557202	0.0	0.0	0.0
Clay	0.054	91.306	155.306	0.0	0.0	0.0	7e-06	0.0118318	0.02012518	0.0	0.0	0.0
De Kalb	0.028	340.405	662.405	0.0	0.0	1.0	1.39e-06	0.01690362	0.03289329	0.0	0.0	4.966e-05
Chester	0.014	166.096	362.096	0.0	0.0	2.0	8.1e-07	0.00961426	0.02095948	0.0	0.0	0.00011577
Shelby	3.543	12066.709	33794.709	0.005	66.778	359.778	3.79e-06	0.01289503	0.03611456	1e-08	7.136e-05	0.00038448
Tipton	0.05	612.687	1735.687	0.008	8.707	17.707	8.1e-07	0.00994929	0.02818543	1.3e-07	0.00014139	0.00028754
Putnam	0.053	645.236	2246.236	0.019	20.941	33.941	6.7e-07	0.00818381	0.02848999	2.4e-07	0.0002656	0.00043049
Hickman	0.085	212.659	445.659	0.019	20.941	20.941	3.39e-06	0.00848498	0.01778155	7.6e-07	0.00083553	0.00083553
Franklin	0.135	337.143	623.143	0.017	12.591	16.591	3.22e-06	0.00804829	0.0148757	4.1e-07	0.00030057	0.00039606
Coffee	0.036	444.345	865.345	0.0	0.0	2.0	6.5e-07	0.00797747	0.01553582	0.0	0.0	3.591e-05
Trousdale	0.0	33.239	1609.239	0.0	0.0	6.0	0.0	0.00301843	0.14613503	0.0	0.0	0.00054486
Humphreys	0.023	116.2	225.2	0.0	0.014	3.014	1.24e-06	0.00628584	0.01218219	0.0	7.6e-07	0.00016304
Rutherford	0.0	1757.719	7912.719	0.001	15.707	68.707	0.0	0.0054102	0.02435507	0.0	4.835e-05	0.00021148
Hardeman	0.0	342.061	1172.061	0.0	1.639	12.639	0.0	0.01356308	0.04647347	0.0	6.499e-05	0.00050115
Blount	0.091	1113.109	2294.109	0.0	0.235	7.235	6.9e-07	0.00847444	0.01746575	0.0	1.79e-06	5.508e-05
Greene	0.068	345.81	721.81	0.001	1.161	6.161	9.8e-07	0.00500543	0.01044784	1e-08	1.68e-05	8.918e-05
Anderson	0.052	638.585	1268.585	0.01	11.059	18.059	6.8e-07	0.00834948	0.01658671	1.3e-07	0.0001446	0.00023612
Giles	0.023	276.113	630.113	0.028	29.881	39.881	7.8e-07	0.00935881	0.02135759	9.5e-07	0.00101281	0.00135176
Lauderdale	0.03	362.364	800.364	0.0	0.235	6.235	1.16e-06	0.01403152	0.03099183	0.0	9.1e-06	0.00024143
Campbell	0.11	274.897	495.897	0.0	0.0	1.0	2.78e-06	0.00694482	0.01252803	0.0	0.0	2.526e-05
Hancock	0.0	7.129	83.129	0.0	0.0	1.0	0.0	0.00108856	0.01269339	0.0	0.0	0.0001527
Union	0.012	144.472	273.472	0.0	0.0	0.0	6.1e-07	0.00733807	0.01389029	0.0	0.0	0.0
Hawkins	0.2	498.763	867.763	0.032	23.705	27.705	3.54e-06	0.00882298	0.01535049	5.7e-07	0.00041933	0.00049009
Weakley	0.719	779.749	1089.749	0.003	7.29	10.29	2.152e-05	0.0233353	0.03261257	9e-08	0.00021817	0.00030795
Perry	0.041	69.865	143.865	0.003	7.29	7.29	5.08e-06	0.00866381	0.0178404	3.7e-07	0.00090402	0.00090402
Haywood	0.035	423.516	825.516	0.008	8.707	13.707	2.02e-06	0.02443127	0.04762134	4.6e-07	0.00050228	0.00079071
Dyer	0.303	516.756	1084.756	0.035	22.002	29.002	8.12e-06	0.01384662	0.02906635	9.4e-07	0.00058955	0.00077712
Obion	0.177	603.058	1056.058	0.0	0.327	4.327	5.85e-06	0.0199246	0.0348914	0.0	1.08e-05	0.00014296
Robertson	0.051	622.378	2081.378	0.001	1.175	20.175	7.2e-07	0.00876441	0.02931023	1e-08	1.655e-05	0.00028411
Cannon	0.007	87.944	213.944	0.001	1.175	1.175	4.8e-07	0.00608104	0.01479353	7e-08	8.125e-05	8.125e-05
Bledsoe	0.392	245.458	919.458	0.0	0.0	1.0	2.657e-05	0.01663558	0.06231501	0.0	0.0	6.777e-05
Carroll	0.33	491.186	735.186	0.477	131.919	134.919	1.178e-05	0.01752984	0.0262379	1.702e-05	0.00470803	0.0048151
Morgan	0.05	99.943	190.943	0.0	0.0	1.0	2.32e-06	0.00463149	0.00884856	0.0	0.0	4.634e-05
Knox	0.251	3057.93	7165.93	0.061	65.648	102.648	5.4e-07	0.00657211	0.01540103	1.3e-07	0.00014109	0.00022061
Moore	0.092	75.11	119.11	0.061	65.648	65.648	1.435e-05	0.0117158	0.018579	9.51e-06	0.0102399	0.0102399
Meigs	0.007	87.607	186.607	0.061	65.648	65.648	5.7e-07	0.00711905	0.0151639	4.96e-06	0.00533463	0.00533463
Warren	0.048	379.345	808.345	0.012	11.732	15.732	1.17e-06	0.00927993	0.01977457	2.9e-07	0.000287	0.00038485
Johnson	33.774	9335.291	9512.291	0.012	11.732	11.732	0.00189976	0.52510355	0.53505968	6.7e-07	0.00065992	0.00065992
White	0.005	116.511	321.511	0.0	0.0	3.0	1.8e-07	0.00429819	0.01186081	0.0	0.0	0.00011067
Hamblen	0.098	1195.989	2492.989	0.033	35.297	48.297	1.52e-06	0.01852265	0.03860969	5.1e-07	0.00054666	0.00074799
Rhea	0.042	212.938	723.938	0.0	0.0	1.0	1.27e-06	0.00644407	0.0219083	0.0	0.0	3.026e-05
Sullivan	0.156	795.045	1628.045	0.023	20.637	29.637	9.9e-07	0.00504253	0.01032578	1.5e-07	0.00013089	0.00018797
Gibson	0.047	570.803	1160.803	0.379	104.76	106.76	9.6e-07	0.01163835	0.02366812	7.73e-06	0.002136	0.00217678
Grundy	0.005	62.385	164.385	0.0	0.0	2.0	3.7e-07	0.00467443	0.01231717	0.0	0.0	0.00014986
Fentress	0.027	91.784	167.784	0.0	0.0	0.0	1.48e-06	0.00503837	0.0092103	0.0	0.0	0.0
Cheatham	0.177	441.382	989.382	0.014	9.997	15.997	4.38e-06	0.01091476	0.02446604	3.5e-07	0.00024721	0.00039558
Polk	0.13	261.254	440.254	0.004	50.674	53.674	7.69e-06	0.01546065	0.02605362	2.4e-07	0.00299882	0.00317635
Bradley	0.079	968.075	2707.075	0.006	6.584	16.584	7.4e-07	0.00907057	0.02536448	6e-08	6.169e-05	0.00015539
