Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Brazoria	14.0	0.0	0.0	0.0	3.782e-05	0.0	70.0	28.0	17.5	0.0001891	7.564e-05	4.7275e-05	2020-03-22
Brazoria	16	0	0	0	4.322e-5	0	80	32	20	2.161e-4	8.644e-5	5.4025e-5	2020-03-23
Brazoria	28	0	0	0	7.563e-5	0	140	56	35	3.7815e-4	1.5126e-4	9.45375e-5	2020-03-24
Brazoria	28	0	0	0	7.563e-5	0	140	56	35	3.7815e-4	1.5126e-4	9.45375e-5	2020-03-25
Brazoria	39	0	0	0	1.0535e-4	0	195	78	48.75	5.2675e-4	2.107e-4	1.316875e-4	2020-03-26
Brazoria	39	0	0	0	1.0535e-4	0	195	78	48.75	5.2675e-4	2.107e-4	1.316875e-4	2020-03-27
Brazoria	61	0	0	0	1.6478e-4	0	305	122	76.25	8.239e-4	3.2956e-4	2.05975e-4	2020-03-28
Brazoria	61.0	0.0	0.0	0.0	0.00016478	0.0	305.0	122.0	76.25	0.0008239	0.00032956	0.000205975	2020-03-29
Brazoria	68.0	1.0	0.0	0.0	0.00018368	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-03-30
Brazoria	95.0	1.0	0.0	0.0	0.00025662	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-03-31
Brazoria	95.0	1.0	0.0	0.0	0.00025662	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-01
Brazoria	109.0	1.0	0.0	0.0	0.00029444	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-02
Brazoria	123.0	1.0	0.0	0.0	0.00033225	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-03
Brazoria	144.0	1.0	0.0	0.0	0.00038898	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-04
Brazoria	144.0	1.0	0.0	0.0	0.00038898	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-05
Brazoria	167.0	1.0	0.0	0.0	0.00045111	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-06
Brazoria	173.0	1.0	0.0	0.0	0.00046731	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-07
Brazoria	173.0	1.0	0.0	0.0	0.00046731	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-08
Brazoria	184.0	1.0	0.0	0.0	0.00049703	2.7e-06	333.333333333	153.846153846	100.0	0.0009	0.000415384615385	0.00027	2020-04-09
Brazoria	199.0	2.0	0.0	0.0	0.00053755	5.4e-06	666.666666667	307.692307692	200.0	0.0018	0.000830769230769	0.00054	2020-04-10
Brazoria	216.0	2.0	0.0	0.0	0.00058347	5.4e-06	666.666666667	307.692307692	200.0	0.0018	0.000830769230769	0.00054	2020-04-11
Brazoria	225.0	2.0	0.0	223.0	0.00060778	5.4e-06	666.666666667	307.692307692	200.0	0.0018	0.000830769230769	0.00054	2020-04-12
Brazoria	237.0	2.0	0.0	235.0	0.00064019	5.4e-06	666.666666667	307.692307692	200.0	0.0018	0.000830769230769	0.00054	2020-04-13
Brazoria	250.0	2.0	0.0	248.0	0.00067531	5.4e-06	666.666666667	307.692307692	200.0	0.0018	0.000830769230769	0.00054	2020-04-14
Brazoria	259.0	3.0	0.0	256.0	0.00069962	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-15
Brazoria	272.0	3.0	0.0	269.0	0.00073474	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-16
Brazoria	285.0	3.0	0.0	282.0	0.00076985	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-17
Brazoria	302.0	3.0	0.0	299.0	0.00081578	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-18
Brazoria	304.0	3.0	0.0	301.0	0.00082118	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-19
Brazoria	315.0	3.0	0.0	312.0	0.00085089	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-20
Brazoria	333.0	3.0	0.0	330.0	0.00089951	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-21
Brazoria	345.0	3.0	0.0	342.0	0.00093193	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-22
Brazoria	392.0	3.0	0.0	389.0	0.00105889	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-23
Brazoria	417.0	3.0	0.0	414.0	0.00112642	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-24
Brazoria	417.0	3.0	0.0	414.0	0.00112642	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-25
Brazoria	445.0	3.0	0.0	442.0	0.00120205	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-26
Brazoria	449.0	3.0	0.0	446.0	0.00121286	8.1e-06	1000.0	461.538461538	300.0	0.0027	0.00124615384615	0.00081	2020-04-27
Brazoria	464.0	5.0	0.0	459.0	0.00125338	1.351e-05	1666.66666667	769.230769231	500.0	0.00450333333333	0.00207846153846	0.001351	2020-04-28
Brazoria	476.0	6.0	0.0	470.0	0.00128579	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-04-29
Brazoria	485.0	6.0	0.0	479.0	0.0013101	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-04-30
Brazoria	509.0	6.0	0.0	503.0	0.00137493	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-05-01
Brazoria	537.0	6.0	0.0	531.0	0.00145057	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-05-02
Brazoria	542.0	6.0	0.0	536.0	0.00146407	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-05-03
Brazoria	551.0	6.0	0.0	545.0	0.00148838	1.621e-05	2000.0	923.076923077	600.0	0.00540333333333	0.00249384615385	0.001621	2020-05-04
Brazoria	566.0	7.0	0.0	559.0	0.0015289	1.891e-05	2333.33333333	1076.92307692	700.0	0.00630333333333	0.00290923076923	0.001891	2020-05-05
Brazoria	588.0	7.0	0.0	581.0	0.00158833	1.891e-05	2333.33333333	1076.92307692	700.0	0.00630333333333	0.00290923076923	0.001891	2020-05-06
Brazoria	588.0	7.0	0.0	581.0	0.00158833	1.891e-05	2333.33333333	1076.92307692	700.0	0.00630333333333	0.00290923076923	0.001891	2020-05-07
Brazoria	613.0	8.0	0.0	605.0	0.00165586	2.161e-05	2666.66666667	1230.76923077	800.0	0.00720333333333	0.00332461538462	0.002161	2020-05-08
Brazoria	644.0	9.0	0.0	635.0	0.0017396	2.431e-05	3000.0	1384.61538462	900.0	0.00810333333333	0.00374	0.002431	2020-05-09
Brazoria	656.0	9.0	0.0	647.0	0.00177202	2.431e-05	3000.0	1384.61538462	900.0	0.00810333333333	0.00374	0.002431	2020-05-10
Brazoria	661.0	9.0	0.0	652.0	0.00178552	2.431e-05	3000.0	1384.61538462	900.0	0.00810333333333	0.00374	0.002431	2020-05-11
Brazoria	673.0	9.0	0.0	664.0	0.00181794	2.431e-05	3000.0	1384.61538462	900.0	0.00810333333333	0.00374	0.002431	2020-05-12
Brazoria	686.0	9.0	0.0	677.0	0.00185305	2.431e-05	3000.0	1384.61538462	900.0	0.00810333333333	0.00374	0.002431	2020-05-13
