Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	5.058	164.058	0.0	7.0
2020-06-18	5.737	169.795	0.0	7.0
2020-06-19	6.436	176.231	0.0	7.0
2020-06-20	7.142	183.373	0.0	7.0
2020-06-21	7.845	191.218	0.0	7.0
2020-06-22	8.554	199.772	0.0	7.0
2020-06-23	9.293	209.065	0.0	7.0
2020-06-24	10.106	219.171	0.0	7.0
2020-06-25	10.918	230.089	0.0	7.0
2020-06-26	11.703	241.792	0.0	7.0
2020-06-27	12.37	254.162	0.0	7.0
2020-06-28	12.888	267.05	0.0	7.0
2020-06-29	13.186	280.236	0.0	7.0
2020-06-30	13.355	293.591	0.0	7.0
2020-07-01	13.403	306.994	0.0	7.0
2020-07-02	13.378	320.372	0.0	7.0
2020-07-03	13.255	333.627	0.0	7.0
2020-07-04	13.082	346.709	0.0	7.0
2020-07-05	12.885	359.594	0.0	7.0
2020-07-06	12.637	372.231	0.0	7.0
2020-07-07	12.338	384.569	0.0	7.0
2020-07-08	12.017	396.586	0.0	7.0
2020-07-09	11.696	408.282	0.0	7.0
2020-07-10	11.377	419.659	0.0	7.0
2020-07-11	11.083	430.742	0.0	7.0
2020-07-12	10.814	441.556	0.0	7.0
2020-07-13	10.541	452.097	0.0	7.0
2020-07-14	10.242	462.339	0.0	7.0
2020-07-15	9.917	472.256	0.0	7.0
2020-07-16	9.567	481.823	0.0	7.0
2020-07-17	9.193	491.016	0.0	7.0
2020-07-18	8.819	499.835	0.0	7.0
2020-07-19	8.445	508.28	0.0	7.0
2020-07-20	8.075	516.355	0.0	7.0
2020-07-21	7.712	524.067	0.0	7.0
2020-07-22	7.361	531.428	0.0	7.0
2020-07-23	7.014	538.442	0.0	7.0
2020-07-24	6.675	545.117	0.0	7.0
2020-07-25	6.345	551.462	0.0	7.0
2020-07-26	6.028	557.49	0.0	7.0
2020-07-27	5.719	563.209	0.0	7.0
2020-07-28	5.424	568.633	0.0	7.0
2020-07-29	5.143	573.776	0.0	7.0
2020-07-30	4.875	578.651	0.0	7.0
2020-07-31	4.617	583.268	0.0	7.0
2020-08-01	4.369	587.637	0.0	7.0
2020-08-02	4.127	591.764	0.0	7.0
2020-08-03	3.891	595.655	0.0	7.0
2020-08-04	3.656	599.311	0.0	7.0
2020-08-05	3.421	602.732	0.0	7.0
2020-08-06	3.186	605.918	0.0	7.0
2020-08-07	2.955	608.873	0.0	7.0
2020-08-08	2.741	611.614	0.0	7.0
2020-08-09	2.553	614.167	0.0	7.0
2020-08-10	2.389	616.556	0.0	7.0
2020-08-11	2.248	618.804	0.0	7.0
2020-08-12	2.126	620.93	0.0	7.0
2020-08-13	2.012	622.942	0.0	7.0
2020-08-14	1.9	624.842	0.0	7.0
2020-08-15	1.787	626.629	0.0	7.0
2020-08-16	1.675	628.304	0.0	7.0
2020-08-17	1.562	629.866	0.0	7.0
2020-08-18	1.451	631.317	0.0	7.0
2020-08-19	1.35	632.667	0.0	7.0
2020-08-20	1.259	633.926	0.0	7.0
2020-08-21	1.178	635.104	0.0	7.0
2020-08-22	1.105	636.209	0.0	7.0
2020-08-23	1.039	637.248	0.0	7.0
2020-08-24	0.973	638.221	0.0	7.0
2020-08-25	0.908	639.129	0.0	7.0
2020-08-26	0.842	639.971	0.0	7.0
2020-08-27	0.777	640.748	0.0	7.0
2020-08-28	0.711	641.459	0.0	7.0
2020-08-29	0.645	642.104	0.0	7.0
2020-08-30	0.581	642.685	0.0	7.0
2020-08-31	0.522	643.207	0.0	7.0
2020-09-01	0.467	643.674	0.0	7.0
2020-09-02	0.417	644.091	0.0	7.0
2020-09-03	0.372	644.463	0.0	7.0
2020-09-04	0.329	644.792	0.0	7.0
2020-09-05	0.286	645.078	0.0	7.0
2020-09-06	0.244	645.322	0.0	7.0
2020-09-07	0.2	645.522	0.0	7.0
2020-09-08	0.157	645.679	0.0	7.0
2020-09-09	0.111	645.79	0.0	7.0
2020-09-10	0.072	645.862	0.0	7.0
2020-09-11	0.044	645.906	0.0	7.0
2020-09-12	0.028	645.934	0.0	7.0
2020-09-13	0.018	645.952	0.0	7.0
2020-09-14	0.013	645.965	0.0	7.0
2020-09-15	0.01	645.975	0.0	7.0
2020-09-16	0.008	645.983	0.0	7.0
2020-09-17	0.006	645.989	0.0	7.0
2020-09-18	0.005	645.994	0.0	7.0
2020-09-19	0.004	645.998	0.0	7.0
2020-09-20	0.003	646.001	0.0	7.0
2020-09-21	0.0	646.001	0.0	7.0
2020-09-22	0.0	646.001	0.0	7.0
2020-09-23	0.0	646.001	0.0	7.0
2020-09-24	0.0	646.001	0.0	7.0
2020-09-25	0.0	646.001	0.0	7.0
2020-09-26	0.0	646.001	0.0	7.0
2020-09-27	0.0	646.001	0.0	7.0
2020-09-28	0.0	646.001	0.0	7.0
2020-09-29	0.0	646.001	0.0	7.0
