Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	120.2	8841.2	3.102	100.102
2020-08-03	114.93	8956.13	3.829	103.931
2020-08-04	109.771	9065.901	4.709	108.64
2020-08-05	104.766	9170.667	5.685	114.325
2020-08-06	99.827	9270.494	6.735	121.06
2020-08-07	95.007	9365.501	7.954	129.014
2020-08-08	90.314	9455.815	9.39	138.404
2020-08-09	85.792	9541.607	11.101	149.505
2020-08-10	81.393	9623.0	13.108	162.613
2020-08-11	77.2	9700.2	15.448	178.061
2020-08-12	73.202	9773.402	18.099	196.16
2020-08-13	69.391	9842.793	21.035	217.195
2020-08-14	65.718	9908.511	24.228	241.423
2020-08-15	62.178	9970.689	27.73	269.153
2020-08-16	58.744	10029.433	31.451	300.604
2020-08-17	55.375	10084.808	35.285	335.889
2020-08-18	52.035	10136.843	39.156	375.045
2020-08-19	48.694	10185.537	43.012	418.057
2020-08-20	45.35	10230.887	46.901	464.958
2020-08-21	42.065	10272.952	50.947	515.905
2020-08-22	39.018	10311.97	55.408	571.313
2020-08-23	36.333	10348.303	59.858	631.171
2020-08-24	34.0	10382.303	64.163	695.334
2020-08-25	31.994	10414.297	67.82	763.154
2020-08-26	30.254	10444.551	70.658	833.812
2020-08-27	28.639	10473.19	72.294	906.106
2020-08-28	27.038	10500.228	73.22	979.326
2020-08-29	25.436	10525.664	73.483	1052.809
2020-08-30	23.834	10549.498	73.345	1126.154
2020-08-31	22.231	10571.729	72.67	1198.824
2020-09-01	20.655	10592.384	71.725	1270.549
2020-09-02	19.219	10611.603	70.643	1341.192
2020-09-03	17.926	10629.529	69.282	1410.474
2020-09-04	16.765	10646.294	67.646	1478.12
2020-09-05	15.728	10662.022	65.883	1544.003
2020-09-06	14.787	10676.809	64.124	1608.127
2020-09-07	13.856	10690.665	62.376	1670.503
2020-09-08	12.924	10703.589	60.766	1731.269
2020-09-09	11.991	10715.58	59.291	1790.56
2020-09-10	11.057	10726.637	57.791	1848.351
2020-09-11	10.123	10736.76	56.151	1904.502
2020-09-12	9.187	10745.947	54.37	1958.872
2020-09-13	8.275	10754.222	52.452	2011.324
2020-09-14	7.426	10761.648	50.402	2061.726
2020-09-15	6.65	10768.298	48.352	2110.078
2020-09-16	5.941	10774.239	46.302	2156.38
2020-09-17	5.29	10779.529	44.272	2200.652
2020-09-18	4.678	10784.207	42.284	2242.936
2020-09-19	4.074	10788.281	40.356	2283.292
2020-09-20	3.466	10791.747	38.454	2321.746
2020-09-21	2.853	10794.6	36.597	2358.343
2020-09-22	2.229	10796.829	34.789	2393.132
2020-09-23	1.583	10798.412	33.047	2426.179
2020-09-24	1.018	10799.43	31.353	2457.532
2020-09-25	0.628	10800.058	29.738	2487.27
2020-09-26	0.396	10800.454	28.198	2515.468
2020-09-27	0.261	10800.715	26.73	2542.198
2020-09-28	0.187	10800.902	25.315	2567.513
2020-09-29	0.145	10801.047	23.951	2591.464
2020-09-30	0.115	10801.162	22.628	2614.092
2020-10-01	0.092	10801.254	21.331	2635.423
2020-10-02	0.072	10801.326	20.044	2655.467
2020-10-03	0.054	10801.38	18.757	2674.224
2020-10-04	0.04	10801.42	17.469	2691.693
2020-10-05	0.0	10801.42	16.204	2707.897
2020-10-06	0.0	10801.42	15.03	2722.927
2020-10-07	0.0	10801.42	13.996	2736.923
2020-10-08	0.0	10801.42	13.097	2750.02
2020-10-09	0.0	10801.42	12.324	2762.344
2020-10-10	0.0	10801.42	11.654	2773.998
2020-10-11	0.0	10801.42	11.032	2785.03
2020-10-12	0.0	10801.42	10.415	2795.445
2020-10-13	0.0	10801.42	9.798	2805.243
2020-10-14	0.0	10801.42	9.181	2814.424
2020-10-15	0.0	10801.42	8.563	2822.987
2020-10-16	0.0	10801.42	7.956	2830.943
2020-10-17	0.0	10801.42	7.403	2838.346
2020-10-18	0.0	10801.42	6.905	2845.251
2020-10-19	0.0	10801.42	6.458	2851.709
2020-10-20	0.0	10801.42	6.058	2857.767
2020-10-21	0.0	10801.42	5.696	2863.463
2020-10-22	0.0	10801.42	5.337	2868.8
2020-10-23	0.0	10801.42	4.978	2873.778
2020-10-24	0.0	10801.42	4.619	2878.397
2020-10-25	0.0	10801.42	4.259	2882.656
2020-10-26	0.0	10801.42	3.899	2886.555
2020-10-27	0.0	10801.42	3.539	2890.094
2020-10-28	0.0	10801.42	3.187	2893.281
2020-10-29	0.0	10801.42	2.86	2896.141
2020-10-30	0.0	10801.42	2.562	2898.703
2020-10-31	0.0	10801.42	2.288	2900.991
2020-11-01	0.0	10801.42	2.038	2903.029
2020-11-02	0.0	10801.42	1.802	2904.831
2020-11-03	0.0	10801.42	1.569	2906.4
2020-11-04	0.0	10801.42	1.335	2907.735
2020-11-05	0.0	10801.42	1.099	2908.834
2020-11-06	0.0	10801.42	0.859	2909.693
2020-11-07	0.0	10801.42	0.61	2910.303
2020-11-08	0.0	10801.42	0.392	2910.695
2020-11-09	0.0	10801.42	0.242	2910.937
2020-11-10	0.0	10801.42	0.152	2911.089
2020-11-11	0.0	10801.42	0.101	2911.19
2020-11-12	0.0	10801.42	0.072	2911.262
2020-11-13	0.0	10801.42	0.056	2911.318
2020-11-14	0.0	10801.42	0.044	2911.362
2020-11-15	0.0	10801.42	0.035	2911.397
2020-11-16	0.0	10801.42	0.028	2911.425
2020-11-17	0.0	10801.42	0.021	2911.446
