Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Garza	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-22
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-23
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-24
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-25
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-26
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-27
Garza	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-28
Garza	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-29
Garza	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-30
Garza	1.0	0.0	0.0	1.0	0.00015202	0.0	5.0	2.0	1.25	0.0007601	0.00030404	0.000190025	2020-04-30
Garza	1.0	0.0	0.0	1.0	0.00015202	0.0	5.0	2.0	1.25	0.0007601	0.00030404	0.000190025	2020-05-01
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-02
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-03
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-04
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-05
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-06
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-07
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-08
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-09
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-10
Garza	3.0	0.0	0.0	3.0	0.00045607	0.0	15.0	6.0	3.75	0.00228035	0.00091214	0.0005700875	2020-05-11
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-12
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-13
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-14
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-15
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-16
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-17
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-18
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-19
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-20
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-21
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-22
Garza	4.0	0.0	0.0	4.0	0.00060809	0.0	20.0	8.0	5.0	0.00304045	0.00121618	0.0007601125	2020-05-23
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-24
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-25
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-26
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-27
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-28
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-29
Garza	5.0	0.0	0.0	5.0	0.00076011	0.0	25.0	10.0	6.25	0.00380055	0.00152022	0.0009501375	2020-05-30
