Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	0.213	22.213	0.0	2.0
2020-08-05	0.222	22.435	0.0	2.0
2020-08-06	0.227	22.662	0.0	2.0
2020-08-07	0.23	22.892	0.0	2.0
2020-08-08	0.231	23.123	0.0	2.0
2020-08-09	0.231	23.354	0.0	2.0
2020-08-10	0.229	23.583	0.0	2.0
2020-08-11	0.226	23.809	0.0	2.0
2020-08-12	0.222	24.031	0.0	2.0
2020-08-13	0.218	24.249	0.0	2.0
2020-08-14	0.213	24.462	0.0	2.0
2020-08-15	0.207	24.669	0.0	2.0
2020-08-16	0.202	24.871	0.0	2.0
2020-08-17	0.196	25.067	0.0	2.0
2020-08-18	0.191	25.258	0.0	2.0
2020-08-19	0.187	25.445	0.0	2.0
2020-08-20	0.182	25.627	0.0	2.0
2020-08-21	0.177	25.804	0.0	2.0
2020-08-22	0.171	25.975	0.0	2.0
2020-08-23	0.165	26.14	0.0	2.0
2020-08-24	0.159	26.299	0.0	2.0
2020-08-25	0.152	26.451	0.0	2.0
2020-08-26	0.146	26.597	0.0	2.0
2020-08-27	0.139	26.736	0.0	2.0
2020-08-28	0.133	26.869	0.0	2.0
2020-08-29	0.127	26.996	0.0	2.0
2020-08-30	0.121	27.117	0.0	2.0
2020-08-31	0.115	27.232	0.0	2.0
2020-09-01	0.109	27.341	0.0	2.0
2020-09-02	0.104	27.445	0.0	2.0
2020-09-03	0.099	27.544	0.0	2.0
2020-09-04	0.094	27.638	0.0	2.0
2020-09-05	0.089	27.727	0.0	2.0
2020-09-06	0.084	27.811	0.0	2.0
2020-09-07	0.08	27.891	0.0	2.0
2020-09-08	0.075	27.966	0.0	2.0
2020-09-09	0.071	28.037	0.0	2.0
2020-09-10	0.067	28.104	0.0	2.0
2020-09-11	0.063	28.167	0.0	2.0
2020-09-12	0.059	28.226	0.0	2.0
2020-09-13	0.055	28.281	0.0	2.0
2020-09-14	0.051	28.332	0.0	2.0
2020-09-15	0.047	28.379	0.0	2.0
2020-09-16	0.044	28.423	0.0	2.0
2020-09-17	0.041	28.464	0.0	2.0
2020-09-18	0.039	28.503	0.0	2.0
2020-09-19	0.037	28.54	0.0	2.0
2020-09-20	0.035	28.575	0.0	2.0
2020-09-21	0.033	28.608	0.0	2.0
2020-09-22	0.031	28.639	0.0	2.0
2020-09-23	0.029	28.668	0.0	2.0
2020-09-24	0.027	28.695	0.0	2.0
2020-09-25	0.025	28.72	0.0	2.0
2020-09-26	0.023	28.743	0.0	2.0
2020-09-27	0.022	28.765	0.0	2.0
2020-09-28	0.02	28.785	0.0	2.0
2020-09-29	0.019	28.804	0.0	2.0
2020-09-30	0.018	28.822	0.0	2.0
2020-10-01	0.017	28.839	0.0	2.0
2020-10-02	0.016	28.855	0.0	2.0
2020-10-03	0.015	28.87	0.0	2.0
2020-10-04	0.013	28.883	0.0	2.0
2020-10-05	0.012	28.895	0.0	2.0
2020-10-06	0.011	28.906	0.0	2.0
2020-10-07	0.01	28.916	0.0	2.0
2020-10-08	0.009	28.925	0.0	2.0
2020-10-09	0.008	28.933	0.0	2.0
2020-10-10	0.007	28.94	0.0	2.0
2020-10-11	0.006	28.946	0.0	2.0
2020-10-12	0.006	28.952	0.0	2.0
2020-10-13	0.005	28.957	0.0	2.0
2020-10-14	0.004	28.961	0.0	2.0
2020-10-15	0.003	28.964	0.0	2.0
2020-10-16	0.003	28.967	0.0	2.0
2020-10-17	0.002	28.969	0.0	2.0
2020-10-18	0.001	28.97	0.0	2.0
2020-10-19	0.001	28.971	0.0	2.0
2020-10-20	0.0	28.971	0.0	2.0
2020-10-21	0.0	28.971	0.0	2.0
2020-10-22	0.0	28.971	0.0	2.0
2020-10-23	0.0	28.971	0.0	2.0
2020-10-24	0.0	28.971	0.0	2.0
2020-10-25	0.0	28.971	0.0	2.0
2020-10-26	0.0	28.971	0.0	2.0
2020-10-27	0.0	28.971	0.0	2.0
2020-10-28	0.0	28.971	0.0	2.0
