Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	98.738	1377.738	0.209	32.209
2020-06-18	105.839	1483.577	0.241	32.45
2020-06-19	111.871	1595.448	0.275	32.725
2020-06-20	116.553	1712.001	0.312	33.037
2020-06-21	119.251	1831.252	0.35	33.387
2020-06-22	120.779	1952.031	0.389	33.776
2020-06-23	121.213	2073.244	0.427	34.203
2020-06-24	120.985	2194.229	0.466	34.669
2020-06-25	119.872	2314.101	0.506	35.175
2020-06-26	118.314	2432.415	0.55	35.725
2020-06-27	116.529	2548.944	0.594	36.319
2020-06-28	114.284	2663.228	0.637	36.956
2020-06-29	111.585	2774.813	0.673	37.629
2020-06-30	108.676	2883.489	0.702	38.331
2020-07-01	105.775	2989.264	0.718	39.049
2020-07-02	102.891	3092.155	0.727	39.776
2020-07-03	100.236	3192.391	0.73	40.506
2020-07-04	97.803	3290.194	0.728	41.234
2020-07-05	95.328	3385.522	0.722	41.956
2020-07-06	92.623	3478.145	0.712	42.668
2020-07-07	89.685	3567.83	0.702	43.37
2020-07-08	86.521	3654.351	0.688	44.058
2020-07-09	83.14	3737.491	0.672	44.73
2020-07-10	79.758	3817.249	0.654	45.384
2020-07-11	76.376	3893.625	0.637	46.021
2020-07-12	73.028	3966.653	0.619	46.64
2020-07-13	69.749	4036.402	0.603	47.243
2020-07-14	66.569	4102.971	0.589	47.832
2020-07-15	63.431	4166.402	0.574	48.406
2020-07-16	60.368	4226.77	0.558	48.964
2020-07-17	57.386	4284.156	0.54	49.504
2020-07-18	54.513	4338.669	0.521	50.025
2020-07-19	51.718	4390.387	0.501	50.526
2020-07-20	49.053	4439.44	0.48	51.006
2020-07-21	46.513	4485.953	0.46	51.466
2020-07-22	44.092	4530.045	0.44	51.906
2020-07-23	41.758	4571.803	0.42	52.326
2020-07-24	39.508	4611.311	0.401	52.727
2020-07-25	37.326	4648.637	0.382	53.109
2020-07-26	35.186	4683.823	0.363	53.472
2020-07-27	33.064	4716.887	0.345	53.817
2020-07-28	30.941	4747.828	0.328	54.145
2020-07-29	28.816	4776.644	0.311	54.456
2020-07-30	26.729	4803.373	0.295	54.751
2020-07-31	24.793	4828.166	0.28	55.031
2020-08-01	23.086	4851.252	0.265	55.296
2020-08-02	21.604	4872.856	0.251	55.547
2020-08-03	20.329	4893.185	0.238	55.785
2020-08-04	19.224	4912.409	0.225	56.01
2020-08-05	18.197	4930.606	0.212	56.222
2020-08-06	17.18	4947.786	0.199	56.421
2020-08-07	16.162	4963.948	0.186	56.607
2020-08-08	15.144	4979.092	0.173	56.78
2020-08-09	14.125	4993.217	0.161	56.941
2020-08-10	13.124	5006.341	0.149	57.09
2020-08-11	12.212	5018.553	0.139	57.229
2020-08-12	11.39	5029.943	0.13	57.359
2020-08-13	10.653	5040.596	0.122	57.481
2020-08-14	9.994	5050.59	0.116	57.597
2020-08-15	9.396	5059.986	0.11	57.707
2020-08-16	8.804	5068.79	0.103	57.81
2020-08-17	8.212	5077.002	0.097	57.907
2020-08-18	7.619	5084.621	0.091	57.998
2020-08-19	7.026	5091.647	0.085	58.083
2020-08-20	6.432	5098.079	0.079	58.162
2020-08-21	5.837	5103.916	0.074	58.236
2020-08-22	5.258	5109.174	0.069	58.305
2020-08-23	4.718	5113.892	0.064	58.369
2020-08-24	4.225	5118.117	0.06	58.429
2020-08-25	3.775	5121.892	0.057	58.486
2020-08-26	3.362	5125.254	0.053	58.539
2020-08-27	2.972	5128.226	0.049	58.588
2020-08-28	2.589	5130.815	0.046	58.634
2020-08-29	2.203	5133.018	0.042	58.676
2020-08-30	1.813	5134.831	0.039	58.715
2020-08-31	1.417	5136.248	0.035	58.75
2020-09-01	1.006	5137.254	0.032	58.782
2020-09-02	0.647	5137.901	0.028	58.81
2020-09-03	0.399	5138.3	0.025	58.835
2020-09-04	0.252	5138.552	0.023	58.858
2020-09-05	0.166	5138.718	0.02	58.878
2020-09-06	0.119	5138.837	0.018	58.896
2020-09-07	0.092	5138.929	0.016	58.912
2020-09-08	0.073	5139.002	0.013	58.925
2020-09-09	0.058	5139.06	0.011	58.936
2020-09-10	0.046	5139.106	0.009	58.945
2020-09-11	0.035	5139.141	0.006	58.951
2020-09-12	0.025	5139.166	0.004	58.955
2020-09-13	0.0	5139.166	0.002	58.957
2020-09-14	0.0	5139.166	0.002	58.959
2020-09-15	0.0	5139.166	0.001	58.96
2020-09-16	0.0	5139.166	0.001	58.961
2020-09-17	0.0	5139.166	0.001	58.962
2020-09-18	0.0	5139.166	0.0	58.962
2020-09-19	0.0	5139.166	0.0	58.962
2020-09-20	0.0	5139.166	0.0	58.962
2020-09-21	0.0	5139.166	0.0	58.962
