Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-19	2.742	77.742	0.0	3.0
2020-05-20	2.717	80.459	0.0	3.0
2020-05-21	2.682	83.141	0.0	3.0
2020-05-22	2.641	85.782	0.0	3.0
2020-05-23	2.59	88.372	0.0	3.0
2020-05-24	2.529	90.901	0.0	3.0
2020-05-25	2.463	93.364	0.0	3.0
2020-05-26	2.397	95.761	0.0	3.0
2020-05-27	2.332	98.093	0.0	3.0
2020-05-28	2.272	100.365	0.0	3.0
2020-05-29	2.217	102.582	0.0	3.0
2020-05-30	2.161	104.743	0.0	3.0
2020-05-31	2.099	106.842	0.0	3.0
2020-06-01	2.033	108.875	0.0	3.0
2020-06-02	1.961	110.836	0.0	3.0
2020-06-03	1.884	112.72	0.0	3.0
2020-06-04	1.808	114.528	0.0	3.0
2020-06-05	1.731	116.259	0.0	3.0
2020-06-06	1.655	117.914	0.0	3.0
2020-06-07	1.581	119.495	0.0	3.0
2020-06-08	1.509	121.004	0.0	3.0
2020-06-09	1.438	122.442	0.0	3.0
2020-06-10	1.368	123.81	0.0	3.0
2020-06-11	1.301	125.111	0.0	3.0
2020-06-12	1.236	126.347	0.0	3.0
2020-06-13	1.172	127.519	0.0	3.0
2020-06-14	1.112	128.631	0.0	3.0
2020-06-15	1.054	129.685	0.0	3.0
2020-06-16	0.999	130.684	0.0	3.0
2020-06-17	0.946	131.63	0.0	3.0
2020-06-18	0.895	132.525	0.0	3.0
2020-06-19	0.846	133.371	0.0	3.0
2020-06-20	0.798	134.169	0.0	3.0
2020-06-21	0.749	134.918	0.0	3.0
2020-06-22	0.701	135.619	0.0	3.0
2020-06-23	0.653	136.272	0.0	3.0
2020-06-24	0.606	136.878	0.0	3.0
2020-06-25	0.562	137.44	0.0	3.0
2020-06-26	0.523	137.963	0.0	3.0
2020-06-27	0.49	138.453	0.0	3.0
2020-06-28	0.461	138.914	0.0	3.0
2020-06-29	0.436	139.35	0.0	3.0
2020-06-30	0.412	139.762	0.0	3.0
2020-07-01	0.389	140.151	0.0	3.0
2020-07-02	0.366	140.517	0.0	3.0
2020-07-03	0.343	140.86	0.0	3.0
2020-07-04	0.32	141.18	0.0	3.0
2020-07-05	0.297	141.477	0.0	3.0
2020-07-06	0.277	141.754	0.0	3.0
2020-07-07	0.258	142.012	0.0	3.0
2020-07-08	0.241	142.253	0.0	3.0
2020-07-09	0.227	142.48	0.0	3.0
2020-07-10	0.213	142.693	0.0	3.0
2020-07-11	0.2	142.893	0.0	3.0
2020-07-12	0.186	143.079	0.0	3.0
2020-07-13	0.173	143.252	0.0	3.0
2020-07-14	0.159	143.411	0.0	3.0
2020-07-15	0.146	143.557	0.0	3.0
2020-07-16	0.132	143.689	0.0	3.0
2020-07-17	0.119	143.808	0.0	3.0
2020-07-18	0.107	143.915	0.0	3.0
2020-07-19	0.096	144.011	0.0	3.0
2020-07-20	0.086	144.097	0.0	3.0
2020-07-21	0.076	144.173	0.0	3.0
2020-07-22	0.067	144.24	0.0	3.0
2020-07-23	0.059	144.299	0.0	3.0
2020-07-24	0.05	144.349	0.0	3.0
2020-07-25	0.041	144.39	0.0	3.0
2020-07-26	0.032	144.422	0.0	3.0
2020-07-27	0.023	144.445	0.0	3.0
2020-07-28	0.015	144.46	0.0	3.0
2020-07-29	0.009	144.469	0.0	3.0
2020-07-30	0.006	144.475	0.0	3.0
2020-07-31	0.004	144.479	0.0	3.0
2020-08-01	0.003	144.482	0.0	3.0
2020-08-02	0.002	144.484	0.0	3.0
2020-08-03	0.002	144.486	0.0	3.0
2020-08-04	0.001	144.487	0.0	3.0
2020-08-05	0.001	144.488	0.0	3.0
2020-08-06	0.001	144.489	0.0	3.0
2020-08-07	0.001	144.49	0.0	3.0
2020-08-08	0.0	144.49	0.0	3.0
2020-08-09	0.0	144.49	0.0	3.0
2020-08-10	0.0	144.49	0.0	3.0
2020-08-11	0.0	144.49	0.0	3.0
2020-08-12	0.0	144.49	0.0	3.0
2020-08-13	0.0	144.49	0.0	3.0
2020-08-14	0.0	144.49	0.0	3.0
2020-08-15	0.0	144.49	0.0	3.0
2020-08-16	0.0	144.49	0.0	3.0
2020-08-17	0.0	144.49	0.0	3.0
2020-08-18	0.0	144.49	0.0	3.0
2020-08-19	0.0	144.49	0.0	3.0
2020-08-20	0.0	144.49	0.0	3.0
2020-08-21	0.0	144.49	0.0	3.0
2020-08-22	0.0	144.49	0.0	3.0
2020-08-23	0.0	144.49	0.0	3.0
2020-08-24	0.0	144.49	0.0	3.0
2020-08-25	0.0	144.49	0.0	3.0
2020-08-26	0.0	144.49	0.0	3.0
2020-08-27	0.0	144.49	0.0	3.0
2020-08-28	0.0	144.49	0.0	3.0
2020-08-29	0.0	144.49	0.0	3.0
2020-08-30	0.0	144.49	0.0	3.0
