Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	2.084	97.084	0.0	8.0
2020-06-19	2.203	99.287	0.0	8.0
2020-06-20	2.295	101.582	0.0	8.0
2020-06-21	2.349	103.931	0.0	8.0
2020-06-22	2.379	106.31	0.0	8.0
2020-06-23	2.387	108.697	0.0	8.0
2020-06-24	2.383	111.08	0.0	8.0
2020-06-25	2.361	113.441	0.0	8.0
2020-06-26	2.33	115.771	0.0	8.0
2020-06-27	2.295	118.066	0.0	8.0
2020-06-28	2.251	120.317	0.0	8.0
2020-06-29	2.198	122.515	0.0	8.0
2020-06-30	2.14	124.655	0.0	8.0
2020-07-01	2.083	126.738	0.0	8.0
2020-07-02	2.026	128.764	0.0	8.0
2020-07-03	1.974	130.738	0.0	8.0
2020-07-04	1.926	132.664	0.0	8.0
2020-07-05	1.877	134.541	0.0	8.0
2020-07-06	1.824	136.365	0.0	8.0
2020-07-07	1.766	138.131	0.0	8.0
2020-07-08	1.704	139.835	0.0	8.0
2020-07-09	1.637	141.472	0.0	8.0
2020-07-10	1.571	143.043	0.0	8.0
2020-07-11	1.504	144.547	0.0	8.0
2020-07-12	1.438	145.985	0.0	8.0
2020-07-13	1.374	147.359	0.0	8.0
2020-07-14	1.311	148.67	0.0	8.0
2020-07-15	1.249	149.919	0.0	8.0
2020-07-16	1.189	151.108	0.0	8.0
2020-07-17	1.13	152.238	0.0	8.0
2020-07-18	1.074	153.312	0.0	8.0
2020-07-19	1.019	154.331	0.0	8.0
2020-07-20	0.966	155.297	0.0	8.0
2020-07-21	0.916	156.213	0.0	8.0
2020-07-22	0.868	157.081	0.0	8.0
2020-07-23	0.822	157.903	0.0	8.0
2020-07-24	0.778	158.681	0.0	8.0
2020-07-25	0.735	159.416	0.0	8.0
2020-07-26	0.693	160.109	0.0	8.0
2020-07-27	0.651	160.76	0.0	8.0
2020-07-28	0.609	161.369	0.0	8.0
2020-07-29	0.568	161.937	0.0	8.0
2020-07-30	0.526	162.463	0.0	8.0
2020-07-31	0.488	162.951	0.0	8.0
2020-08-01	0.455	163.406	0.0	8.0
2020-08-02	0.425	163.831	0.0	8.0
2020-08-03	0.4	164.231	0.0	8.0
2020-08-04	0.379	164.61	0.0	8.0
2020-08-05	0.358	164.968	0.0	8.0
2020-08-06	0.338	165.306	0.0	8.0
2020-08-07	0.318	165.624	0.0	8.0
2020-08-08	0.298	165.922	0.0	8.0
2020-08-09	0.278	166.2	0.0	8.0
2020-08-10	0.258	166.458	0.0	8.0
2020-08-11	0.241	166.699	0.0	8.0
2020-08-12	0.224	166.923	0.0	8.0
2020-08-13	0.21	167.133	0.0	8.0
2020-08-14	0.197	167.33	0.0	8.0
2020-08-15	0.185	167.515	0.0	8.0
2020-08-16	0.173	167.688	0.0	8.0
2020-08-17	0.162	167.85	0.0	8.0
2020-08-18	0.15	168.0	0.0	8.0
2020-08-19	0.138	168.138	0.0	8.0
2020-08-20	0.127	168.265	0.0	8.0
2020-08-21	0.115	168.38	0.0	8.0
2020-08-22	0.104	168.484	0.0	8.0
2020-08-23	0.093	168.577	0.0	8.0
2020-08-24	0.083	168.66	0.0	8.0
2020-08-25	0.074	168.734	0.0	8.0
2020-08-26	0.066	168.8	0.0	8.0
2020-08-27	0.059	168.859	0.0	8.0
2020-08-28	0.051	168.91	0.0	8.0
2020-08-29	0.043	168.953	0.0	8.0
2020-08-30	0.036	168.989	0.0	8.0
2020-08-31	0.028	169.017	0.0	8.0
2020-09-01	0.02	169.037	0.0	8.0
2020-09-02	0.013	169.05	0.0	8.0
2020-09-03	0.008	169.058	0.0	8.0
2020-09-04	0.005	169.063	0.0	8.0
2020-09-05	0.003	169.066	0.0	8.0
2020-09-06	0.002	169.068	0.0	8.0
2020-09-07	0.002	169.07	0.0	8.0
2020-09-08	0.001	169.071	0.0	8.0
2020-09-09	0.001	169.072	0.0	8.0
2020-09-10	0.001	169.073	0.0	8.0
2020-09-11	0.001	169.074	0.0	8.0
2020-09-12	0.001	169.075	0.0	8.0
2020-09-13	0.0	169.075	0.0	8.0
2020-09-14	0.0	169.075	0.0	8.0
2020-09-15	0.0	169.075	0.0	8.0
2020-09-16	0.0	169.075	0.0	8.0
2020-09-17	0.0	169.075	0.0	8.0
2020-09-18	0.0	169.075	0.0	8.0
2020-09-19	0.0	169.075	0.0	8.0
2020-09-20	0.0	169.075	0.0	8.0
2020-09-21	0.0	169.075	0.0	8.0
