Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-11	0.964	49.964	0.329	4.329
2020-06-12	0.853	50.817	0.307	4.636
2020-06-13	0.743	51.56	0.285	4.921
2020-06-14	0.632	52.192	0.262	5.183
2020-06-15	0.52	52.712	0.24	5.423
2020-06-16	0.406	53.118	0.218	5.641
2020-06-17	0.289	53.407	0.196	5.837
2020-06-18	0.186	53.593	0.176	6.013
2020-06-19	0.114	53.707	0.158	6.171
2020-06-20	0.072	53.779	0.141	6.312
2020-06-21	0.048	53.827	0.126	6.438
2020-06-22	0.034	53.861	0.111	6.549
2020-06-23	0.026	53.887	0.097	6.646
2020-06-24	0.021	53.908	0.082	6.728
2020-06-25	0.017	53.925	0.068	6.796
2020-06-26	0.013	53.938	0.053	6.849
2020-06-27	0.01	53.948	0.038	6.887
2020-06-28	0.007	53.955	0.024	6.911
2020-06-29	0.0	53.955	0.015	6.926
2020-06-30	0.0	53.955	0.009	6.935
2020-07-01	0.0	53.955	0.006	6.941
2020-07-02	0.0	53.955	0.004	6.945
2020-07-03	0.0	53.955	0.003	6.948
2020-07-04	0.0	53.955	0.003	6.951
2020-07-05	0.0	53.955	0.002	6.953
2020-07-06	0.0	53.955	0.002	6.955
2020-07-07	0.0	53.955	0.001	6.956
2020-07-08	0.0	53.955	0.0	6.956
2020-07-09	0.0	53.955	0.0	6.956
2020-07-10	0.0	53.955	0.0	6.956
2020-07-11	0.0	53.955	0.0	6.956
2020-07-12	0.0	53.955	0.0	6.956
2020-07-13	0.0	53.955	0.0	6.956
2020-07-14	0.0	53.955	0.0	6.956
2020-07-15	0.0	53.955	0.0	6.956
2020-07-16	0.0	53.955	0.0	6.956
2020-07-17	0.0	53.955	0.0	6.956
2020-07-18	0.0	53.955	0.0	6.956
2020-07-19	0.0	53.955	0.0	6.956
2020-07-20	0.0	53.955	0.0	6.956
2020-07-21	0.0	53.955	0.0	6.956
2020-07-22	0.0	53.955	0.0	6.956
2020-07-23	0.0	53.955	0.0	6.956
2020-07-24	0.0	53.955	0.0	6.956
2020-07-25	0.0	53.955	0.0	6.956
2020-07-26	0.0	53.955	0.0	6.956
2020-07-27	0.0	53.955	0.0	6.956
2020-07-28	0.0	53.955	0.0	6.956
2020-07-29	0.0	53.955	0.0	6.956
2020-07-30	0.0	53.955	0.0	6.956
2020-07-31	0.0	53.955	0.0	6.956
2020-08-01	0.0	53.955	0.0	6.956
2020-08-02	0.0	53.955	0.0	6.956
2020-08-03	0.0	53.955	0.0	6.956
2020-08-04	0.0	53.955	0.0	6.956
2020-08-05	0.0	53.955	0.0	6.956
2020-08-06	0.0	53.955	0.0	6.956
2020-08-07	0.0	53.955	0.0	6.956
2020-08-08	0.0	53.955	0.0	6.956
2020-08-09	0.0	53.955	0.0	6.956
2020-08-10	0.0	53.955	0.0	6.956
2020-08-11	0.0	53.955	0.0	6.956
2020-08-12	0.0	53.955	0.0	6.956
2020-08-13	0.0	53.955	0.0	6.956
2020-08-14	0.0	53.955	0.0	6.956
2020-08-15	0.0	53.955	0.0	6.956
2020-08-16	0.0	53.955	0.0	6.956
2020-08-17	0.0	53.955	0.0	6.956
2020-08-18	0.0	53.955	0.0	6.956
2020-08-19	0.0	53.955	0.0	6.956
2020-08-20	0.0	53.955	0.0	6.956
2020-08-21	0.0	53.955	0.0	6.956
2020-08-22	0.0	53.955	0.0	6.956
2020-08-23	0.0	53.955	0.0	6.956
2020-08-24	0.0	53.955	0.0	6.956
2020-08-25	0.0	53.955	0.0	6.956
2020-08-26	0.0	53.955	0.0	6.956
2020-08-27	0.0	53.955	0.0	6.956
2020-08-28	0.0	53.955	0.0	6.956
2020-08-29	0.0	53.955	0.0	6.956
2020-08-30	0.0	53.955	0.0	6.956
