Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-25	0.169	29.169	1.324	1.324
2020-06-26	0.165	29.334	1.502	2.826
2020-06-27	0.161	29.495	1.685	4.511
2020-06-28	0.156	29.651	1.87	6.381
2020-06-29	0.151	29.802	2.054	8.435
2020-06-30	0.146	29.948	2.24	10.675
2020-07-01	0.14	30.088	2.433	13.108
2020-07-02	0.134	30.222	2.646	15.754
2020-07-03	0.129	30.351	2.859	18.613
2020-07-04	0.123	30.474	3.065	21.678
2020-07-05	0.118	30.592	3.239	24.917
2020-07-06	0.112	30.704	3.375	28.292
2020-07-07	0.107	30.811	3.453	31.745
2020-07-08	0.102	30.913	3.497	35.242
2020-07-09	0.097	31.01	3.51	38.752
2020-07-10	0.092	31.102	3.503	42.255
2020-07-11	0.087	31.189	3.471	45.726
2020-07-12	0.083	31.272	3.426	49.152
2020-07-13	0.078	31.35	3.374	52.526
2020-07-14	0.074	31.424	3.309	55.835
2020-07-15	0.07	31.494	3.231	59.066
2020-07-16	0.067	31.561	3.147	62.213
2020-07-17	0.063	31.624	3.063	65.276
2020-07-18	0.059	31.683	2.979	68.255
2020-07-19	0.056	31.739	2.902	71.157
2020-07-20	0.052	31.791	2.832	73.989
2020-07-21	0.049	31.84	2.76	76.749
2020-07-22	0.045	31.885	2.682	79.431
2020-07-23	0.042	31.927	2.597	82.028
2020-07-24	0.039	31.966	2.505	84.533
2020-07-25	0.036	32.002	2.407	86.94
2020-07-26	0.034	32.036	2.309	89.249
2020-07-27	0.032	32.068	2.211	91.46
2020-07-28	0.031	32.099	2.115	93.575
2020-07-29	0.029	32.128	2.02	95.595
2020-07-30	0.027	32.155	1.928	97.523
2020-07-31	0.026	32.181	1.837	99.36
2020-08-01	0.024	32.205	1.748	101.108
2020-08-02	0.022	32.227	1.662	102.77
2020-08-03	0.021	32.248	1.578	104.348
2020-08-04	0.019	32.267	1.497	105.845
2020-08-05	0.018	32.285	1.42	107.265
2020-08-06	0.017	32.302	1.347	108.612
2020-08-07	0.016	32.318	1.277	109.889
2020-08-08	0.015	32.333	1.209	111.098
2020-08-09	0.014	32.347	1.144	112.242
2020-08-10	0.013	32.36	1.081	113.323
2020-08-11	0.012	32.372	1.019	114.342
2020-08-12	0.011	32.383	0.957	115.299
2020-08-13	0.01	32.393	0.896	116.195
2020-08-14	0.009	32.402	0.834	117.029
2020-08-15	0.008	32.41	0.774	117.803
2020-08-16	0.007	32.417	0.718	118.521
2020-08-17	0.006	32.423	0.668	119.189
2020-08-18	0.006	32.429	0.626	119.815
2020-08-19	0.005	32.434	0.589	120.404
2020-08-20	0.004	32.438	0.557	120.961
2020-08-21	0.004	32.442	0.527	121.488
2020-08-22	0.003	32.445	0.497	121.985
2020-08-23	0.002	32.447	0.468	122.453
2020-08-24	0.002	32.449	0.438	122.891
2020-08-25	0.001	32.45	0.409	123.3
2020-08-26	0.001	32.451	0.38	123.68
2020-08-27	0.0	32.451	0.354	124.034
2020-08-28	0.0	32.451	0.33	124.364
2020-08-29	0.0	32.451	0.308	124.672
2020-08-30	0.0	32.451	0.289	124.961
2020-08-31	0.0	32.451	0.272	125.233
2020-09-01	0.0	32.451	0.255	125.488
2020-09-02	0.0	32.451	0.238	125.726
2020-09-03	0.0	32.451	0.221	125.947
2020-09-04	0.0	32.451	0.203	126.15
2020-09-05	0.0	32.451	0.186	126.336
2020-09-06	0.0	32.451	0.169	126.505
2020-09-07	0.0	32.451	0.152	126.657
2020-09-08	0.0	32.451	0.137	126.794
2020-09-09	0.0	32.451	0.122	126.916
2020-09-10	0.0	32.451	0.109	127.025
2020-09-11	0.0	32.451	0.097	127.122
2020-09-12	0.0	32.451	0.086	127.208
2020-09-13	0.0	32.451	0.075	127.283
2020-09-14	0.0	32.451	0.064	127.347
2020-09-15	0.0	32.451	0.052	127.399
2020-09-16	0.0	32.451	0.041	127.44
2020-09-17	0.0	32.451	0.029	127.469
2020-09-18	0.0	32.451	0.019	127.488
2020-09-19	0.0	32.451	0.012	127.5
2020-09-20	0.0	32.451	0.007	127.507
2020-09-21	0.0	32.451	0.005	127.512
2020-09-22	0.0	32.451	0.003	127.515
2020-09-23	0.0	32.451	0.003	127.518
2020-09-24	0.0	32.451	0.002	127.52
2020-09-25	0.0	32.451	0.002	127.522
2020-09-26	0.0	32.451	0.001	127.523
2020-09-27	0.0	32.451	0.001	127.524
