Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Potter	424.531	2654.679	5813.679	0.0	192.179	231.179	0.00354817	0.02218741	0.04858986	0.0	0.0016062	0.00193216
McCulloch	3.147	18.762	48.762	0.0	0.0	1.306	0.00039402	0.00234907	0.00610517	0.0	0.0	0.00016352
Floyd	0.583	8.842	69.842	0.0	0.206	3.206	9.988e-05	0.00151482	0.01196539	0.0	3.529e-05	0.00054925
Bosque	0.804	11.448	75.448	0.0	0.0	1.233	4.302e-05	0.00061249	0.0040366	0.0	0.0	6.597e-05
Oldham	0.041	0.618	7.618	0.0	0.0	1.0	1.924e-05	0.00029	0.00357485	0.0	0.0	0.00046926
Concho	1.718	10.244	27.244	0.0	0.0	1.146	0.00040178	0.0023957	0.00637138	0.0	0.0	0.00026801
Limestone	1.038	15.748	134.748	0.0	2.039	3.039	4.413e-05	0.00066959	0.00572933	0.0	8.67e-05	0.00012921
Lamb	1.246	18.742	136.742	1.016	15.417	16.417	9.47e-05	0.00142438	0.01039231	7.722e-05	0.00117168	0.00124768
McLennan	377.058	2247.634	5538.634	0.0	26.612	50.612	0.00148094	0.00882786	0.02175366	0.0	0.00010452	0.00019878
Jones	75.092	483.618	1124.618	0.0	0.0	27.12	0.00378927	0.0244042	0.05675016	0.0	0.0	0.00136852
Brown	35.137	209.453	482.453	0.0	3.091	16.091	0.00092651	0.00552297	0.01272157	0.0	8.151e-05	0.0004243
Delta	0.064	0.968	10.968	0.0	0.0	0.452	1.196e-05	0.00018097	0.00205048	0.0	0.0	8.45e-05
Tyler	0.569	8.633	57.633	0.0	0.0	1.731	2.623e-05	0.00039791	0.00265639	0.0	0.0	7.978e-05
Wood	1.476	22.382	196.382	1.763	20.954	25.954	3.271e-05	0.00049596	0.00435157	3.907e-05	0.00046431	0.00057511
Foard	0.0	0.0	1.0	1.763	20.954	20.954	0.0	0.0	0.00083333	0.00146917	0.01746167	0.01746167
Zavala	1.381	19.132	114.132	0.0	0.0	1.907	0.00011525	0.0015966	0.00952449	0.0	0.0	0.00015914
Brewster	1.321	20.031	181.031	2.208	33.497	34.497	0.00014255	0.00216154	0.01953502	0.00023826	0.00361465	0.00372256
Brazos	28.578	433.471	3806.471	26.512	315.114	354.114	0.00012603	0.0019116	0.01678649	0.00011692	0.00138965	0.00156164
Montague	0.412	6.196	41.196	0.188	2.85	3.85	2.102e-05	0.00031619	0.00210227	9.59e-06	0.00014544	0.00019647
Kendall	1.309	19.855	136.855	0.0	0.0	16.191	2.868e-05	0.00043503	0.00299851	0.0	0.0	0.00035475
Sutton	0.51	7.735	46.735	0.0	0.0	2.423	0.00013571	0.00205828	0.01243614	0.0	0.0	0.00064476
Dallam	1.116	16.933	162.933	0.0	4.328	5.328	0.000155	0.00235181	0.02262958	0.0	0.00060111	0.00074
Borden	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gray	20.755	123.721	262.721	0.0	8.103	12.103	0.00094793	0.00565065	0.01199913	0.0	0.00037008	0.00055277
Austin	1.404	21.301	178.301	0.0	0.0	5.475	4.682e-05	0.00071029	0.00594555	0.0	0.0	0.00018257
Williamson	43.502	659.837	5451.837	0.0	22.396	94.396	7.676e-05	0.00116431	0.00962	0.0	3.952e-05	0.00016657
Cherokee	56.151	334.713	823.713	0.0	4.648	6.648	0.00106767	0.00636433	0.01566233	0.0	8.838e-05	0.00012641
Ellis	25.941	359.419	2331.419	25.578	223.217	244.217	0.00014457	0.00200305	0.01299304	0.00014255	0.00124399	0.00136103
Cameron	66.263	943.245	6834.245	0.0	97.926	193.926	0.00015631	0.00222512	0.016122	0.0	0.00023101	0.00045747
Harris	426.25	6465.331	62208.331	0.0	1197.4	1733.4	9.072e-05	0.00137601	0.01323971	0.0	0.00025484	0.00036892
Wilson	3.957	59.03	411.03	2.143	23.094	28.094	7.879e-05	0.00117533	0.00818394	4.267e-05	0.00045982	0.00055937
Montgomery	42.443	643.777	5364.777	43.525	517.313	563.313	7.182e-05	0.00108944	0.00907861	7.366e-05	0.00087543	0.00095327
Bailey	0.617	9.355	129.355	0.0	4.573	5.573	8.78e-05	0.00133129	0.01840828	0.0	0.00065078	0.00079308
Eastland	0.347	5.046	34.046	0.0	0.0	0.886	1.894e-05	0.00027541	0.0018582	0.0	0.0	4.836e-05
Jim Wells	44.486	265.179	665.179	0.0	0.0	17.155	0.00108976	0.00649598	0.01629462	0.0	0.0	0.00042024
Kinney	0.593	3.536	7.536	0.0	0.0	0.09	0.00015742	0.00093868	0.00200053	0.0	0.0	2.389e-05
Jim Hogg	1.214	12.427	54.427	0.0	0.0	1.445	0.00023133	0.00236795	0.010371	0.0	0.0	0.00027534
Sterling	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00076278	0.0	0.0	0.0
Rains	0.29	4.215	29.215	0.206	3.125	4.125	2.385e-05	0.00034666	0.00240275	1.694e-05	0.00025701	0.00033925
Archer	0.202	2.799	14.799	0.0	0.0	1.844	2.299e-05	0.00031858	0.00168438	0.0	0.0	0.00020988
Baylor	0.013	0.191	1.191	0.0	0.0	0.024	3.63e-06	5.332e-05	0.0003325	0.0	0.0	6.7e-06
Schleicher	0.253	3.833	33.833	0.428	6.494	7.494	8.739e-05	0.00132401	0.0116867	0.00014784	0.00224318	0.0025886
Wharton	3.55	53.853	456.853	0.0	3.704	4.704	8.53e-05	0.00129395	0.01097703	0.0	8.9e-05	0.00011303
Callahan	0.362	5.485	37.485	0.169	2.559	4.559	2.587e-05	0.00039195	0.00267865	1.208e-05	0.00018286	0.00032578
Jeff Davis	0.0	0.0	6.0	0.169	2.559	2.559	0.0	0.0	0.0026643	7.504e-05	0.00113632	0.00113632
Comanche	22.721	135.437	313.437	0.0	0.517	2.517	0.00167881	0.01000717	0.02315923	0.0	3.82e-05	0.00018598
Fisher	2.608	15.546	37.546	0.001	0.129	1.129	0.00067934	0.00404949	0.00978015	2.6e-07	3.36e-05	0.00029409
La Salle	15.728	137.253	448.253	0.0	0.0	1.247	0.00208843	0.01822507	0.05952105	0.0	0.0	0.00016558
Freestone	1.273	18.126	113.126	0.0	0.0	2.582	6.427e-05	0.00091508	0.00571113	0.0	0.0	0.00013035
Carson	0.764	4.552	14.552	0.0	0.0	0.0	0.00012723	0.00075803	0.00242331	0.0	0.0	0.0
Wichita	6.942	105.298	814.298	4.031	47.91	55.91	5.257e-05	0.00079733	0.00616593	3.052e-05	0.00036278	0.00042336
Somervell	4.381	26.115	61.115	0.0	0.0	0.813	0.00048591	0.00289652	0.0067785	0.0	0.0	9.017e-05
Gonzales	3.166	48.018	481.018	5.888	69.987	73.987	0.00015202	0.00230568	0.02309699	0.00028272	0.00336056	0.00355263
Kerr	27.064	161.329	416.329	0.012	2.218	3.218	0.00051644	0.0030785	0.00794445	2.3e-07	4.232e-05	6.141e-05
Henderson	4.298	63.474	443.474	3.22	32.96	37.96	5.222e-05	0.00077126	0.00538857	3.913e-05	0.00040049	0.00046124
Yoakum	1.497	15.319	71.319	0.0	0.0	2.332	0.00017425	0.00178315	0.00830159	0.0	0.0	0.00027145
Trinity	1.339	18.553	115.553	0.0	0.0	3.204	9.084e-05	0.00125868	0.00783942	0.0	0.0	0.00021737
Mitchell	3.348	19.959	50.959	0.0	0.0	1.021	0.00041105	0.00245046	0.00625648	0.0	0.0	0.00012535
