Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	1.331	8.879	0.213	125.983
2020-09-02	1.04	9.919	0.167	126.15
2020-09-03	0.739	10.658	0.118	126.268
2020-09-04	0.475	11.133	0.076	126.344
2020-09-05	0.293	11.426	0.047	126.391
2020-09-06	0.185	11.611	0.03	126.421
2020-09-07	0.122	11.733	0.02	126.441
2020-09-08	0.087	11.82	0.014	126.455
2020-09-09	0.067	11.887	0.011	126.466
2020-09-10	0.054	11.941	0.009	126.475
2020-09-11	0.043	11.984	0.007	126.482
2020-09-12	0.033	12.017	0.005	126.487
2020-09-13	0.025	12.042	0.004	126.491
2020-09-14	0.019	12.061	0.003	126.494
