Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	163.689	6574.689	2.32	79.32
2020-08-05	162.184	6736.873	2.299	81.619
2020-08-06	160.075	6896.948	2.269	83.888
2020-08-07	157.661	7054.609	2.235	86.123
2020-08-08	154.623	7209.232	2.192	88.315
2020-08-09	150.971	7360.203	2.14	90.455
2020-08-10	147.036	7507.239	2.084	92.539
2020-08-11	143.111	7650.35	2.028	94.567
2020-08-12	139.209	7789.559	1.973	96.54
2020-08-13	135.617	7925.176	1.922	98.462
2020-08-14	132.326	8057.502	1.875	100.337
2020-08-15	128.976	8186.478	1.828	102.165
2020-08-16	125.317	8311.795	1.776	103.941
2020-08-17	121.342	8433.137	1.72	105.661
2020-08-18	117.061	8550.198	1.659	107.32
2020-08-19	112.486	8662.684	1.594	108.914
2020-08-20	107.911	8770.595	1.529	110.443
2020-08-21	103.335	8873.93	1.465	111.908
2020-08-22	98.804	8972.734	1.4	113.308
2020-08-23	94.369	9067.103	1.338	114.646
2020-08-24	90.066	9157.169	1.277	115.923
2020-08-25	85.82	9242.989	1.216	117.139
2020-08-26	81.677	9324.666	1.158	118.297
2020-08-27	77.642	9402.308	1.1	119.397
2020-08-28	73.754	9476.062	1.045	120.442
2020-08-29	69.973	9546.035	0.992	121.434
2020-08-30	66.368	9612.403	0.941	122.375
2020-08-31	62.931	9675.334	0.892	123.267
2020-09-01	59.655	9734.989	0.845	124.112
2020-09-02	56.498	9791.487	0.801	124.913
2020-09-03	53.454	9844.941	0.758	125.671
2020-09-04	50.501	9895.442	0.716	126.387
2020-09-05	47.606	9943.048	0.675	127.062
2020-09-06	44.734	9987.782	0.634	127.696
2020-09-07	41.862	10029.644	0.593	128.289
2020-09-08	38.987	10068.631	0.553	128.842
2020-09-09	36.163	10104.794	0.513	129.355
2020-09-10	33.544	10138.338	0.475	129.83
2020-09-11	31.235	10169.573	0.443	130.273
2020-09-12	29.229	10198.802	0.414	130.687
2020-09-13	27.505	10226.307	0.39	131.077
2020-09-14	26.009	10252.316	0.369	131.446
2020-09-15	24.62	10276.936	0.349	131.795
2020-09-16	23.244	10300.18	0.329	132.124
2020-09-17	21.867	10322.047	0.31	132.434
2020-09-18	20.49	10342.537	0.29	132.724
2020-09-19	19.111	10361.648	0.271	132.995
2020-09-20	17.757	10379.405	0.252	133.247
2020-09-21	16.523	10395.928	0.234	133.481
2020-09-22	15.411	10411.339	0.218	133.699
2020-09-23	14.413	10425.752	0.204	133.903
2020-09-24	13.521	10439.273	0.192	134.095
2020-09-25	12.712	10451.985	0.18	134.275
2020-09-26	11.912	10463.897	0.169	134.444
2020-09-27	11.11	10475.007	0.157	134.601
2020-09-28	10.308	10485.315	0.146	134.747
2020-09-29	9.506	10494.821	0.135	134.882
2020-09-30	8.703	10503.524	0.123	135.005
2020-10-01	7.898	10511.422	0.112	135.117
2020-10-02	7.114	10518.536	0.101	135.218
2020-10-03	6.384	10524.92	0.09	135.308
2020-10-04	5.717	10530.637	0.081	135.389
2020-10-05	5.107	10535.744	0.072	135.461
2020-10-06	4.548	10540.292	0.064	135.525
2020-10-07	4.022	10544.314	0.057	135.582
2020-10-08	3.502	10547.816	0.05	135.632
2020-10-09	2.98	10550.796	0.042	135.674
2020-10-10	2.453	10553.249	0.035	135.709
2020-10-11	1.917	10555.166	0.027	135.736
2020-10-12	1.361	10556.527	0.019	135.755
2020-10-13	0.875	10557.402	0.012	135.767
2020-10-14	0.54	10557.942	0.008	135.775
2020-10-15	0.34	10558.282	0.005	135.78
2020-10-16	0.225	10558.507	0.003	135.783
2020-10-17	0.161	10558.668	0.002	135.785
2020-10-18	0.124	10558.792	0.002	135.787
2020-10-19	0.099	10558.891	0.001	135.788
2020-10-20	0.079	10558.97	0.001	135.789
2020-10-21	0.062	10559.032	0.001	135.79
2020-10-22	0.047	10559.079	0.001	135.791
2020-10-23	0.034	10559.113	0.0	135.791
