Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	0.0	7.0	0.004	0.004
2020-06-18	0.0	7.0	0.005	0.009
2020-06-19	0.0	7.0	0.006	0.015
2020-06-20	0.0	7.0	0.007	0.022
2020-06-21	0.0	7.0	0.008	0.03
2020-06-22	0.0	7.0	0.009	0.039
2020-06-23	0.0	7.0	0.011	0.05
2020-06-24	0.0	7.0	0.012	0.062
2020-06-25	0.0	7.0	0.013	0.075
2020-06-26	0.0	7.0	0.015	0.09
2020-06-27	0.0	7.0	0.016	0.106
2020-06-28	0.0	7.0	0.017	0.123
2020-06-29	0.0	7.0	0.019	0.142
2020-06-30	0.0	7.0	0.02	0.162
2020-07-01	0.0	7.0	0.022	0.184
2020-07-02	0.0	7.0	0.023	0.207
2020-07-03	0.0	7.0	0.024	0.231
2020-07-04	0.0	7.0	0.025	0.256
2020-07-05	0.0	7.0	0.025	0.281
2020-07-06	0.0	7.0	0.025	0.306
2020-07-07	0.0	7.0	0.025	0.331
2020-07-08	0.0	7.0	0.025	0.356
2020-07-09	0.0	7.0	0.024	0.38
2020-07-10	0.0	7.0	0.024	0.404
2020-07-11	0.0	7.0	0.023	0.427
2020-07-12	0.0	7.0	0.023	0.45
2020-07-13	0.0	7.0	0.022	0.472
2020-07-14	0.0	7.0	0.022	0.494
2020-07-15	0.0	7.0	0.021	0.515
2020-07-16	0.0	7.0	0.021	0.536
2020-07-17	0.0	7.0	0.02	0.556
2020-07-18	0.0	7.0	0.02	0.576
2020-07-19	0.0	7.0	0.019	0.595
2020-07-20	0.0	7.0	0.018	0.613
2020-07-21	0.0	7.0	0.018	0.631
2020-07-22	0.0	7.0	0.017	0.648
2020-07-23	0.0	7.0	0.016	0.664
2020-07-24	0.0	7.0	0.016	0.68
2020-07-25	0.0	7.0	0.015	0.695
2020-07-26	0.0	7.0	0.014	0.709
2020-07-27	0.0	7.0	0.014	0.723
2020-07-28	0.0	7.0	0.013	0.736
2020-07-29	0.0	7.0	0.012	0.748
2020-07-30	0.0	7.0	0.012	0.76
2020-07-31	0.0	7.0	0.011	0.771
2020-08-01	0.0	7.0	0.011	0.782
2020-08-02	0.0	7.0	0.01	0.792
2020-08-03	0.0	7.0	0.01	0.802
2020-08-04	0.0	7.0	0.009	0.811
2020-08-05	0.0	7.0	0.009	0.82
2020-08-06	0.0	7.0	0.008	0.828
2020-08-07	0.0	7.0	0.008	0.836
2020-08-08	0.0	7.0	0.007	0.843
2020-08-09	0.0	7.0	0.007	0.85
2020-08-10	0.0	7.0	0.006	0.856
2020-08-11	0.0	7.0	0.006	0.862
2020-08-12	0.0	7.0	0.005	0.867
2020-08-13	0.0	7.0	0.005	0.872
2020-08-14	0.0	7.0	0.005	0.877
2020-08-15	0.0	7.0	0.004	0.881
2020-08-16	0.0	7.0	0.004	0.885
2020-08-17	0.0	7.0	0.004	0.889
2020-08-18	0.0	7.0	0.004	0.893
2020-08-19	0.0	7.0	0.004	0.897
2020-08-20	0.0	7.0	0.003	0.9
2020-08-21	0.0	7.0	0.003	0.903
2020-08-22	0.0	7.0	0.003	0.906
2020-08-23	0.0	7.0	0.003	0.909
2020-08-24	0.0	7.0	0.003	0.912
2020-08-25	0.0	7.0	0.002	0.914
2020-08-26	0.0	7.0	0.002	0.916
2020-08-27	0.0	7.0	0.002	0.918
2020-08-28	0.0	7.0	0.002	0.92
2020-08-29	0.0	7.0	0.002	0.922
2020-08-30	0.0	7.0	0.002	0.924
2020-08-31	0.0	7.0	0.002	0.926
2020-09-01	0.0	7.0	0.001	0.927
2020-09-02	0.0	7.0	0.001	0.928
2020-09-03	0.0	7.0	0.001	0.929
2020-09-04	0.0	7.0	0.001	0.93
2020-09-05	0.0	7.0	0.001	0.931
2020-09-06	0.0	7.0	0.001	0.932
2020-09-07	0.0	7.0	0.001	0.933
2020-09-08	0.0	7.0	0.001	0.934
2020-09-09	0.0	7.0	0.001	0.935
2020-09-10	0.0	7.0	0.001	0.936
2020-09-11	0.0	7.0	0.0	0.936
2020-09-12	0.0	7.0	0.0	0.936
2020-09-13	0.0	7.0	0.0	0.936
2020-09-14	0.0	7.0	0.0	0.936
2020-09-15	0.0	7.0	0.0	0.936
2020-09-16	0.0	7.0	0.0	0.936
2020-09-17	0.0	7.0	0.0	0.936
2020-09-18	0.0	7.0	0.0	0.936
2020-09-19	0.0	7.0	0.0	0.936
2020-09-20	0.0	7.0	0.0	0.936
2020-09-21	0.0	7.0	0.0	0.936
2020-09-22	0.0	7.0	0.0	0.936
2020-09-23	0.0	7.0	0.0	0.936
2020-09-24	0.0	7.0	0.0	0.936
