Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	8.213	594.213	2.058	20.058
2020-08-03	7.519	601.732	1.912	21.97
2020-08-04	6.824	608.556	1.779	23.749
2020-08-05	6.146	614.702	1.659	25.408
2020-08-06	5.516	620.218	1.552	26.96
2020-08-07	4.94	625.158	1.456	28.416
2020-08-08	4.413	629.571	1.369	29.785
2020-08-09	3.93	633.501	1.283	31.068
2020-08-10	3.475	636.976	1.196	32.264
2020-08-11	3.026	640.002	1.11	33.374
2020-08-12	2.575	642.577	1.024	34.398
2020-08-13	2.119	644.696	0.937	35.335
2020-08-14	1.656	646.352	0.85	36.185
2020-08-15	1.176	647.528	0.766	36.951
2020-08-16	0.756	648.284	0.687	37.638
2020-08-17	0.466	648.75	0.616	38.254
2020-08-18	0.294	649.044	0.55	38.804
2020-08-19	0.194	649.238	0.49	39.294
2020-08-20	0.139	649.377	0.433	39.727
2020-08-21	0.107	649.484	0.377	40.104
2020-08-22	0.086	649.57	0.321	40.425
2020-08-23	0.068	649.638	0.264	40.689
2020-08-24	0.053	649.691	0.206	40.895
2020-08-25	0.04	649.731	0.147	41.042
2020-08-26	0.03	649.761	0.094	41.136
2020-08-27	0.0	649.761	0.058	41.194
2020-08-28	0.0	649.761	0.037	41.231
2020-08-29	0.0	649.761	0.024	41.255
2020-08-30	0.0	649.761	0.017	41.272
2020-08-31	0.0	649.761	0.013	41.285
2020-09-01	0.0	649.761	0.011	41.296
2020-09-02	0.0	649.761	0.008	41.304
2020-09-03	0.0	649.761	0.007	41.311
2020-09-04	0.0	649.761	0.005	41.316
