Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Missouri	209.576	209.576	3.415e-05	3.415e-05
Puerto Rico	44.893	44.893	1.406e-05	1.406e-05
New York	8410.539	8410.539	0.00043234	0.00043234
Alaska	11.113	11.113	1.519e-05	1.519e-05
Illinois	922.621	922.621	7.281e-05	7.281e-05
South Carolina	143.38	143.38	2.785e-05	2.785e-05
Virginia	264.39	264.39	3.098e-05	3.098e-05
Washington	434.447	434.447	5.705e-05	5.705e-05
Vermont	35.811	35.811	5.739e-05	5.739e-05
South Dakota	27.307	27.307	3.087e-05	3.087e-05
Georgia	555.608	555.608	5.233e-05	5.233e-05
Connecticut	571.438	571.438	0.00016028	0.00016028
Alabama	152.745	152.745	3.115e-05	3.115e-05
Guam	6.208	6.208	3.78e-05	3.78e-05
Northern Mariana Islands	6.0	6.0	N/A	N/A
New Hampshire	52.179	52.179	3.838e-05	3.838e-05
Oklahoma	97.492	97.492	2.464e-05	2.464e-05
Colorado	314.454	314.454	5.46e-05	5.46e-05
Ohio	323.197	323.197	2.765e-05	2.765e-05
Maine	19.844	19.844	1.476e-05	1.476e-05
Mississippi	122.284	122.284	4.109e-05	4.109e-05
Utah	99.708	99.708	3.11e-05	3.11e-05
Delaware	80.205	80.205	8.237e-05	8.237e-05
Indiana	425.16	425.16	6.315e-05	6.315e-05
Arkansas	53.357	53.357	1.768e-05	1.768e-05
Iowa	72.141	72.141	2.287e-05	2.287e-05
New Jersey	3122.797	3122.797	0.00035158	0.00035158
Wisconsin	138.233	138.233	2.374e-05	2.374e-05
Michigan	1345.685	1345.685	0.00013475	0.00013475
Arizona	179.354	179.354	2.464e-05	2.464e-05
Massachusetts	1095.906	1095.906	0.000159	0.000159
Grand Princess	0.0	0.0	N/A	N/A
Diamond Princess	0.0	0.0	N/A	N/A
North Carolina	222.651	222.651	2.123e-05	2.123e-05
Montana	14.528	14.528	1.359e-05	1.359e-05
District of Columbia	94.17	94.17	0.00013343	0.00013343
Wyoming	10.14	10.14	1.752e-05	1.752e-05
Minnesota	56.132	56.132	9.95e-06	9.95e-06
Florida	931.364	931.364	4.336e-05	4.336e-05
Kentucky	63.837	63.837	1.429e-05	1.429e-05
North Dakota	13.993	13.993	1.836e-05	1.836e-05
Louisiana	1192.48	1192.48	0.00025651	0.00025651
Maryland	372.362	372.362	6.159e-05	6.159e-05
Texas	659.288	659.288	2.274e-05	2.274e-05
Hawaii	19.902	19.902	1.406e-05	1.406e-05
Virgin Islands	1.436	1.436	1.339e-05	1.339e-05
Rhode Island	93.759	93.759	8.851e-05	8.851e-05
Kansas	63.617	63.617	2.184e-05	2.184e-05
Pennsylvania	1280.051	1280.051	9.999e-05	9.999e-05
Nebraska	36.39	36.39	1.881e-05	1.881e-05
Tennessee	199.077	199.077	2.915e-05	2.915e-05
Idaho	13.807	13.807	7.73e-06	7.73e-06
Oregon	57.629	57.629	1.366e-05	1.366e-05
Nevada	124.959	124.959	4.057e-05	4.057e-05
California	1175.273	1175.273	2.974e-05	2.974e-05
West Virginia	29.501	29.501	1.646e-05	1.646e-05
New Mexico	66.871	66.871	3.189e-05	3.189e-05
