Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Missouri	0.0	3588.192	13992.192	0.155	546.04	1097.04	0.0	0.00058464	0.00227981	3e-08	8.897e-05	0.00017875
Puerto Rico	0.0	990.387	3319.387	0.018	62.935	177.935	0.0	0.00031011	0.00103936	1e-08	1.971e-05	5.571e-05
New York	0.0	45263.464	385924.464	0.424	7832.071	35309.071	0.0	0.00232674	0.01983824	2e-08	0.0004026	0.00181504
Alaska	0.0	18.629	401.629	0.0	2.046	12.046	0.0	2.547e-05	0.00054901	0.0	2.8e-06	1.647e-05
Illinois	1.504	55510.389	140204.389	0.158	2911.25	6703.25	1.2e-07	0.00438062	0.01106427	1e-08	0.00022974	0.00052899
South Carolina	0.208	3844.467	11874.467	0.0	143.866	505.866	4e-08	0.00074668	0.0023063	0.0	2.794e-05	9.825e-05
Virginia	1.073	19794.071	46540.071	0.011	616.44	1544.44	1.3e-07	0.00231902	0.00545252	0.0	7.222e-05	0.00018094
Washington	0.189	5824.419	23336.419	0.175	451.597	1425.597	2e-08	0.00076487	0.00306458	2e-08	5.93e-05	0.00018721
Vermont	0.0	27.177	956.177	0.0	0.829	53.829	0.0	4.355e-05	0.00153236	0.0	1.33e-06	8.627e-05
South Dakota	31.467	18396.551	22128.551	5.656	1674.056	1713.056	3.557e-05	0.02079508	0.02501365	6.39e-06	0.00189232	0.0019364
Georgia	0.664	16425.503	51852.503	0.042	780.966	2297.966	6e-08	0.00154703	0.00488372	0.0	7.356e-05	0.00021643
Connecticut	0.771	14227.426	49082.426	0.097	1788.058	4913.058	2.2e-07	0.00399054	0.01376675	3e-08	0.00050152	0.00137803
Alabama	0.608	7701.637	18401.637	0.084	446.122	896.122	1.2e-07	0.00157074	0.003753	2e-08	9.099e-05	0.00018276
Guam	0.002	24.304	176.304	0.0	0.0	5.0	1e-08	0.00014799	0.00107353	0.0	0.0	3.045e-05
New Hampshire	0.034	1871.707	5170.707	0.308	376.064	526.064	3e-08	0.00137655	0.0038028	2.3e-07	0.00027658	0.00038689
Oklahoma	0.0	1650.468	6508.468	0.007	127.247	405.247	0.0	0.0004171	0.00164481	0.0	3.216e-05	0.00010241
Colorado	0.6	11078.788	31553.788	0.019	467.276	1529.276	1e-07	0.00192382	0.00547929	0.0	8.114e-05	0.00026556
Ohio	1.27	16092.509	41813.509	0.061	1124.545	2607.545	1.1e-07	0.00137671	0.00357714	1e-08	9.62e-05	0.00022307
Maine	0.322	1134.076	2649.076	0.0	20.259	86.259	2.4e-07	0.00084367	0.00197073	0.0	1.507e-05	6.417e-05
Mississippi	0.37	6831.394	16921.394	0.025	465.984	930.984	1.2e-07	0.00229538	0.00568567	1e-08	0.00015657	0.00031281
Utah	0.209	3850.549	10470.549	0.008	66.441	141.441	7e-08	0.00120106	0.00326597	0.0	2.072e-05	4.412e-05
Delaware	0.367	4644.797	11596.797	0.01	177.143	424.143	3.8e-07	0.00476994	0.01190925	1e-08	0.00018192	0.00043557
Indiana	0.609	15069.971	40542.971	0.074	1365.199	2984.199	9e-08	0.00223848	0.00602223	1e-08	0.00020279	0.00044327
Arkansas	0.618	2177.668	6413.668	0.0	9.128	106.128	2e-07	0.00072161	0.00212528	0.0	3.02e-06	3.517e-05
Iowa	0.0	4978.623	18267.623	0.062	328.397	634.397	0.0	0.00157798	0.00578993	2e-08	0.00010409	0.00020107
New Jersey	0.0	24885.788	166445.788	0.103	4592.209	14306.209	0.0	0.00280176	0.01873927	1e-08	0.00051701	0.00161066
Wisconsin	0.437	8071.256	18973.256	0.08	282.002	703.002	8e-08	0.00138623	0.00325865	1e-08	4.843e-05	0.00012074
Michigan	0.0	9478.002	57869.002	0.029	1577.934	6291.934	0.0	0.00094905	0.00579452	0.0	0.000158	0.00063002
Arizona	0.746	9453.752	21669.752	0.146	773.493	1368.493	1e-07	0.00129882	0.00297714	2e-08	0.00010627	0.00018801
Massachusetts	0.0	26542.639	107039.639	0.194	3581.292	8896.292	0.0	0.00385094	0.01552986	3e-08	0.00051959	0.00129072
North Carolina	2.423	12829.46	29181.46	0.099	522.346	1147.346	2.3e-07	0.00122324	0.00278234	1e-08	4.98e-05	0.0001094
Montana	0.001	12.61	474.61	0.0	0.0	16.0	0.0	1.18e-05	0.00044407	0.0	0.0	1.497e-05
District of Columbia	0.246	4532.53	11116.53	0.021	270.13	620.13	3.5e-07	0.0064223	0.01575139	3e-08	0.00038276	0.00087868
Wyoming	0.015	269.823	957.823	0.0	0.0	7.0	3e-08	0.00046621	0.00165496	0.0	0.0	1.209e-05
Minnesota	2.172	18002.873	30919.873	0.032	593.014	1231.014	3.9e-07	0.00319221	0.0054826	1e-08	0.00010515	0.00021828
Florida	0.257	13984.562	56386.562	0.069	1270.38	3097.38	1e-08	0.00065112	0.00262535	0.0	5.915e-05	0.00014421
Kentucky	0.268	4945.818	11798.818	0.01	188.402	509.402	6e-08	0.00110702	0.00264093	0.0	4.217e-05	0.00011402
North Dakota	0.06	1114.186	2761.186	0.07	85.244	125.244	8e-08	0.00146207	0.00362331	9e-08	0.00011186	0.00016435
Louisiana	0.0	5816.6	38478.6	0.015	827.278	3208.278	0.0	0.00125121	0.00827711	0.0	0.00017796	0.00069013
Maryland	1.391	25656.328	60468.328	0.074	1360.473	3169.473	2.3e-07	0.00424375	0.01000191	1e-08	0.00022503	0.00052425
Texas	1.471	27138.866	70158.866	0.164	865.939	2037.939	5e-08	0.00093596	0.00241961	1e-08	2.986e-05	7.028e-05
Hawaii	0.002	41.894	679.894	0.002	2.356	19.356	0.0	2.959e-05	0.00048019	0.0	1.66e-06	1.367e-05
Virgin Islands	0.001	9.682	78.682	0.003	3.298	9.298	1e-08	9.026e-05	0.00073351	3e-08	3.075e-05	8.668e-05
Rhode Island	0.252	6247.148	18082.148	0.006	330.162	792.162	2.4e-07	0.00589709	0.01706892	1e-08	0.00031166	0.00074777
Kansas	0.365	6735.671	14253.671	0.001	83.538	271.538	1.3e-07	0.00231203	0.0048926	0.0	2.867e-05	9.321e-05
Pennsylvania	1.573	29025.457	91126.457	0.206	3799.42	7893.42	1.2e-07	0.00226726	0.00711815	2e-08	0.00029678	0.00061658
Nebraska	0.371	9170.44	18082.44	0.004	65.874	168.874	1.9e-07	0.0047407	0.00934779	0.0	3.405e-05	8.73e-05
Tennessee	0.0	3276.956	19646.956	0.003	112.624	385.624	0.0	0.00047985	0.00287692	0.0	1.649e-05	5.647e-05
Idaho	0.0	348.339	2641.339	0.0	7.536	76.536	0.0	0.00019492	0.00147803	0.0	4.22e-06	4.283e-05
Oregon	0.248	2057.34	5473.34	0.015	80.699	214.699	6e-08	0.00048778	0.0012977	0.0	1.913e-05	5.09e-05
Nevada	0.0	1698.684	8174.684	0.01	189.861	520.861	0.0	0.00055149	0.00265398	0.0	6.164e-05	0.0001691
California	6.066	50270.706	123068.706	0.099	1826.457	4783.457	1.5e-07	0.00127228	0.0031147	0.0	4.623e-05	0.00012106
West Virginia	0.03	553.833	1951.833	0.001	22.972	80.972	2e-08	0.00030903	0.0010891	0.0	1.282e-05	4.518e-05
New Mexico	0.15	3722.677	9086.677	0.01	183.445	414.445	7e-08	0.00177538	0.00433353	0.0	8.749e-05	0.00019765
