Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.57	2.0	0.0	26.139
2020-09-02	0.704	2.704	0.0	26.139
2020-09-03	0.869	3.573	0.0	26.139
2020-09-04	1.073	4.646	0.0	26.139
2020-09-05	1.319	5.965	0.0	26.139
2020-09-06	1.593	7.558	0.0	26.139
2020-09-07	1.887	9.445	0.0	26.139
2020-09-08	2.229	11.674	0.0	26.139
2020-09-09	2.631	14.305	0.0	26.139
2020-09-10	3.11	17.415	0.0	26.139
2020-09-11	3.673	21.088	0.0	26.139
2020-09-12	4.328	25.416	0.0	26.139
2020-09-13	5.071	30.487	0.0	26.139
2020-09-14	5.894	36.381	0.0	26.139
2020-09-15	6.788	43.169	0.0	26.139
2020-09-16	7.769	50.938	0.0	26.139
2020-09-17	8.812	59.75	0.0	26.139
2020-09-18	9.886	69.636	0.0	26.139
2020-09-19	10.971	80.607	0.0	26.139
2020-09-20	12.051	92.658	0.0	26.139
2020-09-21	13.141	105.799	0.0	26.139
2020-09-22	14.275	120.074	0.0	26.139
2020-09-23	15.524	135.598	0.0	26.139
2020-09-24	16.771	152.369	0.0	26.139
2020-09-25	17.977	170.346	0.0	26.139
2020-09-26	19.002	189.348	0.0	26.139
2020-09-27	19.797	209.145	0.0	26.139
2020-09-28	20.255	229.4	0.0	26.139
2020-09-29	20.515	249.915	0.0	26.139
2020-09-30	20.589	270.504	0.0	26.139
2020-10-01	20.55	291.054	0.0	26.139
2020-10-02	20.361	311.415	0.0	26.139
2020-10-03	20.096	331.511	0.0	26.139
2020-10-04	19.793	351.304	0.0	26.139
2020-10-05	19.412	370.716	0.0	26.139
2020-10-06	18.953	389.669	0.0	26.139
2020-10-07	18.459	408.128	0.0	26.139
2020-10-08	17.966	426.094	0.0	26.139
2020-10-09	17.477	443.571	0.0	26.139
2020-10-10	17.026	460.597	0.0	26.139
2020-10-11	16.612	477.209	0.0	26.139
2020-10-12	16.192	493.401	0.0	26.139
2020-10-13	15.732	509.133	0.0	26.139
2020-10-14	15.233	524.366	0.0	26.139
2020-10-15	14.696	539.062	0.0	26.139
2020-10-16	14.122	553.184	0.0	26.139
2020-10-17	13.547	566.731	0.0	26.139
2020-10-18	12.973	579.704	0.0	26.139
2020-10-19	12.404	592.108	0.0	26.139
2020-10-20	11.847	603.955	0.0	26.139
2020-10-21	11.307	615.262	0.0	26.139
2020-10-22	10.774	626.036	0.0	26.139
2020-10-23	10.254	636.29	0.0	26.139
2020-10-24	9.747	646.037	0.0	26.139
2020-10-25	9.259	655.296	0.0	26.139
2020-10-26	8.785	664.081	0.0	26.139
2020-10-27	8.332	672.413	0.0	26.139
2020-10-28	7.9	680.313	0.0	26.139
2020-10-29	7.489	687.802	0.0	26.139
2020-10-30	7.093	694.895	0.0	26.139
2020-10-31	6.711	701.606	0.0	26.139
2020-11-01	6.34	707.946	0.0	26.139
2020-11-02	5.977	713.923	0.0	26.139
2020-11-03	5.616	719.539	0.0	26.139
2020-11-04	5.255	724.794	0.0	26.139
2020-11-05	4.895	729.689	0.0	26.139
2020-11-06	4.54	734.229	0.0	26.139
2020-11-07	4.211	738.44	0.0	26.139
2020-11-08	3.921	742.361	0.0	26.139
2020-11-09	3.669	746.03	0.0	26.139
2020-11-10	3.453	749.483	0.0	26.139
2020-11-11	3.265	752.748	0.0	26.139
2020-11-12	3.091	755.839	0.0	26.139
2020-11-13	2.918	758.757	0.0	26.139
2020-11-14	2.745	761.502	0.0	26.139
2020-11-15	2.572	764.074	0.0	26.139
2020-11-16	2.399	766.473	0.0	26.139
2020-11-17	2.229	768.702	0.0	26.139
2020-11-18	2.074	770.776	0.0	26.139
2020-11-19	1.935	772.711	0.0	26.139
2020-11-20	1.809	774.52	0.0	26.139
2020-11-21	1.697	776.217	0.0	26.139
2020-11-22	1.596	777.813	0.0	26.139
2020-11-23	1.495	779.308	0.0	26.139
2020-11-24	1.395	780.703	0.0	26.139
2020-11-25	1.294	781.997	0.0	26.139
2020-11-26	1.193	783.19	0.0	26.139
2020-11-27	1.093	784.283	0.0	26.139
2020-11-28	0.992	785.275	0.0	26.139
2020-11-29	0.893	786.168	0.0	26.139
2020-11-30	0.801	786.969	0.0	26.139
2020-12-01	0.718	787.687	0.0	26.139
2020-12-02	0.641	788.328	0.0	26.139
2020-12-03	0.571	788.899	0.0	26.139
2020-12-04	0.505	789.404	0.0	26.139
2020-12-05	0.44	789.844	0.0	26.139
2020-12-06	0.374	790.218	0.0	26.139
2020-12-07	0.308	790.526	0.0	26.139
2020-12-08	0.241	790.767	0.0	26.139
2020-12-09	0.171	790.938	0.0	26.139
2020-12-10	0.11	791.048	0.0	26.139
2020-12-11	0.068	791.116	0.0	26.139
2020-12-12	0.043	791.159	0.0	26.139
2020-12-13	0.028	791.187	0.0	26.139
2020-12-14	0.02	791.207	0.0	26.139
2020-12-15	0.016	791.223	0.0	26.139
2020-12-16	0.012	791.235	0.0	26.139
2020-12-17	0.01	791.245	0.0	26.139
2020-12-18	0.008	791.253	0.0	26.139
2020-12-19	0.006	791.259	0.0	26.139
2020-12-20	0.004	791.263	0.0	26.139
