Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Weber	1.411	123.617	5.5e-06	0.0004822
Washington	0.922	65.476	5.37e-06	0.00038134
Cache	20.688	793.287	0.00016281	0.00624301
Uintah	0.0	0.0	0.0	0.0
Carbon	0.0	0.0	0.0	0.0
San Juan	0.0	0.0	0.0	0.0
Grand	0.0	0.0	0.0	0.0
Box Elder	0.056	6.775	1.02e-06	0.00012329
Emery	0.0	0.0	0.0	0.0
Salt Lake	13.734	1249.157	1.192e-05	0.00108374
Duchesne	0.0	0.0	0.0	0.0
Kane	0.0	0.0	0.0	0.0
Garfield	0.0	0.0	0.0	0.0
Out of UT	0.0	0.0	N/A	N/A
