Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Millard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sevier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wayne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Davis	0.014	165.079	589.079	0.0	0.0	2.0	4e-08	0.00046936	0.00167489	0.0	0.0	5.69e-06
Weber	0.009	106.975	218.975	0.0	0.0	1.0	4e-08	0.00041729	0.00085417	0.0	0.0	3.9e-06
Washington	0.005	62.385	139.385	0.0	0.0	1.0	3e-08	0.00036334	0.00081179	0.0	0.0	5.82e-06
Cache	0.0	14.734	51.734	0.0	0.0	0.0	0.0	0.00011595	0.00040714	0.0	0.0	0.0
Uintah	0.0	0.646	6.646	0.0	0.0	0.0	0.0	1.823e-05	0.00018754	0.0	0.0	0.0
Carbon	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.867e-05	0.0	0.0	0.0
Utah	0.358	894.767	2647.767	0.044	32.591	47.591	5.8e-07	0.00143804	0.0042554	7e-08	5.238e-05	7.649e-05
San Juan	0.0	67.143	339.143	0.0	0.251	5.251	0.0	0.00434611	0.02195242	0.0	1.625e-05	0.00033989
Summit	0.0	0.919	407.919	0.0	0.251	0.251	0.0	2.192e-05	0.00972788	0.0	5.99e-06	5.99e-06
Grand	0.0	0.0	1.0	0.0	0.251	0.251	0.0	0.0	0.00010242	0.0	2.571e-05	2.571e-05
Wasatch	0.091	183.208	441.208	0.0	0.0	1.0	2.74e-06	0.00551167	0.01327341	0.0	0.0	3.008e-05
Sanpete	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beaver	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned	0.004	50.674	54.674	0.0	0.0	7.0	N/A	N/A	N/A	N/A	N/A	N/A
Box Elder	0.002	23.87	75.87	0.0	0.0	0.0	4e-08	0.00043439	0.00138071	0.0	0.0	0.0
Tooele	0.004	64.416	179.416	0.0	0.0	0.0	6e-08	0.00092145	0.0025665	0.0	0.0	0.0
Daggett	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iron	0.001	10.13	25.13	0.0	0.0	0.0	2e-08	0.00019195	0.00047617	0.0	0.0	0.0
Rich	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Emery	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00029958	0.0	0.0	0.0
Salt Lake	0.487	2486.738	7168.738	0.004	43.243	113.243	4.2e-07	0.00215744	0.00621945	0.0	3.752e-05	9.825e-05
Morgan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Duchesne	0.0	0.0	3.0	0.004	43.243	43.243	0.0	0.0	0.00015027	2e-07	0.00216605	0.00216605
Washington County	0.0	0.0	5.0	0.004	43.243	43.243	N/A	N/A	N/A	N/A	N/A	N/A
Kane	0.0	0.0	3.0	0.004	43.243	43.243	0.0	0.0	0.00038916	5.2e-07	0.00560942	0.00560942
Juab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Garfield	0.0	0.0	1.0	0.004	43.243	43.243	0.0	0.0	0.00019685	7.9e-07	0.0085124	0.0085124
Piute	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Out of UT	0.0	0.0	22.0	0.004	43.243	43.243	N/A	N/A	N/A	N/A	N/A	N/A
