Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Davis	0.006	414.035	1153.035	0.003	9.692	13.692	2e-08	0.0011772	0.00327834	1e-08	2.756e-05	3.893e-05
Weber	0.001	106.996	218.996	0.0	0.0	1.0	0.0	0.00041737	0.00085426	0.0	0.0	3.9e-06
Washington	0.001	62.396	139.396	0.0	0.0	1.0	1e-08	0.0003634	0.00081186	0.0	0.0	5.82e-06
Carbon	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.867e-05	0.0	0.0	0.0
Utah	0.019	1362.577	4223.577	0.005	13.626	32.626	3e-08	0.00218989	0.00678799	1e-08	2.19e-05	5.244e-05
San Juan	0.001	98.208	472.208	0.001	4.25	11.25	6e-08	0.00635692	0.0305656	6e-08	0.0002751	0.0007282
Summit	0.0	6.236	459.236	0.001	4.25	4.25	0.0	0.00014871	0.01095166	2e-08	0.00010135	0.00010135
Grand	0.0	0.0	1.0	0.001	4.25	4.25	0.0	0.0	0.00010242	1e-07	0.00043527	0.00043527
Wasatch	0.001	71.182	439.182	0.0	0.0	2.0	3e-08	0.00214146	0.01321245	0.0	0.0	6.017e-05
Unassigned	0.001	50.685	54.685	0.0	0.0	7.0	N/A	N/A	N/A	N/A	N/A	N/A
Box Elder	0.0	23.874	75.874	0.0	0.0	0.0	0.0	0.00043447	0.00138078	0.0	0.0	0.0
Tooele	0.002	84.172	268.172	0.0	0.0	0.0	3e-08	0.00120406	0.00383613	0.0	0.0	0.0
Iron	0.0	10.131	25.131	0.0	0.0	0.0	0.0	0.00019197	0.00047619	0.0	0.0	0.0
Emery	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00029958	0.0	0.0	0.0
Salt Lake	0.102	4782.703	12865.703	0.001	48.202	148.202	9e-08	0.00414937	0.01116201	0.0	4.182e-05	0.00012858
Duchesne	0.0	0.0	3.0	0.001	48.202	48.202	0.0	0.0	0.00015027	5e-08	0.00241445	0.00241445
Washington County	0.0	0.0	5.0	0.001	48.202	48.202	N/A	N/A	N/A	N/A	N/A	N/A
Kane	0.0	0.0	3.0	0.001	48.202	48.202	0.0	0.0	0.00038916	1.3e-07	0.00625269	0.00625269
Garfield	0.0	0.0	1.0	0.001	48.202	48.202	0.0	0.0	0.00019685	2e-07	0.00948858	0.00948858
Out of UT	0.0	0.0	22.0	0.001	48.202	48.202	N/A	N/A	N/A	N/A	N/A	N/A
