Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Chittenden	1.802	438.206	1.095e-05	0.0026627
Bennington	0.104	25.184	2.91e-06	0.00070681
Rutland	0.285	69.257	4.85e-06	0.0011804
Addison	0.243	59.183	6.58e-06	0.00160071
Washington	0.093	22.666	1.6e-06	0.00038985
Caledonia	0.047	11.333	1.54e-06	0.000374
Windham	0.274	66.738	6.42e-06	0.00156091
Unassigned	0.0	0.0	N/A	N/A
Franklin	0.212	51.628	4.3e-06	0.00104465
Orleans	0.0	0.098	0.0	3.63e-06
Windsor	0.052	12.592	9.4e-07	0.00022776
Lamoille	0.067	16.37	2.66e-06	0.00064703
Orange	0.0	0.0	0.0	0.0
