Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Chittenden	0.0	10.018	405.209	0.0	6.355	32.351	0.0	6.087e-05	0.0024622	0.0	3.862e-05	0.00019658
Bennington	0.026	14.663	52.272	0.0	0.0	1.0	7.3e-07	0.00041152	0.00146704	0.0	0.0	2.807e-05
Rutland	0.044	24.521	69.539	0.0	0.0	1.0	7.5e-07	0.00041793	0.00118522	0.0	0.0	1.704e-05
Addison	0.0	5.624	67.455	0.0	0.0	2.0	0.0	0.00015211	0.00182444	0.0	0.0	5.409e-05
Washington	0.0	3.664	36.237	0.0	0.0	1.0	0.0	6.302e-05	0.00062327	0.0	0.0	1.72e-05
Caledonia	0.067	20.627	32.956	0.0	0.0	0.0	2.21e-06	0.00068071	0.00108758	0.0	0.0	0.0
Windham	0.0	7.227	73.974	0.0	0.0	2.0	0.0	0.00016903	0.00173014	0.0	0.0	4.678e-05
Unassigned	0.0	0.203	3.296	0.006	3.21	4.343	N/A	N/A	N/A	N/A	N/A	N/A
Essex	0.0	0.0	2.0	0.006	3.21	3.343	0.0	0.0	0.00032	9.6e-07	0.0005136	0.00053488
Franklin	0.0	7.755	102.999	0.0	6.382	11.382	0.0	0.00015692	0.00208411	0.0	0.00012914	0.00023031
Orleans	0.584	64.833	73.913	0.0	6.386	7.386	2.17e-05	0.00240952	0.00274698	0.0	0.00023734	0.0002745
Windsor	4.429	604.409	643.751	0.0	0.01	2.014	8.011e-05	0.01093241	0.01164401	0.0	1.8e-07	3.643e-05
Grand Isle	0.0	0.0	3.0	0.0	0.01	0.014	0.0	0.0	0.00042313	0.0	1.41e-06	1.97e-06
Lamoille	0.0	1.194	24.483	0.0	0.0	2.0	0.0	4.719e-05	0.00096771	0.0	0.0	7.905e-05
Orange	0.0	0.01	6.014	0.0	0.0	0.0	0.0	3.4e-07	0.00020739	0.0	0.0	0.0
