Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-07	6.462	914.462	0.8	52.8
2020-05-08	6.403	920.865	0.793	53.593
2020-05-09	6.32	927.185	0.782	54.375
2020-05-10	6.224	933.409	0.771	55.146
2020-05-11	6.104	939.513	0.756	55.902
2020-05-12	5.96	945.473	0.738	56.64
2020-05-13	5.805	951.278	0.719	57.359
2020-05-14	5.65	956.928	0.699	58.058
2020-05-15	5.496	962.424	0.68	58.738
2020-05-16	5.354	967.778	0.663	59.401
2020-05-17	5.224	973.002	0.647	60.048
2020-05-18	5.092	978.094	0.63	60.678
2020-05-19	4.947	983.041	0.612	61.29
2020-05-20	4.79	987.831	0.593	61.883
2020-05-21	4.621	992.452	0.572	62.455
2020-05-22	4.441	996.893	0.55	63.005
2020-05-23	4.26	1001.153	0.527	63.532
2020-05-24	4.08	1005.233	0.505	64.037
2020-05-25	3.901	1009.134	0.483	64.52
2020-05-26	3.726	1012.86	0.461	64.981
2020-05-27	3.556	1016.416	0.44	65.421
2020-05-28	3.388	1019.804	0.419	65.84
2020-05-29	3.224	1023.028	0.399	66.239
2020-05-30	3.065	1026.093	0.379	66.618
2020-05-31	2.912	1029.005	0.36	66.978
2020-06-01	2.762	1031.767	0.342	67.32
2020-06-02	2.62	1034.387	0.324	67.644
2020-06-03	2.484	1036.871	0.308	67.952
2020-06-04	2.355	1039.226	0.292	68.244
2020-06-05	2.23	1041.456	0.276	68.52
2020-06-06	2.11	1043.566	0.261	68.781
2020-06-07	1.994	1045.56	0.247	69.028
2020-06-08	1.879	1047.439	0.233	69.261
2020-06-09	1.766	1049.205	0.219	69.48
2020-06-10	1.653	1050.858	0.205	69.685
2020-06-11	1.539	1052.397	0.191	69.876
2020-06-12	1.428	1053.825	0.177	70.053
2020-06-13	1.324	1055.149	0.164	70.217
2020-06-14	1.233	1056.382	0.153	70.37
2020-06-15	1.154	1057.536	0.143	70.513
2020-06-16	1.086	1058.622	0.134	70.647
2020-06-17	1.027	1059.649	0.127	70.774
2020-06-18	0.972	1060.621	0.12	70.894
2020-06-19	0.918	1061.539	0.114	71.008
2020-06-20	0.863	1062.402	0.107	71.115
2020-06-21	0.809	1063.211	0.1	71.215
2020-06-22	0.754	1063.965	0.093	71.308
2020-06-23	0.701	1064.666	0.087	71.395
2020-06-24	0.652	1065.318	0.081	71.476
2020-06-25	0.608	1065.926	0.075	71.551
2020-06-26	0.569	1066.495	0.07	71.621
2020-06-27	0.534	1067.029	0.066	71.687
2020-06-28	0.502	1067.531	0.062	71.749
2020-06-29	0.47	1068.001	0.058	71.807
2020-06-30	0.439	1068.44	0.054	71.861
2020-07-01	0.407	1068.847	0.05	71.911
2020-07-02	0.375	1069.222	0.046	71.957
2020-07-03	0.344	1069.566	0.043	72.0
2020-07-04	0.312	1069.878	0.039	72.039
2020-07-05	0.281	1070.159	0.035	72.074
2020-07-06	0.252	1070.411	0.031	72.105
2020-07-07	0.226	1070.637	0.028	72.133
2020-07-08	0.202	1070.839	0.025	72.158
2020-07-09	0.18	1071.019	0.022	72.18
2020-07-10	0.159	1071.178	0.02	72.2
2020-07-11	0.138	1071.316	0.017	72.217
2020-07-12	0.118	1071.434	0.015	72.232
2020-07-13	0.097	1071.531	0.012	72.244
2020-07-14	0.076	1071.607	0.009	72.253
2020-07-15	0.054	1071.661	0.007	72.26
2020-07-16	0.035	1071.696	0.004	72.264
2020-07-17	0.021	1071.717	0.003	72.267
2020-07-18	0.013	1071.73	0.002	72.269
2020-07-19	0.009	1071.739	0.001	72.27
2020-07-20	0.006	1071.745	0.001	72.271
2020-07-21	0.005	1071.75	0.001	72.272
2020-07-22	0.004	1071.754	0.0	72.272
2020-07-23	0.003	1071.757	0.0	72.272
2020-07-24	0.002	1071.759	0.0	72.272
2020-07-25	0.002	1071.761	0.0	72.272
2020-07-26	0.001	1071.762	0.0	72.272
2020-07-27	0.0	1071.762	0.0	72.272
2020-07-28	0.0	1071.762	0.0	72.272
2020-07-29	0.0	1071.762	0.0	72.272
2020-07-30	0.0	1071.762	0.0	72.272
2020-07-31	0.0	1071.762	0.0	72.272
2020-08-01	0.0	1071.762	0.0	72.272
2020-08-02	0.0	1071.762	0.0	72.272
2020-08-03	0.0	1071.762	0.0	72.272
2020-08-04	0.0	1071.762	0.0	72.272
2020-08-05	0.0	1071.762	0.0	72.272
2020-08-06	0.0	1071.762	0.0	72.272
2020-08-07	0.0	1071.762	0.0	72.272
2020-08-08	0.0	1071.762	0.0	72.272
2020-08-09	0.0	1071.762	0.0	72.272
2020-08-10	0.0	1071.762	0.0	72.272
2020-08-11	0.0	1071.762	0.0	72.272
2020-08-12	0.0	1071.762	0.0	72.272
2020-08-13	0.0	1071.762	0.0	72.272
2020-08-14	0.0	1071.762	0.0	72.272
2020-08-15	0.0	1071.762	0.0	72.272
2020-08-16	0.0	1071.762	0.0	72.272
2020-08-17	0.0	1071.762	0.0	72.272
2020-08-18	0.0	1071.762	0.0	72.272
2020-08-19	0.0	1071.762	0.0	72.272
2020-08-20	0.0	1071.762	0.0	72.272
2020-08-21	0.0	1071.762	0.0	72.272
2020-08-22	0.0	1071.762	0.0	72.272
2020-08-23	0.0	1071.762	0.0	72.272
2020-08-24	0.0	1071.762	0.0	72.272
2020-08-25	0.0	1071.762	0.0	72.272
2020-08-26	0.0	1071.762	0.0	72.272
2020-08-27	0.0	1071.762	0.0	72.272
2020-08-28	0.0	1071.762	0.0	72.272
2020-08-29	0.0	1071.762	0.0	72.272
2020-08-30	0.0	1071.762	0.0	72.272
