Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	21.022	3139.022	0.147	135.147
2020-08-14	20.829	3159.851	0.145	135.292
2020-08-15	20.558	3180.409	0.143	135.435
2020-08-16	20.248	3200.657	0.141	135.576
2020-08-17	19.858	3220.515	0.139	135.715
2020-08-18	19.389	3239.904	0.135	135.85
2020-08-19	18.884	3258.788	0.132	135.982
2020-08-20	18.379	3277.167	0.128	136.11
2020-08-21	17.878	3295.045	0.125	136.235
2020-08-22	17.417	3312.462	0.122	136.357
2020-08-23	16.994	3329.456	0.119	136.476
2020-08-24	16.564	3346.02	0.116	136.592
2020-08-25	16.094	3362.114	0.112	136.704
2020-08-26	15.584	3377.698	0.109	136.813
2020-08-27	15.034	3392.732	0.105	136.918
2020-08-28	14.446	3407.178	0.101	137.019
2020-08-29	13.859	3421.037	0.097	137.116
2020-08-30	13.271	3434.308	0.093	137.209
2020-08-31	12.689	3446.997	0.089	137.298
2020-09-01	12.12	3459.117	0.085	137.383
2020-09-02	11.567	3470.684	0.081	137.464
2020-09-03	11.022	3481.706	0.077	137.541
2020-09-04	10.49	3492.196	0.073	137.614
2020-09-05	9.971	3502.167	0.07	137.684
2020-09-06	9.472	3511.639	0.066	137.75
2020-09-07	8.987	3520.626	0.063	137.813
2020-09-08	8.523	3529.149	0.059	137.872
2020-09-09	8.082	3537.231	0.056	137.928
2020-09-10	7.661	3544.892	0.053	137.981
2020-09-11	7.256	3552.148	0.051	138.032
2020-09-12	6.865	3559.013	0.048	138.08
2020-09-13	6.486	3565.499	0.045	138.125
2020-09-14	6.114	3571.613	0.043	138.168
2020-09-15	5.745	3577.358	0.04	138.208
2020-09-16	5.376	3582.734	0.038	138.246
2020-09-17	5.007	3587.741	0.035	138.281
2020-09-18	4.644	3592.385	0.032	138.313
2020-09-19	4.308	3596.693	0.03	138.343
2020-09-20	4.011	3600.704	0.028	138.371
2020-09-21	3.754	3604.458	0.026	138.397
2020-09-22	3.532	3607.99	0.025	138.422
2020-09-23	3.34	3611.33	0.023	138.445
2020-09-24	3.162	3614.492	0.022	138.467
2020-09-25	2.985	3617.477	0.021	138.488
2020-09-26	2.808	3620.285	0.02	138.508
2020-09-27	2.631	3622.916	0.018	138.526
2020-09-28	2.454	3625.37	0.017	138.543
2020-09-29	2.28	3627.65	0.016	138.559
2020-09-30	2.122	3629.772	0.015	138.574
2020-10-01	1.979	3631.751	0.014	138.588
2020-10-02	1.851	3633.602	0.013	138.601
2020-10-03	1.737	3635.339	0.012	138.613
2020-10-04	1.633	3636.972	0.011	138.624
2020-10-05	1.53	3638.502	0.011	138.635
2020-10-06	1.427	3639.929	0.01	138.645
2020-10-07	1.324	3641.253	0.009	138.654
2020-10-08	1.221	3642.474	0.009	138.663
2020-10-09	1.118	3643.592	0.008	138.671
2020-10-10	1.014	3644.606	0.007	138.678
2020-10-11	0.914	3645.52	0.006	138.684
2020-10-12	0.82	3646.34	0.006	138.69
2020-10-13	0.734	3647.074	0.005	138.695
2020-10-14	0.656	3647.73	0.005	138.7
2020-10-15	0.584	3648.314	0.004	138.704
2020-10-16	0.516	3648.83	0.004	138.708
2020-10-17	0.45	3649.28	0.003	138.711
2020-10-18	0.383	3649.663	0.003	138.714
2020-10-19	0.315	3649.978	0.002	138.716
2020-10-20	0.246	3650.224	0.002	138.718
2020-10-21	0.175	3650.399	0.001	138.719
2020-10-22	0.112	3650.511	0.001	138.72
2020-10-23	0.069	3650.58	0.0	138.72
2020-10-24	0.044	3650.624	0.0	138.72
2020-10-25	0.029	3650.653	0.0	138.72
2020-10-26	0.021	3650.674	0.0	138.72
2020-10-27	0.016	3650.69	0.0	138.72
2020-10-28	0.013	3650.703	0.0	138.72
2020-10-29	0.01	3650.713	0.0	138.72
2020-10-30	0.008	3650.721	0.0	138.72
2020-10-31	0.006	3650.727	0.0	138.72
2020-11-01	0.004	3650.731	0.0	138.72
