Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-01	0.404	6.404	0.0	0.0
2020-06-02	0.401	6.805	0.0	0.0
2020-06-03	0.396	7.201	0.0	0.0
2020-06-04	0.39	7.591	0.0	0.0
2020-06-05	0.382	7.973	0.0	0.0
2020-06-06	0.373	8.346	0.0	0.0
2020-06-07	0.363	8.709	0.0	0.0
2020-06-08	0.354	9.063	0.0	0.0
2020-06-09	0.344	9.407	0.0	0.0
2020-06-10	0.335	9.742	0.0	0.0
2020-06-11	0.327	10.069	0.0	0.0
2020-06-12	0.319	10.388	0.0	0.0
2020-06-13	0.31	10.698	0.0	0.0
2020-06-14	0.3	10.998	0.0	0.0
2020-06-15	0.289	11.287	0.0	0.0
2020-06-16	0.278	11.565	0.0	0.0
2020-06-17	0.267	11.832	0.0	0.0
2020-06-18	0.255	12.087	0.0	0.0
2020-06-19	0.244	12.331	0.0	0.0
2020-06-20	0.233	12.564	0.0	0.0
2020-06-21	0.223	12.787	0.0	0.0
2020-06-22	0.212	12.999	0.0	0.0
2020-06-23	0.202	13.201	0.0	0.0
2020-06-24	0.192	13.393	0.0	0.0
2020-06-25	0.182	13.575	0.0	0.0
2020-06-26	0.173	13.748	0.0	0.0
2020-06-27	0.164	13.912	0.0	0.0
2020-06-28	0.155	14.067	0.0	0.0
2020-06-29	0.147	14.214	0.0	0.0
2020-06-30	0.14	14.354	0.0	0.0
2020-07-01	0.132	14.486	0.0	0.0
2020-07-02	0.125	14.611	0.0	0.0
2020-07-03	0.118	14.729	0.0	0.0
2020-07-04	0.111	14.84	0.0	0.0
2020-07-05	0.103	14.943	0.0	0.0
2020-07-06	0.096	15.039	0.0	0.0
2020-07-07	0.089	15.128	0.0	0.0
2020-07-08	0.083	15.211	0.0	0.0
2020-07-09	0.077	15.288	0.0	0.0
2020-07-10	0.072	15.36	0.0	0.0
2020-07-11	0.068	15.428	0.0	0.0
2020-07-12	0.064	15.492	0.0	0.0
2020-07-13	0.061	15.553	0.0	0.0
2020-07-14	0.057	15.61	0.0	0.0
2020-07-15	0.054	15.664	0.0	0.0
2020-07-16	0.051	15.715	0.0	0.0
2020-07-17	0.047	15.762	0.0	0.0
2020-07-18	0.044	15.806	0.0	0.0
2020-07-19	0.041	15.847	0.0	0.0
2020-07-20	0.038	15.885	0.0	0.0
2020-07-21	0.036	15.921	0.0	0.0
2020-07-22	0.033	15.954	0.0	0.0
2020-07-23	0.031	15.985	0.0	0.0
2020-07-24	0.029	16.014	0.0	0.0
2020-07-25	0.027	16.041	0.0	0.0
2020-07-26	0.025	16.066	0.0	0.0
2020-07-27	0.023	16.089	0.0	0.0
2020-07-28	0.022	16.111	0.0	0.0
2020-07-29	0.02	16.131	0.0	0.0
2020-07-30	0.018	16.149	0.0	0.0
2020-07-31	0.016	16.165	0.0	0.0
2020-08-01	0.014	16.179	0.0	0.0
2020-08-02	0.013	16.192	0.0	0.0
2020-08-03	0.011	16.203	0.0	0.0
2020-08-04	0.01	16.213	0.0	0.0
2020-08-05	0.009	16.222	0.0	0.0
2020-08-06	0.007	16.229	0.0	0.0
2020-08-07	0.006	16.235	0.0	0.0
2020-08-08	0.005	16.24	0.0	0.0
2020-08-09	0.003	16.243	0.0	0.0
2020-08-10	0.002	16.245	0.0	0.0
2020-08-11	0.001	16.246	0.0	0.0
2020-08-12	0.001	16.247	0.0	0.0
2020-08-13	0.001	16.248	0.0	0.0
2020-08-14	0.0	16.248	0.0	0.0
2020-08-15	0.0	16.248	0.0	0.0
2020-08-16	0.0	16.248	0.0	0.0
2020-08-17	0.0	16.248	0.0	0.0
2020-08-18	0.0	16.248	0.0	0.0
2020-08-19	0.0	16.248	0.0	0.0
2020-08-20	0.0	16.248	0.0	0.0
2020-08-21	0.0	16.248	0.0	0.0
2020-08-22	0.0	16.248	0.0	0.0
2020-08-23	0.0	16.248	0.0	0.0
2020-08-24	0.0	16.248	0.0	0.0
2020-08-25	0.0	16.248	0.0	0.0
2020-08-26	0.0	16.248	0.0	0.0
2020-08-27	0.0	16.248	0.0	0.0
2020-08-28	0.0	16.248	0.0	0.0
2020-08-29	0.0	16.248	0.0	0.0
2020-08-30	0.0	16.248	0.0	0.0
