Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-22	0.12	9.12	0.12	0.12
2020-06-23	0.148	9.268	0.13	0.25
2020-06-24	0.182	9.45	0.142	0.392
2020-06-25	0.22	9.67	0.153	0.545
2020-06-26	0.261	9.931	0.164	0.709
2020-06-27	0.308	10.239	0.174	0.883
2020-06-28	0.363	10.602	0.181	1.064
2020-06-29	0.429	11.031	0.185	1.249
2020-06-30	0.507	11.538	0.187	1.436
2020-07-01	0.598	12.136	0.188	1.624
2020-07-02	0.7	12.836	0.188	1.812
2020-07-03	0.814	13.65	0.186	1.998
2020-07-04	0.937	14.587	0.184	2.182
2020-07-05	1.073	15.66	0.181	2.363
2020-07-06	1.217	16.877	0.177	2.54
2020-07-07	1.365	18.242	0.173	2.713
2020-07-08	1.515	19.757	0.169	2.882
2020-07-09	1.664	21.421	0.164	3.046
2020-07-10	1.814	23.235	0.16	3.206
2020-07-11	1.971	25.206	0.155	3.361
2020-07-12	2.143	27.349	0.152	3.513
2020-07-13	2.315	29.664	0.148	3.661
2020-07-14	2.482	32.146	0.144	3.805
2020-07-15	2.623	34.769	0.139	3.944
2020-07-16	2.733	37.502	0.134	4.078
2020-07-17	2.796	40.298	0.129	4.207
2020-07-18	2.832	43.13	0.124	4.331
2020-07-19	2.842	45.972	0.118	4.449
2020-07-20	2.837	48.809	0.113	4.562
2020-07-21	2.811	51.62	0.108	4.67
2020-07-22	2.774	54.394	0.103	4.773
2020-07-23	2.733	57.127	0.098	4.871
2020-07-24	2.68	59.807	0.094	4.965
2020-07-25	2.617	62.424	0.089	5.054
2020-07-26	2.548	64.972	0.085	5.139
2020-07-27	2.48	67.452	0.08	5.219
2020-07-28	2.413	69.865	0.076	5.295
2020-07-29	2.351	72.216	0.072	5.367
2020-07-30	2.294	74.51	0.068	5.435
2020-07-31	2.235	76.745	0.065	5.5
2020-08-01	2.172	78.917	0.061	5.561
2020-08-02	2.103	81.02	0.058	5.619
2020-08-03	2.029	83.049	0.055	5.674
2020-08-04	1.95	84.999	0.051	5.725
2020-08-05	1.87	86.869	0.048	5.773
2020-08-06	1.791	88.66	0.045	5.818
2020-08-07	1.713	90.373	0.041	5.859
2020-08-08	1.636	92.009	0.038	5.897
2020-08-09	1.561	93.57	0.036	5.933
2020-08-10	1.487	95.057	0.034	5.967
2020-08-11	1.416	96.473	0.032	5.999
2020-08-12	1.346	97.819	0.03	6.029
2020-08-13	1.278	99.097	0.028	6.057
2020-08-14	1.213	100.31	0.027	6.084
2020-08-15	1.15	101.46	0.025	6.109
2020-08-16	1.091	102.551	0.023	6.132
2020-08-17	1.034	103.585	0.022	6.154
2020-08-18	0.979	104.564	0.02	6.174
2020-08-19	0.926	105.49	0.019	6.193
2020-08-20	0.875	106.365	0.018	6.211
2020-08-21	0.825	107.19	0.017	6.228
2020-08-22	0.775	107.965	0.016	6.244
2020-08-23	0.726	108.691	0.015	6.259
2020-08-24	0.676	109.367	0.014	6.273
2020-08-25	0.627	109.994	0.013	6.286
2020-08-26	0.581	110.575	0.012	6.298
2020-08-27	0.541	111.116	0.011	6.309
2020-08-28	0.507	111.623	0.01	6.319
2020-08-29	0.477	112.1	0.009	6.328
2020-08-30	0.451	112.551	0.008	6.336
2020-08-31	0.427	112.978	0.007	6.343
2020-09-01	0.403	113.381	0.007	6.35
2020-09-02	0.379	113.76	0.006	6.356
2020-09-03	0.355	114.115	0.005	6.361
2020-09-04	0.331	114.446	0.005	6.366
2020-09-05	0.308	114.754	0.004	6.37
2020-09-06	0.286	115.04	0.003	6.373
2020-09-07	0.267	115.307	0.003	6.376
2020-09-08	0.25	115.557	0.002	6.378
2020-09-09	0.234	115.791	0.002	6.38
2020-09-10	0.22	116.011	0.001	6.381
2020-09-11	0.206	116.217	0.001	6.382
2020-09-12	0.193	116.41	0.0	6.382
2020-09-13	0.179	116.589	0.0	6.382
2020-09-14	0.165	116.754	0.0	6.382
2020-09-15	0.151	116.905	0.0	6.382
2020-09-16	0.137	117.042	0.0	6.382
2020-09-17	0.123	117.165	0.0	6.382
2020-09-18	0.111	117.276	0.0	6.382
2020-09-19	0.099	117.375	0.0	6.382
2020-09-20	0.089	117.464	0.0	6.382
2020-09-21	0.079	117.543	0.0	6.382
2020-09-22	0.07	117.613	0.0	6.382
2020-09-23	0.061	117.674	0.0	6.382
2020-09-24	0.052	117.726	0.0	6.382
2020-09-25	0.043	117.769	0.0	6.382
2020-09-26	0.033	117.802	0.0	6.382
2020-09-27	0.024	117.826	0.0	6.382
2020-09-28	0.015	117.841	0.0	6.382
2020-09-29	0.009	117.85	0.0	6.382
2020-09-30	0.006	117.856	0.0	6.382
2020-10-01	0.004	117.86	0.0	6.382
2020-10-02	0.003	117.863	0.0	6.382
2020-10-03	0.002	117.865	0.0	6.382
2020-10-04	0.002	117.867	0.0	6.382
2020-10-05	0.001	117.868	0.0	6.382
2020-10-06	0.001	117.869	0.0	6.382
2020-10-07	0.001	117.87	0.0	6.382
2020-10-08	0.001	117.871	0.0	6.382
