Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-14	13.649	426.649	0.036	4.036
2020-05-15	13.623	440.272	0.039	4.075
2020-05-16	13.498	453.77	0.042	4.117
2020-05-17	13.322	467.092	0.046	4.163
2020-05-18	13.121	480.213	0.049	4.212
2020-05-19	12.869	493.082	0.053	4.265
2020-05-20	12.565	505.647	0.056	4.321
2020-05-21	12.237	517.884	0.058	4.379
2020-05-22	11.911	529.795	0.06	4.439
2020-05-23	11.586	541.381	0.061	4.5
2020-05-24	11.287	552.668	0.061	4.561
2020-05-25	11.013	563.681	0.061	4.622
2020-05-26	10.734	574.415	0.06	4.682
2020-05-27	10.43	584.845	0.059	4.741
2020-05-28	10.099	594.944	0.058	4.799
2020-05-29	9.743	604.687	0.057	4.856
2020-05-30	9.362	614.049	0.056	4.912
2020-05-31	8.981	623.03	0.054	4.966
2020-06-01	8.6	631.63	0.053	5.019
2020-06-02	8.223	639.853	0.052	5.071
2020-06-03	7.854	647.707	0.05	5.121
2020-06-04	7.496	655.203	0.049	5.17
2020-06-05	7.142	662.345	0.048	5.218
2020-06-06	6.798	669.143	0.046	5.264
2020-06-07	6.462	675.605	0.045	5.309
2020-06-08	6.138	681.743	0.043	5.352
2020-06-09	5.824	687.567	0.042	5.394
2020-06-10	5.524	693.091	0.04	5.434
2020-06-11	5.238	698.329	0.038	5.472
2020-06-12	4.965	703.294	0.037	5.509
2020-06-13	4.702	707.996	0.035	5.544
2020-06-14	4.449	712.445	0.033	5.577
2020-06-15	4.203	716.648	0.032	5.609
2020-06-16	3.962	720.61	0.03	5.639
2020-06-17	3.723	724.333	0.029	5.668
2020-06-18	3.484	727.817	0.027	5.695
2020-06-19	3.245	731.062	0.026	5.721
2020-06-20	3.01	734.072	0.025	5.746
2020-06-21	2.792	736.864	0.023	5.769
2020-06-22	2.6	739.464	0.022	5.791
2020-06-23	2.433	741.897	0.021	5.812
2020-06-24	2.289	744.186	0.02	5.832
2020-06-25	2.165	746.351	0.019	5.851
2020-06-26	2.049	748.4	0.018	5.869
2020-06-27	1.935	750.335	0.017	5.886
2020-06-28	1.82	752.155	0.016	5.902
2020-06-29	1.705	753.86	0.014	5.916
2020-06-30	1.591	755.451	0.013	5.929
2020-07-01	1.478	756.929	0.012	5.941
2020-07-02	1.375	758.304	0.012	5.953
2020-07-03	1.283	759.587	0.011	5.964
2020-07-04	1.2	760.787	0.01	5.974
2020-07-05	1.125	761.912	0.01	5.984
2020-07-06	1.058	762.97	0.009	5.993
2020-07-07	0.991	763.961	0.009	6.002
2020-07-08	0.925	764.886	0.008	6.01
2020-07-09	0.858	765.744	0.008	6.018
2020-07-10	0.791	766.535	0.007	6.025
2020-07-11	0.724	767.259	0.007	6.032
2020-07-12	0.657	767.916	0.006	6.038
2020-07-13	0.592	768.508	0.006	6.044
2020-07-14	0.531	769.039	0.005	6.049
2020-07-15	0.476	769.515	0.005	6.054
2020-07-16	0.425	769.94	0.005	6.059
2020-07-17	0.379	770.319	0.004	6.063
2020-07-18	0.335	770.654	0.004	6.067
2020-07-19	0.291	770.945	0.004	6.071
2020-07-20	0.248	771.193	0.004	6.075
2020-07-21	0.204	771.397	0.003	6.078
2020-07-22	0.16	771.557	0.003	6.081
2020-07-23	0.113	771.67	0.003	6.084
2020-07-24	0.073	771.743	0.002	6.086
2020-07-25	0.045	771.788	0.002	6.088
2020-07-26	0.028	771.816	0.002	6.09
2020-07-27	0.019	771.835	0.002	6.092
2020-07-28	0.013	771.848	0.001	6.093
2020-07-29	0.01	771.858	0.001	6.094
2020-07-30	0.008	771.866	0.001	6.095
2020-07-31	0.007	771.873	0.001	6.096
2020-08-01	0.005	771.878	0.001	6.097
2020-08-02	0.004	771.882	0.001	6.098
2020-08-03	0.003	771.885	0.0	6.098
2020-08-04	0.0	771.885	0.0	6.098
2020-08-05	0.0	771.885	0.0	6.098
2020-08-06	0.0	771.885	0.0	6.098
2020-08-07	0.0	771.885	0.0	6.098
2020-08-08	0.0	771.885	0.0	6.098
2020-08-09	0.0	771.885	0.0	6.098
2020-08-10	0.0	771.885	0.0	6.098
2020-08-11	0.0	771.885	0.0	6.098
2020-08-12	0.0	771.885	0.0	6.098
2020-08-13	0.0	771.885	0.0	6.098
2020-08-14	0.0	771.885	0.0	6.098
2020-08-15	0.0	771.885	0.0	6.098
2020-08-16	0.0	771.885	0.0	6.098
2020-08-17	0.0	771.885	0.0	6.098
2020-08-18	0.0	771.885	0.0	6.098
2020-08-19	0.0	771.885	0.0	6.098
2020-08-20	0.0	771.885	0.0	6.098
2020-08-21	0.0	771.885	0.0	6.098
2020-08-22	0.0	771.885	0.0	6.098
2020-08-23	0.0	771.885	0.0	6.098
2020-08-24	0.0	771.885	0.0	6.098
2020-08-25	0.0	771.885	0.0	6.098
2020-08-26	0.0	771.885	0.0	6.098
2020-08-27	0.0	771.885	0.0	6.098
2020-08-28	0.0	771.885	0.0	6.098
2020-08-29	0.0	771.885	0.0	6.098
2020-08-30	0.0	771.885	0.0	6.098
