Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-20	5.947	274.947	0.484	25.484
2020-05-21	7.179	282.126	0.387	25.871
2020-05-22	8.505	290.631	0.307	26.178
2020-05-23	10.045	300.676	0.24	26.418
2020-05-24	11.859	312.535	0.182	26.6
2020-05-25	14.02	326.555	0.134	26.734
2020-05-26	16.554	343.109	0.0	26.734
2020-05-27	19.509	362.618	0.0	26.734
2020-05-28	22.857	385.475	0.0	26.734
2020-05-29	26.565	412.04	0.0	26.734
2020-05-30	30.597	442.637	0.0	26.734
2020-05-31	35.02	477.657	0.0	26.734
2020-06-01	39.72	517.377	0.0	26.734
2020-06-02	44.562	561.939	0.0	26.734
2020-06-03	49.451	611.39	0.0	26.734
2020-06-04	54.32	665.71	0.0	26.734
2020-06-05	59.232	724.942	0.0	26.734
2020-06-06	64.342	789.284	0.0	26.734
2020-06-07	69.975	859.259	0.0	26.734
2020-06-08	75.595	934.854	0.0	26.734
2020-06-09	81.032	1015.886	0.0	26.734
2020-06-10	85.649	1101.535	0.0	26.734
2020-06-11	89.234	1190.769	0.0	26.734
2020-06-12	91.3	1282.069	0.0	26.734
2020-06-13	92.47	1374.539	0.0	26.734
2020-06-14	92.802	1467.341	0.0	26.734
2020-06-15	92.627	1559.968	0.0	26.734
2020-06-16	91.775	1651.743	0.0	26.734
2020-06-17	90.582	1742.325	0.0	26.734
2020-06-18	89.216	1831.541	0.0	26.734
2020-06-19	87.497	1919.038	0.0	26.734
2020-06-20	85.431	2004.469	0.0	26.734
2020-06-21	83.204	2087.673	0.0	26.734
2020-06-22	80.982	2168.655	0.0	26.734
2020-06-23	78.775	2247.43	0.0	26.734
2020-06-24	76.742	2324.172	0.0	26.734
2020-06-25	74.879	2399.051	0.0	26.734
2020-06-26	72.984	2472.035	0.0	26.734
2020-06-27	70.913	2542.948	0.0	26.734
2020-06-28	68.664	2611.612	0.0	26.734
2020-06-29	66.242	2677.854	0.0	26.734
2020-06-30	63.653	2741.507	0.0	26.734
2020-07-01	61.064	2802.571	0.0	26.734
2020-07-02	58.474	2861.045	0.0	26.734
2020-07-03	55.911	2916.956	0.0	26.734
2020-07-04	53.401	2970.357	0.0	26.734
2020-07-05	50.966	3021.323	0.0	26.734
2020-07-06	48.563	3069.886	0.0	26.734
2020-07-07	46.219	3116.105	0.0	26.734
2020-07-08	43.936	3160.041	0.0	26.734
2020-07-09	41.736	3201.777	0.0	26.734
2020-07-10	39.596	3241.373	0.0	26.734
2020-07-11	37.556	3278.929	0.0	26.734
2020-07-12	35.611	3314.54	0.0	26.734
2020-07-13	33.757	3348.297	0.0	26.734
2020-07-14	31.97	3380.267	0.0	26.734
2020-07-15	30.248	3410.515	0.0	26.734
2020-07-16	28.577	3439.092	0.0	26.734
2020-07-17	26.939	3466.031	0.0	26.734
2020-07-18	25.314	3491.345	0.0	26.734
2020-07-19	23.688	3515.033	0.0	26.734
2020-07-20	22.062	3537.095	0.0	26.734
2020-07-21	20.464	3557.559	0.0	26.734
2020-07-22	18.982	3576.541	0.0	26.734
2020-07-23	17.675	3594.216	0.0	26.734
2020-07-24	16.54	3610.756	0.0	26.734
2020-07-25	15.564	3626.32	0.0	26.734
2020-07-26	14.718	3641.038	0.0	26.734
2020-07-27	13.932	3654.97	0.0	26.734
2020-07-28	13.153	3668.123	0.0	26.734
2020-07-29	12.374	3680.497	0.0	26.734
2020-07-30	11.595	3692.092	0.0	26.734
2020-07-31	10.815	3702.907	0.0	26.734
2020-08-01	10.048	3712.955	0.0	26.734
2020-08-02	9.35	3722.305	0.0	26.734
2020-08-03	8.721	3731.026	0.0	26.734
2020-08-04	8.156	3739.182	0.0	26.734
2020-08-05	7.651	3746.833	0.0	26.734
2020-08-06	7.194	3754.027	0.0	26.734
2020-08-07	6.74	3760.767	0.0	26.734
2020-08-08	6.287	3767.054	0.0	26.734
2020-08-09	5.833	3772.887	0.0	26.734
2020-08-10	5.379	3778.266	0.0	26.734
2020-08-11	4.925	3783.191	0.0	26.734
2020-08-12	4.469	3787.66	0.0	26.734
2020-08-13	4.025	3791.685	0.0	26.734
2020-08-14	3.612	3795.297	0.0	26.734
2020-08-15	3.235	3798.532	0.0	26.734
2020-08-16	2.89	3801.422	0.0	26.734
2020-08-17	2.574	3803.996	0.0	26.734
2020-08-18	2.276	3806.272	0.0	26.734
2020-08-19	1.982	3808.254	0.0	26.734
2020-08-20	1.686	3809.94	0.0	26.734
2020-08-21	1.388	3811.328	0.0	26.734
2020-08-22	1.085	3812.413	0.0	26.734
2020-08-23	0.77	3813.183	0.0	26.734
2020-08-24	0.495	3813.678	0.0	26.734
2020-08-25	0.306	3813.984	0.0	26.734
2020-08-26	0.193	3814.177	0.0	26.734
2020-08-27	0.127	3814.304	0.0	26.734
2020-08-28	0.091	3814.395	0.0	26.734
2020-08-29	0.07	3814.465	0.0	26.734
2020-08-30	0.056	3814.521	0.0	26.734
2020-08-31	0.045	3814.566	0.0	26.734
2020-09-01	0.035	3814.601	0.0	26.734
2020-09-02	0.026	3814.627	0.0	26.734
2020-09-03	0.019	3814.646	0.0	26.734
