Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.0	2.882	47.882	0.168	101.179	101.179	0.0	0.00029381	0.00488144	1.713e-05	0.01031491	0.01031491
Floyd	0.0	0.378	8.378	0.0	0.0	1.0	0.0	2.393e-05	0.00053042	0.0	0.0	6.331e-05
Greensville	335.833	2634.744	2889.744	0.0	0.0	7.0	0.02888389	0.22660566	0.24853737	0.0	0.0	0.00060205
Brunswick	1.421	29.606	70.606	0.0	0.0	1.0	8.673e-05	0.00180701	0.00430945	0.0	0.0	6.104e-05
Prince Edward	0.702	25.843	176.843	0.0	0.0	2.0	3.059e-05	0.00112606	0.00770558	0.0	0.0	8.715e-05
Poquoson	0.083	2.157	11.157	0.0	0.0	0.0	6.81e-06	0.00017695	0.00091526	0.0	0.0	0.0
Winchester	3.807	98.699	333.699	0.0	0.124	2.124	0.00013544	0.00351142	0.01187203	0.0	4.41e-06	7.557e-05
Montgomery	1.567	35.542	129.542	0.0	0.0	1.0	1.583e-05	0.00035906	0.0013087	0.0	0.0	1.01e-05
Rappahannock	5.51	43.226	58.226	0.0	0.0	0.0	0.00075979	0.00596056	0.00802896	0.0	0.0	0.0
Page	0.886	32.412	277.412	0.163	5.767	29.767	3.702e-05	0.00135428	0.01159119	6.81e-06	0.00024096	0.00124376
Fauquier	2.734	70.877	433.877	0.024	0.476	6.476	3.868e-05	0.00100286	0.00613904	3.4e-07	6.74e-06	9.163e-05
Bath	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caroline	1.781	46.185	139.185	1.814	14.235	17.235	5.788e-05	0.00150088	0.00452311	5.895e-05	0.0004626	0.00056009
Nottoway	1.784	44.434	94.434	1.814	14.235	14.235	0.00011569	0.00288158	0.00612412	0.00011764	0.00092315	0.00092315
Russell	0.0	0.0	8.0	1.814	14.235	14.235	0.0	0.0	0.00029909	6.782e-05	0.00053219	0.00053219
Radford	0.0	0.047	7.047	1.814	14.235	14.235	0.0	2.56e-06	0.00038426	9.891e-05	0.00077621	0.00077621
Appomattox	0.11	2.852	35.852	1.814	14.235	14.235	6.94e-06	0.00018004	0.00226324	0.00011451	0.00089862	0.00089862
Falls Church	0.0	0.854	56.854	0.0	0.04	8.04	0.0	5.781e-05	0.00384877	0.0	2.71e-06	0.00054427
Sussex	0.685	36.393	211.393	0.0	0.067	2.067	6.096e-05	0.00323868	0.01881223	0.0	5.96e-06	0.00018395
Chesapeake	1.51	96.82	692.82	0.013	0.506	15.506	6.22e-06	0.00039904	0.00285541	5e-08	2.09e-06	6.391e-05
