Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Floyd	1.827	226.981	338.981	0.0	0.62	2.62	0.00011567	0.01437043	0.02146129	0.0	3.925e-05	0.00016588
Greensville	10.211	856.353	1426.353	0.247	11.621	22.621	0.00087821	0.0736521	0.12267593	2.124e-05	0.00099948	0.00194556
Brunswick	0.484	72.742	319.742	0.0	0.014	2.014	2.954e-05	0.00443982	0.0195155	0.0	8.5e-07	0.00012292
Winchester	0.305	41.532	462.532	0.0	0.0	4.0	1.085e-05	0.00147759	0.01645553	0.0	0.0	0.00014231
Montgomery	0.197	41.698	368.698	0.0	0.0	3.0	1.99e-06	0.00042126	0.00372479	0.0	0.0	3.031e-05
Rappahannock	0.077	11.367	57.367	0.0	0.0	2.0	1.062e-05	0.00156743	0.00791051	0.0	0.0	0.00027579
Page	0.268	39.53	392.53	0.073	7.077	32.077	1.12e-05	0.00165169	0.0164012	3.05e-06	0.0002957	0.00134028
Fauquier	0.019	56.579	694.579	0.001	0.281	9.281	2.7e-07	0.00080055	0.00982779	1e-08	3.98e-06	0.00013132
Bath	0.0	0.0	4.0	0.001	0.281	0.281	0.0	0.0	0.00093197	2.3e-07	6.547e-05	6.547e-05
Caroline	0.547	80.83	308.83	0.002	0.208	5.208	1.778e-05	0.00262674	0.01003607	6e-08	6.76e-06	0.00016924
Russell	0.67	122.594	272.594	0.01	1.461	4.461	2.505e-05	0.0045833	0.01019119	3.7e-07	5.462e-05	0.00016678
Radford	0.043	40.695	107.695	0.01	1.461	1.461	2.34e-06	0.00221904	0.00587246	5.5e-07	7.967e-05	7.967e-05
Appomattox	0.307	46.994	149.994	0.01	1.461	1.461	1.938e-05	0.00296661	0.00946872	6.3e-07	9.223e-05	9.223e-05
Falls Church	2.322	102.418	164.418	0.0	0.112	6.112	0.00015719	0.00693325	0.01113038	0.0	7.58e-06	0.00041376
Sussex	0.608	89.802	405.802	0.0	0.0	9.0	5.411e-05	0.00799163	0.03611302	0.0	0.0	0.00080093
Chesapeake	6.524	980.975	4238.975	0.262	26.697	67.697	2.689e-05	0.00404302	0.01747066	1.08e-06	0.00011003	0.00027901
