Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-09	0.796	49.796	0.0	0.0
2020-06-10	0.788	50.584	0.0	0.0
2020-06-11	0.778	51.362	0.0	0.0
2020-06-12	0.766	52.128	0.0	0.0
2020-06-13	0.751	52.879	0.0	0.0
2020-06-14	0.734	53.613	0.0	0.0
2020-06-15	0.715	54.328	0.0	0.0
2020-06-16	0.696	55.024	0.0	0.0
2020-06-17	0.677	55.701	0.0	0.0
2020-06-18	0.659	56.36	0.0	0.0
2020-06-19	0.643	57.003	0.0	0.0
2020-06-20	0.627	57.63	0.0	0.0
2020-06-21	0.609	58.239	0.0	0.0
2020-06-22	0.59	58.829	0.0	0.0
2020-06-23	0.569	59.398	0.0	0.0
2020-06-24	0.547	59.945	0.0	0.0
2020-06-25	0.524	60.469	0.0	0.0
2020-06-26	0.502	60.971	0.0	0.0
2020-06-27	0.48	61.451	0.0	0.0
2020-06-28	0.459	61.91	0.0	0.0
2020-06-29	0.438	62.348	0.0	0.0
2020-06-30	0.417	62.765	0.0	0.0
2020-07-01	0.397	63.162	0.0	0.0
2020-07-02	0.377	63.539	0.0	0.0
2020-07-03	0.358	63.897	0.0	0.0
2020-07-04	0.34	64.237	0.0	0.0
2020-07-05	0.323	64.56	0.0	0.0
2020-07-06	0.306	64.866	0.0	0.0
2020-07-07	0.29	65.156	0.0	0.0
2020-07-08	0.275	65.431	0.0	0.0
2020-07-09	0.26	65.691	0.0	0.0
2020-07-10	0.245	65.936	0.0	0.0
2020-07-11	0.231	66.167	0.0	0.0
2020-07-12	0.217	66.384	0.0	0.0
2020-07-13	0.203	66.587	0.0	0.0
2020-07-14	0.189	66.776	0.0	0.0
2020-07-15	0.176	66.952	0.0	0.0
2020-07-16	0.163	67.115	0.0	0.0
2020-07-17	0.152	67.267	0.0	0.0
2020-07-18	0.142	67.409	0.0	0.0
2020-07-19	0.134	67.543	0.0	0.0
2020-07-20	0.126	67.669	0.0	0.0
2020-07-21	0.12	67.789	0.0	0.0
2020-07-22	0.113	67.902	0.0	0.0
2020-07-23	0.106	68.008	0.0	0.0
2020-07-24	0.1	68.108	0.0	0.0
2020-07-25	0.093	68.201	0.0	0.0
2020-07-26	0.086	68.287	0.0	0.0
2020-07-27	0.08	68.367	0.0	0.0
2020-07-28	0.075	68.442	0.0	0.0
2020-07-29	0.07	68.512	0.0	0.0
2020-07-30	0.066	68.578	0.0	0.0
2020-07-31	0.062	68.64	0.0	0.0
2020-08-01	0.058	68.698	0.0	0.0
2020-08-02	0.054	68.752	0.0	0.0
2020-08-03	0.05	68.802	0.0	0.0
2020-08-04	0.046	68.848	0.0	0.0
2020-08-05	0.042	68.89	0.0	0.0
2020-08-06	0.038	68.928	0.0	0.0
2020-08-07	0.035	68.963	0.0	0.0
2020-08-08	0.031	68.994	0.0	0.0
2020-08-09	0.028	69.022	0.0	0.0
2020-08-10	0.025	69.047	0.0	0.0
2020-08-11	0.022	69.069	0.0	0.0
2020-08-12	0.02	69.089	0.0	0.0
2020-08-13	0.017	69.106	0.0	0.0
2020-08-14	0.014	69.12	0.0	0.0
2020-08-15	0.012	69.132	0.0	0.0
2020-08-16	0.009	69.141	0.0	0.0
2020-08-17	0.007	69.148	0.0	0.0
2020-08-18	0.004	69.152	0.0	0.0
2020-08-19	0.003	69.155	0.0	0.0
2020-08-20	0.002	69.157	0.0	0.0
2020-08-21	0.001	69.158	0.0	0.0
2020-08-22	0.001	69.159	0.0	0.0
2020-08-23	0.001	69.16	0.0	0.0
2020-08-24	0.0	69.16	0.0	0.0
2020-08-25	0.0	69.16	0.0	0.0
2020-08-26	0.0	69.16	0.0	0.0
2020-08-27	0.0	69.16	0.0	0.0
2020-08-28	0.0	69.16	0.0	0.0
2020-08-29	0.0	69.16	0.0	0.0
2020-08-30	0.0	69.16	0.0	0.0
