Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	1.751	101.751	0.0	0.0
2020-06-18	1.735	103.486	0.0	0.0
2020-06-19	1.712	105.198	0.0	0.0
2020-06-20	1.687	106.885	0.0	0.0
2020-06-21	1.654	108.539	0.0	0.0
2020-06-22	1.615	110.154	0.0	0.0
2020-06-23	1.573	111.727	0.0	0.0
2020-06-24	1.531	113.258	0.0	0.0
2020-06-25	1.489	114.747	0.0	0.0
2020-06-26	1.451	116.198	0.0	0.0
2020-06-27	1.416	117.614	0.0	0.0
2020-06-28	1.38	118.994	0.0	0.0
2020-06-29	1.341	120.335	0.0	0.0
2020-06-30	1.298	121.633	0.0	0.0
2020-07-01	1.252	122.885	0.0	0.0
2020-07-02	1.203	124.088	0.0	0.0
2020-07-03	1.154	125.242	0.0	0.0
2020-07-04	1.105	126.347	0.0	0.0
2020-07-05	1.057	127.404	0.0	0.0
2020-07-06	1.01	128.414	0.0	0.0
2020-07-07	0.964	129.378	0.0	0.0
2020-07-08	0.918	130.296	0.0	0.0
2020-07-09	0.874	131.17	0.0	0.0
2020-07-10	0.831	132.001	0.0	0.0
2020-07-11	0.789	132.79	0.0	0.0
2020-07-12	0.749	133.539	0.0	0.0
2020-07-13	0.71	134.249	0.0	0.0
2020-07-14	0.673	134.922	0.0	0.0
2020-07-15	0.638	135.56	0.0	0.0
2020-07-16	0.604	136.164	0.0	0.0
2020-07-17	0.572	136.736	0.0	0.0
2020-07-18	0.54	137.276	0.0	0.0
2020-07-19	0.509	137.785	0.0	0.0
2020-07-20	0.479	138.264	0.0	0.0
2020-07-21	0.448	138.712	0.0	0.0
2020-07-22	0.417	139.129	0.0	0.0
2020-07-23	0.387	139.516	0.0	0.0
2020-07-24	0.359	139.875	0.0	0.0
2020-07-25	0.334	140.209	0.0	0.0
2020-07-26	0.313	140.522	0.0	0.0
2020-07-27	0.294	140.816	0.0	0.0
2020-07-28	0.278	141.094	0.0	0.0
2020-07-29	0.263	141.357	0.0	0.0
2020-07-30	0.249	141.606	0.0	0.0
2020-07-31	0.234	141.84	0.0	0.0
2020-08-01	0.219	142.059	0.0	0.0
2020-08-02	0.204	142.263	0.0	0.0
2020-08-03	0.19	142.453	0.0	0.0
2020-08-04	0.177	142.63	0.0	0.0
2020-08-05	0.165	142.795	0.0	0.0
2020-08-06	0.154	142.949	0.0	0.0
2020-08-07	0.145	143.094	0.0	0.0
2020-08-08	0.136	143.23	0.0	0.0
2020-08-09	0.127	143.357	0.0	0.0
2020-08-10	0.119	143.476	0.0	0.0
2020-08-11	0.11	143.586	0.0	0.0
2020-08-12	0.102	143.688	0.0	0.0
2020-08-13	0.093	143.781	0.0	0.0
2020-08-14	0.084	143.865	0.0	0.0
2020-08-15	0.076	143.941	0.0	0.0
2020-08-16	0.068	144.009	0.0	0.0
2020-08-17	0.061	144.07	0.0	0.0
2020-08-18	0.055	144.125	0.0	0.0
2020-08-19	0.049	144.174	0.0	0.0
2020-08-20	0.043	144.217	0.0	0.0
2020-08-21	0.037	144.254	0.0	0.0
2020-08-22	0.032	144.286	0.0	0.0
2020-08-23	0.026	144.312	0.0	0.0
2020-08-24	0.021	144.333	0.0	0.0
2020-08-25	0.015	144.348	0.0	0.0
2020-08-26	0.009	144.357	0.0	0.0
2020-08-27	0.006	144.363	0.0	0.0
2020-08-28	0.004	144.367	0.0	0.0
2020-08-29	0.002	144.369	0.0	0.0
2020-08-30	0.002	144.371	0.0	0.0
2020-08-31	0.001	144.372	0.0	0.0
2020-09-01	0.001	144.373	0.0	0.0
2020-09-02	0.001	144.374	0.0	0.0
2020-09-03	0.001	144.375	0.0	0.0
2020-09-04	0.0	144.375	0.0	0.0
2020-09-05	0.0	144.375	0.0	0.0
