Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	0.542	184.542	0.0	3.0
2020-06-19	0.537	185.079	0.0	3.0
2020-06-20	0.53	185.609	0.0	3.0
2020-06-21	0.522	186.131	0.0	3.0
2020-06-22	0.512	186.643	0.0	3.0
2020-06-23	0.5	187.143	0.0	3.0
2020-06-24	0.487	187.63	0.0	3.0
2020-06-25	0.474	188.104	0.0	3.0
2020-06-26	0.461	188.565	0.0	3.0
2020-06-27	0.449	189.014	0.0	3.0
2020-06-28	0.438	189.452	0.0	3.0
2020-06-29	0.427	189.879	0.0	3.0
2020-06-30	0.415	190.294	0.0	3.0
2020-07-01	0.402	190.696	0.0	3.0
2020-07-02	0.388	191.084	0.0	3.0
2020-07-03	0.373	191.457	0.0	3.0
2020-07-04	0.357	191.814	0.0	3.0
2020-07-05	0.342	192.156	0.0	3.0
2020-07-06	0.327	192.483	0.0	3.0
2020-07-07	0.313	192.796	0.0	3.0
2020-07-08	0.298	193.094	0.0	3.0
2020-07-09	0.284	193.378	0.0	3.0
2020-07-10	0.271	193.649	0.0	3.0
2020-07-11	0.257	193.906	0.0	3.0
2020-07-12	0.244	194.15	0.0	3.0
2020-07-13	0.232	194.382	0.0	3.0
2020-07-14	0.22	194.602	0.0	3.0
2020-07-15	0.208	194.81	0.0	3.0
2020-07-16	0.198	195.008	0.0	3.0
2020-07-17	0.187	195.195	0.0	3.0
2020-07-18	0.177	195.372	0.0	3.0
2020-07-19	0.167	195.539	0.0	3.0
2020-07-20	0.158	195.697	0.0	3.0
2020-07-21	0.148	195.845	0.0	3.0
2020-07-22	0.139	195.984	0.0	3.0
2020-07-23	0.129	196.113	0.0	3.0
2020-07-24	0.12	196.233	0.0	3.0
2020-07-25	0.111	196.344	0.0	3.0
2020-07-26	0.103	196.447	0.0	3.0
2020-07-27	0.097	196.544	0.0	3.0
2020-07-28	0.091	196.635	0.0	3.0
2020-07-29	0.086	196.721	0.0	3.0
2020-07-30	0.082	196.803	0.0	3.0
2020-07-31	0.077	196.88	0.0	3.0
2020-08-01	0.072	196.952	0.0	3.0
2020-08-02	0.068	197.02	0.0	3.0
2020-08-03	0.063	197.083	0.0	3.0
2020-08-04	0.059	197.142	0.0	3.0
2020-08-05	0.055	197.197	0.0	3.0
2020-08-06	0.051	197.248	0.0	3.0
2020-08-07	0.048	197.296	0.0	3.0
2020-08-08	0.045	197.341	0.0	3.0
2020-08-09	0.042	197.383	0.0	3.0
2020-08-10	0.039	197.422	0.0	3.0
2020-08-11	0.037	197.459	0.0	3.0
2020-08-12	0.034	197.493	0.0	3.0
2020-08-13	0.031	197.524	0.0	3.0
2020-08-14	0.029	197.553	0.0	3.0
2020-08-15	0.026	197.579	0.0	3.0
2020-08-16	0.024	197.603	0.0	3.0
2020-08-17	0.021	197.624	0.0	3.0
2020-08-18	0.019	197.643	0.0	3.0
2020-08-19	0.017	197.66	0.0	3.0
2020-08-20	0.015	197.675	0.0	3.0
2020-08-21	0.013	197.688	0.0	3.0
2020-08-22	0.012	197.7	0.0	3.0
2020-08-23	0.01	197.71	0.0	3.0
2020-08-24	0.008	197.718	0.0	3.0
2020-08-25	0.006	197.724	0.0	3.0
2020-08-26	0.005	197.729	0.0	3.0
2020-08-27	0.003	197.732	0.0	3.0
2020-08-28	0.002	197.734	0.0	3.0
2020-08-29	0.001	197.735	0.0	3.0
2020-08-30	0.001	197.736	0.0	3.0
2020-08-31	0.001	197.737	0.0	3.0
2020-09-01	0.0	197.737	0.0	3.0
2020-09-02	0.0	197.737	0.0	3.0
2020-09-03	0.0	197.737	0.0	3.0
2020-09-04	0.0	197.737	0.0	3.0
2020-09-05	0.0	197.737	0.0	3.0
2020-09-06	0.0	197.737	0.0	3.0
