Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	0.048	5.048	0.0	0.378
2020-07-21	0.048	5.096	0.0	0.378
2020-07-22	0.047	5.143	0.0	0.378
2020-07-23	0.046	5.189	0.0	0.378
2020-07-24	0.046	5.235	0.0	0.378
2020-07-25	0.045	5.28	0.0	0.378
2020-07-26	0.043	5.323	0.0	0.378
2020-07-27	0.042	5.365	0.0	0.378
2020-07-28	0.041	5.406	0.0	0.378
2020-07-29	0.04	5.446	0.0	0.378
2020-07-30	0.039	5.485	0.0	0.378
2020-07-31	0.038	5.523	0.0	0.378
2020-08-01	0.037	5.56	0.0	0.378
2020-08-02	0.036	5.596	0.0	0.378
2020-08-03	0.035	5.631	0.0	0.378
2020-08-04	0.033	5.664	0.0	0.378
2020-08-05	0.032	5.696	0.0	0.378
2020-08-06	0.03	5.726	0.0	0.378
2020-08-07	0.029	5.755	0.0	0.378
2020-08-08	0.028	5.783	0.0	0.378
2020-08-09	0.027	5.81	0.0	0.378
2020-08-10	0.025	5.835	0.0	0.378
2020-08-11	0.024	5.859	0.0	0.378
2020-08-12	0.023	5.882	0.0	0.378
2020-08-13	0.022	5.904	0.0	0.378
2020-08-14	0.021	5.925	0.0	0.378
2020-08-15	0.02	5.945	0.0	0.378
2020-08-16	0.019	5.964	0.0	0.378
2020-08-17	0.018	5.982	0.0	0.378
2020-08-18	0.017	5.999	0.0	0.378
2020-08-19	0.016	6.015	0.0	0.378
2020-08-20	0.015	6.03	0.0	0.378
2020-08-21	0.014	6.044	0.0	0.378
2020-08-22	0.013	6.057	0.0	0.378
2020-08-23	0.012	6.069	0.0	0.378
2020-08-24	0.011	6.08	0.0	0.378
2020-08-25	0.011	6.091	0.0	0.378
2020-08-26	0.01	6.101	0.0	0.378
2020-08-27	0.009	6.11	0.0	0.378
2020-08-28	0.009	6.119	0.0	0.378
2020-08-29	0.008	6.127	0.0	0.378
2020-08-30	0.008	6.135	0.0	0.378
2020-08-31	0.007	6.142	0.0	0.378
2020-09-01	0.007	6.149	0.0	0.378
2020-09-02	0.006	6.155	0.0	0.378
2020-09-03	0.006	6.161	0.0	0.378
2020-09-04	0.006	6.167	0.0	0.378
2020-09-05	0.005	6.172	0.0	0.378
2020-09-06	0.005	6.177	0.0	0.378
2020-09-07	0.005	6.182	0.0	0.378
2020-09-08	0.004	6.186	0.0	0.378
2020-09-09	0.004	6.19	0.0	0.378
2020-09-10	0.004	6.194	0.0	0.378
2020-09-11	0.004	6.198	0.0	0.378
2020-09-12	0.003	6.201	0.0	0.378
2020-09-13	0.003	6.204	0.0	0.378
2020-09-14	0.003	6.207	0.0	0.378
2020-09-15	0.003	6.21	0.0	0.378
2020-09-16	0.002	6.212	0.0	0.378
2020-09-17	0.002	6.214	0.0	0.378
2020-09-18	0.002	6.216	0.0	0.378
2020-09-19	0.002	6.218	0.0	0.378
2020-09-20	0.002	6.22	0.0	0.378
2020-09-21	0.001	6.221	0.0	0.378
2020-09-22	0.001	6.222	0.0	0.378
2020-09-23	0.001	6.223	0.0	0.378
2020-09-24	0.001	6.224	0.0	0.378
2020-09-25	0.001	6.225	0.0	0.378
2020-09-26	0.001	6.226	0.0	0.378
2020-09-27	0.0	6.226	0.0	0.378
2020-09-28	0.0	6.226	0.0	0.378
2020-09-29	0.0	6.226	0.0	0.378
2020-09-30	0.0	6.226	0.0	0.378
2020-10-01	0.0	6.226	0.0	0.378
2020-10-02	0.0	6.226	0.0	0.378
2020-10-03	0.0	6.226	0.0	0.378
2020-10-04	0.0	6.226	0.0	0.378
2020-10-05	0.0	6.226	0.0	0.378
2020-10-06	0.0	6.226	0.0	0.378
2020-10-07	0.0	6.226	0.0	0.378
2020-10-08	0.0	6.226	0.0	0.378
