Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
San Juan	13.0	0.0	0.0	13.0	0.00075899	0.0	65.0	26.0	16.25	0.00379495	0.00151798	0.0009487375
Pend Oreille	1.0	0.0	0.0	1.0	7.352e-05	0.0	5.0	2.0	1.25	0.0003676	0.00014704	9.19e-05
Snohomish	1988.0	80.0	0.0	1908.0	0.00243956	9.817e-05	26666.6666667	12307.6923077	8000.0	0.0327233333333	0.0151030769231	0.009817
Grant	122.0	2.0	0.0	120.0	0.00125345	2.055e-05	666.666666667	307.692307692	200.0	0.00685	0.00316153846154	0.002055
Pierce	1000.0	23.0	0.0	977.0	0.00112196	2.581e-05	7666.66666667	3538.46153846	2300.0	0.00860333333333	0.00397076923077	0.002581
Douglas	29.0	1.0	0.0	28.0	0.00067588	2.331e-05	333.333333333	153.846153846	100.0	0.00777	0.00358615384615	0.002331
Kittitas	14.0	0.0	0.0	14.0	0.00029558	0.0	70.0	28.0	17.5	0.0014779	0.00059116	0.000369475
Jefferson	28.0	0.0	0.0	28.0	0.00088247	0.0	140.0	56.0	35.0	0.00441235	0.00176494	0.0011030875
Whatcom	269.0	25.0	0.0	244.0	0.00119193	0.00011077	8333.33333333	3846.15384615	2500.0	0.0369233333333	0.0170415384615	0.011077
Wahkiakum	2.0	0.0	0.0	2.0	0.00045188	0.0	10.0	4.0	2.5	0.0022594	0.00090376	0.00056485
Cowlitz	26.0	0.0	0.0	26.0	0.00023856	0.0	130.0	52.0	32.5	0.0011928	0.00047712	0.0002982
Columbia	1.0	0.0	0.0	1.0	0.00024637	0.0	5.0	2.0	1.25	0.00123185	0.00049274	0.0003079625
Thurston	82.0	1.0	0.0	81.0	0.00028629	3.49e-06	333.333333333	153.846153846	100.0	0.00116333333333	0.000536923076923	0.000349
Yakima	635.0	29.0	0.0	606.0	0.00252539	0.00011533	9666.66666667	4461.53846154	2900.0	0.0384433333333	0.0177430769231	0.011533
Island	163.0	8.0	0.0	155.0	0.00192991	9.472e-05	2666.66666667	1230.76923077	800.0	0.0315733333333	0.0145723076923	0.009472
Okanogan	15.0	0.0	0.0	15.0	0.00035602	0.0	75.0	30.0	18.75	0.0017801	0.00071204	0.000445025
Kitsap	132.0	1.0	0.0	131.0	0.00048924	3.71e-06	333.333333333	153.846153846	100.0	0.00123666666667	0.000570769230769	0.000371
Clallam	14.0	0.0	0.0	14.0	0.00018244	0.0	70.0	28.0	17.5	0.0009122	0.00036488	0.00022805
King	4620.0	303.0	0.0	4317.0	0.00206881	0.00013568	101000.0	46615.3846154	30300.0	0.0452266666667	0.0208738461538	0.013568
Lincoln	2.0	0.0	0.0	2.0	0.00018622	0.0	10.0	4.0	2.5	0.0009311	0.00037244	0.000232775
Spokane	278.0	17.0	0.0	261.0	0.00054019	3.303e-05	5666.66666667	2615.38461538	1700.0	0.01101	0.00508153846154	0.003303
Adams	39.0	0.0	0.0	39.0	0.00197378	0.0	195.0	78.0	48.75	0.0098689	0.00394756	0.002467225
Grays Harbor	12.0	0.0	0.0	12.0	0.00016238	0.0	60.0	24.0	15.0	0.0008119	0.00032476	0.000202975
Klickitat	15.0	2.0	0.0	13.0	0.00067852	9.047e-05	666.666666667	307.692307692	200.0	0.0301566666667	0.0139184615385	0.009047
Benton	266.0	29.0	0.0	237.0	0.00131763	0.00014365	9666.66666667	4461.53846154	2900.0	0.0478833333333	0.0221	0.014365
Franklin	185.0	2.0	0.0	183.0	0.00196085	2.12e-05	666.666666667	307.692307692	200.0	0.00706666666667	0.00326153846154	0.00212
Ferry	1.0	0.0	0.0	1.0	0.00013074	0.0	5.0	2.0	1.25	0.0006537	0.00026148	0.000163425
Mason	19.0	0.0	0.0	19.0	0.00029005	0.0	95.0	38.0	23.75	0.00145025	0.0005801	0.0003625625
Whitman	12.0	0.0	0.0	12.0	0.00024101	0.0	60.0	24.0	15.0	0.00120505	0.00048202	0.0003012625
Skagit	198.0	6.0	0.0	192.0	0.00154439	4.68e-05	2000.0	923.076923077	600.0	0.0156	0.0072	0.00468
Skamania	3.0	0.0	0.0	3.0	0.00025159	0.0	15.0	6.0	3.75	0.00125795	0.00050318	0.0003144875
Clark	258.0	15.0	0.0	243.0	0.00053543	3.113e-05	5000.0	2307.69230769	1500.0	0.0103766666667	0.00478923076923	0.003113
Stevens	7.0	1.0	0.0	6.0	0.00015466	2.209e-05	333.333333333	153.846153846	100.0	0.00736333333333	0.00339846153846	0.002209
Lewis	19.0	2.0	0.0	17.0	0.00023868	2.512e-05	666.666666667	307.692307692	200.0	0.00837333333333	0.00386461538462	0.002512
Walla Walla	23.0	0.0	0.0	23.0	0.00037753	0.0	115.0	46.0	28.75	0.00188765	0.00075506	0.0004719125
Pacific	1.0	0.0	0.0	1.0	4.538e-05	0.0	5.0	2.0	1.25	0.0002269	9.076e-05	5.6725e-05
Unassigned	383.0	0.0	0.0	383.0	N/A	N/A	1915.0	766.0	478.75	N/A	N/A	N/A
Chelan	61.0	5.0	0.0	56.0	0.00079184	6.49e-05	1666.66666667	769.230769231	500.0	0.0216333333333	0.00998461538462	0.00649
Asotin	6.0	0.0	0.0	6.0	0.00026537	0.0	30.0	12.0	7.5	0.00132685	0.00053074	0.0003317125
