Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Lewis	0.062	5.598	26.86	0.0	0.0	2.0	7.8e-07	7.032e-05	0.00033742	0.0	0.0	2.512e-05
Skagit	1.94	148.092	398.585	0.149	7.424	15.526	1.513e-05	0.00115511	0.00310894	1.16e-06	5.791e-05	0.0001211
Walla Walla	0.23	22.227	56.325	0.149	7.424	7.526	3.78e-06	0.00036484	0.00092454	2.45e-06	0.00012186	0.00012354
Pacific	0.476	42.691	47.691	0.149	7.424	7.526	2.16e-05	0.00193733	0.00216423	6.76e-06	0.0003369	0.00034153
Pierce	3.623	430.346	1644.95	0.28	27.92	63.333	4.06e-06	0.00048283	0.00184556	3.1e-07	3.133e-05	7.106e-05
Lincoln	0.0	0.54	2.62	0.28	27.92	29.333	0.0	5.028e-05	0.00024395	2.607e-05	0.00259963	0.00273119
Pend Oreille	0.048	4.27	6.47	0.28	27.92	29.333	3.53e-06	0.00031392	0.00047567	2.059e-05	0.00205264	0.00215652
Clallam	0.112	11.151	25.715	0.28	27.92	29.333	1.46e-06	0.00014531	0.00033511	3.65e-06	0.00036384	0.00038225
Asotin	0.471	35.946	50.279	0.28	27.92	29.333	2.083e-05	0.00158983	0.00222375	1.238e-05	0.00123485	0.00129735
Stevens	0.0	1.162	9.344	0.0	0.0	1.0	0.0	2.567e-05	0.00020645	0.0	0.0	2.209e-05
Wahkiakum	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00045188	0.0	0.0	0.0
Jefferson	0.0	0.096	28.14	0.0	0.0	0.0	0.0	3.03e-06	0.00088689	0.0	0.0	0.0
Kitsap	0.0	2.508	141.726	0.0	0.0	1.0	0.0	9.3e-06	0.00052529	0.0	0.0	3.71e-06
Douglas	1.053	80.396	115.378	0.0	0.0	1.0	2.454e-05	0.00187373	0.00268903	0.0	0.0	2.331e-05
San Juan	0.0	1.075	16.253	0.0	0.0	0.0	0.0	6.276e-05	0.00094891	0.0	0.0	0.0
Benton	0.0	62.281	385.49	0.0	13.821	49.159	0.0	0.00030851	0.00190953	0.0	6.846e-05	0.00024351
Columbia	0.0	0.0	1.0	0.0	13.821	15.159	0.0	0.0	0.00024637	0.0	0.00340503	0.00373466
Okanogan	0.0	0.706	15.022	0.0	13.821	15.159	0.0	1.676e-05	0.00035655	0.0	0.00032804	0.0003598
Whitman	4.869	114.506	127.742	0.0	13.823	15.161	9.779e-05	0.00229973	0.00256556	0.0	0.00027762	0.00030449
