Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Lewis	4.531	99.505	140.505	0.0	0.0	3.0	5.692e-05	0.00125	0.00176505	0.0	0.0	3.769e-05
Skagit	0.44	35.691	504.691	0.0	0.0	15.0	3.43e-06	0.00027839	0.00393656	0.0	0.0	0.000117
Walla Walla	0.0	2.192	126.192	3.209	70.484	73.484	0.0	3.598e-05	0.00207137	5.267e-05	0.00115695	0.0012062
Pacific	0.328	18.138	30.138	0.0	0.0	1.0	1.488e-05	0.00082311	0.00136767	0.0	0.0	4.538e-05
Pierce	4.18	338.839	2517.839	0.0	5.367	94.367	4.69e-06	0.00038016	0.00282491	0.0	6.02e-06	0.00010588
Lincoln	0.0	0.0	2.0	0.0	5.367	5.367	0.0	0.0	0.00018622	0.0	0.00049972	0.00049972
Pend Oreille	0.0	0.0	3.0	0.0	5.367	5.367	0.0	0.0	0.00022056	0.0	0.00039457	0.00039457
Clallam	3.768	94.633	126.633	0.0	5.367	5.367	4.91e-05	0.00123321	0.00165022	0.0	6.994e-05	6.994e-05
Asotin	3.209	70.484	90.484	0.0	0.0	2.0	0.00014193	0.00311738	0.00400195	0.0	0.0	8.846e-05
Stevens	0.177	11.702	27.702	0.0	0.0	1.0	3.91e-06	0.00025855	0.00061206	0.0	0.0	2.209e-05
Wahkiakum	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00090375	0.0	0.0	0.0
Jefferson	0.944	20.731	52.731	0.0	0.0	0.0	2.975e-05	0.00065338	0.00166192	0.0	0.0	0.0
Kitsap	0.517	39.444	219.444	0.0	0.0	2.0	1.92e-06	0.00014619	0.00081334	0.0	0.0	7.41e-06
Douglas	0.139	11.984	195.984	0.0	0.0	3.0	3.24e-06	0.0002793	0.00456765	0.0	0.0	6.992e-05
San Juan	0.005	0.393	16.393	0.0	0.0	0.0	2.9e-07	2.294e-05	0.00095709	0.0	0.0	0.0
Benton	11.261	832.823	2068.823	0.408	30.184	104.184	5.578e-05	0.0041254	0.01024794	2.02e-06	0.00014952	0.00051608
Columbia	0.0	0.0	1.0	0.408	30.184	30.184	0.0	0.0	0.00024637	0.00010052	0.00743631	0.00743631
Okanogan	0.0	1.069	62.069	0.0	0.0	1.0	0.0	2.537e-05	0.0014732	0.0	0.0	2.373e-05
Whitman	23.125	507.901	535.901	0.0	0.0	0.0	0.00046444	0.01020066	0.01076301	0.0	0.0	0.0
Chelan	0.446	37.306	313.306	0.0	0.0	6.0	5.79e-06	0.00048427	0.00406701	0.0	0.0	7.789e-05
Unassigned	42.852	941.175	966.175	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Mason	0.0	1.582	42.582	0.0	0.0	1.0	0.0	2.415e-05	0.00065004	0.0	0.0	1.527e-05
Adams	0.848	60.627	161.627	0.0	0.0	0.0	4.292e-05	0.00306832	0.00817992	0.0	0.0	0.0
Klickitat	0.474	39.637	88.637	0.0	0.0	3.0	2.144e-05	0.00179296	0.00400945	0.0	0.0	0.0001357
Yakima	17.166	2039.27	7690.27	2.222	128.871	250.871	6.827e-05	0.00811017	0.03058418	8.84e-06	0.00051252	0.00099771
Whatcom	3.426	208.185	665.185	0.551	19.57	58.57	1.518e-05	0.00092246	0.0029474	2.44e-06	8.671e-05	0.00025952
Franklin	9.209	703.006	1747.006	0.85	42.406	68.406	9.761e-05	0.00745128	0.01851682	9.01e-06	0.00044947	0.00072505
Ferry	0.0	0.0	1.0	0.85	42.406	42.406	0.0	0.0	0.00013074	0.00011113	0.00554399	0.00554399
Walla Walla County	0.0	0.0	1.0	0.85	42.406	42.406	N/A	N/A	N/A	N/A	N/A	N/A
Grays Harbor	0.04	3.442	24.442	0.85	42.406	42.406	5.4e-07	4.658e-05	0.00033074	1.15e-05	0.00057382	0.00057382
Spokane	0.0	70.575	940.575	0.0	2.302	39.302	0.0	0.00013714	0.00182767	0.0	4.47e-06	7.637e-05
Clark	5.005	318.099	948.099	0.696	26.228	53.228	1.039e-05	0.00066015	0.00196759	1.44e-06	5.443e-05	0.00011046
Kittitas	0.109	9.431	101.431	0.0	0.0	1.0	2.3e-06	0.00019912	0.00214152	0.0	0.0	2.111e-05
Island	0.487	19.451	203.451	0.0	0.0	11.0	5.77e-06	0.0002303	0.00240884	0.0	0.0	0.00013024
Cowlitz	1.196	94.123	214.123	0.0	0.0	0.0	1.097e-05	0.00086362	0.00196467	0.0	0.0	0.0
Garfield County	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
