Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-29	439.111	32191.111	7.613	1317.613
2020-06-30	440.687	32631.798	7.543	1325.156
2020-07-01	439.857	33071.655	7.445	1332.601
2020-07-02	435.813	33507.468	7.333	1339.934
2020-07-03	430.146	33937.614	7.192	1347.126
2020-07-04	423.658	34361.272	7.022	1354.148
2020-07-05	415.495	34776.767	6.839	1360.987
2020-07-06	405.683	35182.45	6.656	1367.643
2020-07-07	395.109	35577.559	6.475	1374.118
2020-07-08	384.56	35962.119	6.308	1380.426
2020-07-09	374.077	36336.196	6.155	1386.581
2020-07-10	364.424	36700.62	5.999	1392.58
2020-07-11	355.579	37056.199	5.829	1398.409
2020-07-12	346.577	37402.776	5.644	1404.053
2020-07-13	336.745	37739.521	5.445	1409.498
2020-07-14	326.064	38065.585	5.232	1414.73
2020-07-15	314.56	38380.145	5.019	1419.749
2020-07-16	302.267	38682.412	4.806	1424.555
2020-07-17	289.973	38972.385	4.595	1429.15
2020-07-18	277.676	39250.061	4.389	1433.539
2020-07-19	265.502	39515.563	4.189	1437.728
2020-07-20	253.583	39769.146	3.992	1441.72
2020-07-21	242.021	40011.167	3.799	1445.519
2020-07-22	230.612	40241.779	3.611	1449.13
2020-07-23	219.478	40461.257	3.43	1452.56
2020-07-24	208.637	40669.894	3.255	1455.815
2020-07-25	198.189	40868.083	3.087	1458.902
2020-07-26	188.028	41056.111	2.927	1461.829
2020-07-27	178.34	41234.451	2.775	1464.604
2020-07-28	169.106	41403.557	2.628	1467.232
2020-07-29	160.301	41563.858	2.486	1469.718
2020-07-30	151.817	41715.675	2.349	1472.067
2020-07-31	143.638	41859.313	2.214	1474.281
2020-08-01	135.705	41995.018	2.081	1476.362
2020-08-02	127.924	42122.942	1.947	1478.309
2020-08-03	120.208	42243.15	1.813	1480.122
2020-08-04	112.489	42355.639	1.682	1481.804
2020-08-05	104.764	42460.403	1.56	1483.364
2020-08-06	97.175	42557.578	1.453	1484.817
2020-08-07	90.137	42647.715	1.359	1486.176
2020-08-08	83.934	42731.649	1.279	1487.455
2020-08-09	78.543	42810.192	1.21	1488.665
2020-08-10	73.909	42884.101	1.145	1489.81
2020-08-11	69.891	42953.992	1.081	1490.891
2020-08-12	66.159	43020.151	1.017	1491.908
2020-08-13	62.46	43082.611	0.953	1492.861
2020-08-14	58.76	43141.371	0.889	1493.75
2020-08-15	55.059	43196.43	0.826	1494.576
2020-08-16	51.355	43247.785	0.768	1495.344
2020-08-17	47.715	43295.5	0.717	1496.061
2020-08-18	44.399	43339.899	0.67	1496.731
2020-08-19	41.412	43381.311	0.629	1497.36
2020-08-20	38.73	43420.041	0.591	1497.951
2020-08-21	36.334	43456.375	0.554	1498.505
2020-08-22	34.16	43490.535	0.517	1499.022
2020-08-23	32.008	43522.543	0.479	1499.501
2020-08-24	29.855	43552.398	0.442	1499.943
2020-08-25	27.7	43580.098	0.405	1500.348
2020-08-26	25.544	43605.642	0.367	1500.715
2020-08-27	23.385	43629.027	0.331	1501.046
2020-08-28	21.223	43650.25	0.297	1501.343
2020-08-29	19.116	43669.366	0.266	1501.609
2020-08-30	17.154	43686.52	0.238	1501.847
2020-08-31	15.362	43701.882	0.212	1502.059
2020-09-01	13.724	43715.606	0.187	1502.246
2020-09-02	12.222	43727.828	0.163	1502.409
2020-09-03	10.806	43738.634	0.139	1502.548
2020-09-04	9.411	43748.045	0.114	1502.662
2020-09-05	8.008	43756.053	0.089	1502.751
2020-09-06	6.591	43762.644	0.063	1502.814
2020-09-07	5.15	43767.794	0.041	1502.855
2020-09-08	3.657	43771.451	0.025	1502.88
2020-09-09	2.353	43773.804	0.016	1502.896
2020-09-10	1.451	43775.255	0.01	1502.906
2020-09-11	0.914	43776.169	0.007	1502.913
2020-09-12	0.604	43776.773	0.006	1502.919
2020-09-13	0.433	43777.206	0.005	1502.924
2020-09-14	0.334	43777.54	0.004	1502.928
2020-09-15	0.267	43777.807	0.003	1502.931
2020-09-16	0.212	43778.019	0.002	1502.933
2020-09-17	0.165	43778.184	0.002	1502.935
2020-09-18	0.126	43778.31	0.0	1502.935
2020-09-19	0.093	43778.403	0.0	1502.935
