Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-03	2.169	33.169	0.0	1.0
2020-06-04	2.149	35.318	0.0	1.0
2020-06-05	2.121	37.439	0.0	1.0
2020-06-06	2.089	39.528	0.0	1.0
2020-06-07	2.049	41.577	0.0	1.0
2020-06-08	2.0	43.577	0.0	1.0
2020-06-09	1.948	45.525	0.0	1.0
2020-06-10	1.896	47.421	0.0	1.0
2020-06-11	1.845	49.266	0.0	1.0
2020-06-12	1.797	51.063	0.0	1.0
2020-06-13	1.753	52.816	0.0	1.0
2020-06-14	1.709	54.525	0.0	1.0
2020-06-15	1.66	56.185	0.0	1.0
2020-06-16	1.608	57.793	0.0	1.0
2020-06-17	1.551	59.344	0.0	1.0
2020-06-18	1.49	60.834	0.0	1.0
2020-06-19	1.43	62.264	0.0	1.0
2020-06-20	1.369	63.633	0.0	1.0
2020-06-21	1.309	64.942	0.0	1.0
2020-06-22	1.25	66.192	0.0	1.0
2020-06-23	1.193	67.385	0.0	1.0
2020-06-24	1.137	68.522	0.0	1.0
2020-06-25	1.082	69.604	0.0	1.0
2020-06-26	1.029	70.633	0.0	1.0
2020-06-27	0.977	71.61	0.0	1.0
2020-06-28	0.927	72.537	0.0	1.0
2020-06-29	0.879	73.416	0.0	1.0
2020-06-30	0.834	74.25	0.0	1.0
2020-07-01	0.79	75.04	0.0	1.0
2020-07-02	0.749	75.789	0.0	1.0
2020-07-03	0.708	76.497	0.0	1.0
2020-07-04	0.669	77.166	0.0	1.0
2020-07-05	0.631	77.797	0.0	1.0
2020-07-06	0.593	78.39	0.0	1.0
2020-07-07	0.555	78.945	0.0	1.0
2020-07-08	0.517	79.462	0.0	1.0
2020-07-09	0.479	79.941	0.0	1.0
2020-07-10	0.444	80.385	0.0	1.0
2020-07-11	0.414	80.799	0.0	1.0
2020-07-12	0.387	81.186	0.0	1.0
2020-07-13	0.364	81.55	0.0	1.0
2020-07-14	0.345	81.895	0.0	1.0
2020-07-15	0.326	82.221	0.0	1.0
2020-07-16	0.308	82.529	0.0	1.0
2020-07-17	0.29	82.819	0.0	1.0
2020-07-18	0.271	83.09	0.0	1.0
2020-07-19	0.253	83.343	0.0	1.0
2020-07-20	0.235	83.578	0.0	1.0
2020-07-21	0.219	83.797	0.0	1.0
2020-07-22	0.204	84.001	0.0	1.0
2020-07-23	0.191	84.192	0.0	1.0
2020-07-24	0.179	84.371	0.0	1.0
2020-07-25	0.168	84.539	0.0	1.0
2020-07-26	0.158	84.697	0.0	1.0
2020-07-27	0.147	84.844	0.0	1.0
2020-07-28	0.137	84.981	0.0	1.0
2020-07-29	0.126	85.107	0.0	1.0
2020-07-30	0.115	85.222	0.0	1.0
2020-07-31	0.105	85.327	0.0	1.0
2020-08-01	0.094	85.421	0.0	1.0
2020-08-02	0.085	85.506	0.0	1.0
2020-08-03	0.076	85.582	0.0	1.0
2020-08-04	0.068	85.65	0.0	1.0
2020-08-05	0.06	85.71	0.0	1.0
2020-08-06	0.053	85.763	0.0	1.0
2020-08-07	0.046	85.809	0.0	1.0
2020-08-08	0.039	85.848	0.0	1.0
2020-08-09	0.032	85.88	0.0	1.0
2020-08-10	0.025	85.905	0.0	1.0
2020-08-11	0.018	85.923	0.0	1.0
2020-08-12	0.012	85.935	0.0	1.0
2020-08-13	0.007	85.942	0.0	1.0
2020-08-14	0.005	85.947	0.0	1.0
2020-08-15	0.003	85.95	0.0	1.0
2020-08-16	0.002	85.952	0.0	1.0
2020-08-17	0.002	85.954	0.0	1.0
2020-08-18	0.001	85.955	0.0	1.0
2020-08-19	0.001	85.956	0.0	1.0
2020-08-20	0.001	85.957	0.0	1.0
2020-08-21	0.001	85.958	0.0	1.0
2020-08-22	0.0	85.958	0.0	1.0
2020-08-23	0.0	85.958	0.0	1.0
2020-08-24	0.0	85.958	0.0	1.0
2020-08-25	0.0	85.958	0.0	1.0
2020-08-26	0.0	85.958	0.0	1.0
2020-08-27	0.0	85.958	0.0	1.0
2020-08-28	0.0	85.958	0.0	1.0
2020-08-29	0.0	85.958	0.0	1.0
2020-08-30	0.0	85.958	0.0	1.0
