Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.699	1.487	13.404	27.808
2020-09-02	0.692	2.179	14.56	42.368
2020-09-03	0.683	2.862	15.835	58.203
2020-09-04	0.673	3.535	17.107	75.31
2020-09-05	0.66	4.195	18.337	93.647
2020-09-06	0.644	4.839	19.382	113.029
2020-09-07	0.628	5.467	20.194	133.223
2020-09-08	0.611	6.078	20.661	153.884
2020-09-09	0.594	6.672	20.926	174.81
2020-09-10	0.579	7.251	21.001	195.811
2020-09-11	0.565	7.816	20.961	216.772
2020-09-12	0.551	8.367	20.769	237.541
2020-09-13	0.535	8.902	20.499	258.04
2020-09-14	0.518	9.42	20.189	278.229
2020-09-15	0.5	9.92	19.8	298.029
2020-09-16	0.48	10.4	19.333	317.362
2020-09-17	0.461	10.861	18.829	336.191
2020-09-18	0.441	11.302	18.326	354.517
2020-09-19	0.422	11.724	17.827	372.344
2020-09-20	0.403	12.127	17.367	389.711
2020-09-21	0.384	12.511	16.945	406.656
2020-09-22	0.366	12.877	16.516	423.172
2020-09-23	0.349	13.226	16.048	439.22
2020-09-24	0.331	13.557	15.539	454.759
2020-09-25	0.315	13.872	14.99	469.749
2020-09-26	0.299	14.171	14.405	484.154
2020-09-27	0.283	14.454	13.819	497.973
2020-09-28	0.269	14.723	13.233	511.206
2020-09-29	0.255	14.978	12.652	523.858
2020-09-30	0.241	15.219	12.085	535.943
2020-10-01	0.228	15.447	11.534	547.477
2020-10-02	0.216	15.663	10.99	558.467
2020-10-03	0.203	15.866	10.459	568.926
2020-10-04	0.191	16.057	9.943	578.869
2020-10-05	0.179	16.236	9.445	588.314
2020-10-06	0.166	16.402	8.96	597.274
2020-10-07	0.154	16.556	8.499	605.773
2020-10-08	0.143	16.699	8.059	613.832
2020-10-09	0.133	16.832	7.639	621.471
2020-10-10	0.125	16.957	7.235	628.706
2020-10-11	0.117	17.074	6.845	635.551
2020-10-12	0.111	17.185	6.467	642.018
2020-10-13	0.105	17.29	6.096	648.114
2020-10-14	0.099	17.389	5.729	653.843
2020-10-15	0.093	17.482	5.361	659.204
2020-10-16	0.087	17.569	4.993	664.197
2020-10-17	0.082	17.651	4.631	668.828
2020-10-18	0.076	17.727	4.295	673.123
2020-10-19	0.071	17.798	4.0	677.123
2020-10-20	0.066	17.864	3.743	680.866
2020-10-21	0.062	17.926	3.522	684.388
2020-10-22	0.058	17.984	3.331	687.719
2020-10-23	0.054	18.038	3.153	690.872
2020-10-24	0.051	18.089	2.977	693.849
2020-10-25	0.047	18.136	2.8	696.649
2020-10-26	0.044	18.18	2.624	699.273
2020-10-27	0.041	18.221	2.447	701.72
2020-10-28	0.037	18.258	2.274	703.994
2020-10-29	0.034	18.292	2.116	706.11
2020-10-30	0.03	18.322	1.973	708.083
2020-10-31	0.027	18.349	1.846	709.929
2020-11-01	0.024	18.373	1.731	711.66
2020-11-02	0.022	18.395	1.628	713.288
2020-11-03	0.019	18.414	1.525	714.813
2020-11-04	0.017	18.431	1.423	716.236
2020-11-05	0.015	18.446	1.32	717.556
2020-11-06	0.013	18.459	1.217	718.773
2020-11-07	0.01	18.469	1.114	719.887
2020-11-08	0.008	18.477	1.011	720.898
2020-11-09	0.006	18.483	0.911	721.809
2020-11-10	0.004	18.487	0.817	722.626
2020-11-11	0.002	18.489	0.732	723.358
2020-11-12	0.001	18.49	0.654	724.012
2020-11-13	0.001	18.491	0.582	724.594
2020-11-14	0.001	18.492	0.515	725.109
2020-11-15	0.001	18.493	0.448	725.557
2020-11-16	0.0	18.493	0.382	725.939
2020-11-17	0.0	18.493	0.314	726.253
2020-11-18	0.0	18.493	0.245	726.498
2020-11-19	0.0	18.493	0.174	726.672
2020-11-20	0.0	18.493	0.112	726.784
2020-11-21	0.0	18.493	0.069	726.853
2020-11-22	0.0	18.493	0.044	726.897
2020-11-23	0.0	18.493	0.029	726.926
2020-11-24	0.0	18.493	0.021	726.947
2020-11-25	0.0	18.493	0.016	726.963
2020-11-26	0.0	18.493	0.013	726.976
2020-11-27	0.0	18.493	0.01	726.986
2020-11-28	0.0	18.493	0.008	726.994
2020-11-29	0.0	18.493	0.006	727.0
