Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Hardy	0.0	17.747	18.322	0.08	505.531	516.043	0.0	0.00128835	0.00133009	5.81e-06	0.03669917	0.03746229
Mingo	0.0	42.067	44.583	0.0	0.0	54.915	0.0	0.00176864	0.00187442	0.0	0.0	0.00230881
Logan	0.0	18.535	28.456	0.001	55.182	233.925	0.0	0.00056844	0.0008727	3e-08	0.00169234	0.00717407
Cabell	0.0	38.11	44.476	0.0	11.35	127.69	0.0	0.0004088	0.00047709	0.0	0.00012175	0.00136971
Gilmer	0.0	1.789	3.907	0.0	11.35	11.35	0.0	0.0002229	0.00048679	0.0	0.00141415	0.00141415
Tyler	0.0	1.639	2.099	0.0	11.35	11.35	0.0	0.0001874	0.00024	0.0	0.00129774	0.00129774
Wood	0.0	11.519	26.836	0.0	0.0	135.634	0.0	0.0001368	0.00031871	0.0	0.0	0.0016108
Berkeley	0.0	13.283	17.244	0.0	0.0	73.527	0.0	0.00011341	0.00014723	0.0	0.0	0.00062778
Wayne	0.0	33.371	34.669	0.0	2.363	30.685	0.0	0.00083544	0.00086794	0.0	5.916e-05	0.0007682
Pendleton	0.0	17.705	18.493	0.112	712.38	726.784	0.0	0.00253037	0.00264299	1.601e-05	0.10181221	0.1038708
Lincoln	0.0	20.264	21.326	0.208	1319.744	1345.576	0.0	0.00098374	0.00103529	1.01e-05	0.06406835	0.06532239
Doddridge	0.0	0.668	0.734	0.208	1319.744	1319.744	0.0	7.947e-05	8.732e-05	2.474e-05	0.15700024	0.15700024
Wetzel	0.0	5.025	5.372	0.208	1319.744	1319.744	0.0	0.00032908	0.0003518	1.362e-05	0.08642724	0.08642724
Greenbrier	0.0	4.528	4.733	0.0	0.0	5.669	0.0	0.00013017	0.00013606	0.0	0.0	0.00016297
Fayette	0.216	427.08	429.481	0.205	133.362	176.612	5.02e-06	0.00992794	0.00998375	4.77e-06	0.00310014	0.00410554
Jefferson	0.001	62.73	63.698	0.0	0.0	16.495	2e-08	0.00110419	0.00112123	0.0	0.0	0.00029035
Barbour	0.0	3.612	4.513	0.04	257.019	262.855	0.0	0.00021845	0.00027294	2.42e-06	0.01554394	0.01589689
McDowell	0.0	8.787	8.815	0.062	393.772	402.181	0.0	0.00048219	0.00048373	3.4e-06	0.02160852	0.02206997
Monroe	0.002	208.931	208.946	8.847	3780.017	3781.23	1.5e-07	0.01573276	0.01573389	0.00066619	0.28463983	0.28473117
Braxton	0.0	2.14	11.14	8.847	3780.017	3780.017	0.0	0.00015189	0.00079069	0.00062794	0.26829562	0.26829562
Marion	0.0	7.367	8.81	0.0	0.0	26.37	0.0	0.00013133	0.00015705	0.0	0.0	0.00047008
Summers	0.0	2.003	3.208	0.0	9.165	9.165	0.0	0.00015697	0.00025141	0.0	0.00071826	0.00071826
Tucker	0.0	1.236	1.265	0.011	1362.41	1362.41	0.0	0.00017771	0.00018188	1.58e-06	0.19588929	0.19588929
Boone	0.0	16.053	17.575	0.011	1362.41	1362.41	0.0	0.00073131	0.00080065	5e-07	0.06206597	0.06206597
Upshur	0.0	5.08	5.177	0.011	1362.41	1362.41	0.0	0.00020807	0.00021204	4.5e-07	0.05580217	0.05580217
Kanawha	0.003	399.917	416.666	0.0	5.968	291.508	2e-08	0.00221617	0.00230899	0.0	3.307e-05	0.00161541
Mineral	0.0	25.458	26.532	0.0	0.0	19.632	0.0	0.00094499	0.00098486	0.0	0.0	0.00072873
Preston	0.0	1.375	4.349	0.0	0.0	19.252	0.0	4.063e-05	0.00012852	0.0	0.0	0.00056893
Unassigned	0.0	0.0	5.0	0.0	0.0	20.0	N/A	N/A	N/A	N/A	N/A	N/A
Randolph	0.0	2.732	3.284	0.0	0.0	0.0	0.0	9.479e-05	0.00011394	0.0	0.0	0.0
Pleasants	0.0	0.537	0.781	0.001	6.139	11.741	0.0	7.153e-05	0.00010404	1.3e-07	0.00081777	0.00156401
Mason	0.0	51.242	56.196	0.012	1441.599	1499.486	0.0	0.00191788	0.0021033	4.5e-07	0.0539561	0.05612269
Wyoming	0.077	130.485	131.977	0.134	80.124	106.321	3.7e-06	0.00627754	0.00634932	6.45e-06	0.00385471	0.00511503
Clay	0.0	0.626	26.626	0.082	39.635	41.635	0.0	7.252e-05	0.00308457	9.5e-06	0.00459164	0.00482333
Putnam	0.001	63.093	65.303	0.082	39.635	39.635	2e-08	0.0011131	0.00115209	1.45e-06	0.00069925	0.00069925
Wirt	0.0	7.292	7.488	0.082	39.635	39.635	0.0	0.00125077	0.00128439	1.407e-05	0.00679846	0.00679846
Pocahontas	0.0	4.56	6.092	0.0	36.143	36.143	0.0	0.00054195	0.00072403	0.0	0.00429558	0.00429558
Ritchie	0.163	79.268	84.268	0.0	36.143	36.143	1.677e-05	0.00815431	0.00866866	0.0	0.00371803	0.00371803
Nicholas	0.0	23.36	23.768	0.0	2.363	10.402	0.0	0.00094034	0.00095677	0.0	9.512e-05	0.00041873
Morgan	0.0	0.012	1.541	0.0	2.363	2.363	0.0	6.7e-07	8.664e-05	0.0	0.00013285	0.00013285
Brooke	0.0	0.687	13.259	0.082	39.635	121.016	0.0	3.094e-05	0.00059717	3.69e-06	0.00178512	0.00545043
Harrison	0.0	9.001	11.976	0.011	1352.42	1406.788	0.0	0.00013324	0.00017728	1.6e-07	0.02001984	0.02082464
Grant	0.0	12.507	12.58	0.0	2.6	23.402	0.0	0.00107578	0.00108206	0.0	0.00022364	0.0020129
