Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-19	6.551	183.551	0.12	4.12
2020-06-20	7.143	190.694	0.142	4.262
2020-06-21	7.76	198.454	0.167	4.429
2020-06-22	8.439	206.893	0.196	4.625
2020-06-23	9.117	216.01	0.227	4.852
2020-06-24	9.773	225.783	0.262	5.114
2020-06-25	10.329	236.112	0.3	5.414
2020-06-26	10.762	246.874	0.34	5.754
2020-06-27	11.011	257.885	0.381	6.135
2020-06-28	11.152	269.037	0.423	6.558
2020-06-29	11.192	280.229	0.465	7.023
2020-06-30	11.171	291.4	0.507	7.53
2020-07-01	11.068	302.468	0.551	8.081
2020-07-02	10.924	313.392	0.599	8.68
2020-07-03	10.76	324.152	0.647	9.327
2020-07-04	10.552	334.704	0.694	10.021
2020-07-05	10.303	345.007	0.733	10.754
2020-07-06	10.034	355.041	0.764	11.518
2020-07-07	9.767	364.808	0.781	12.299
2020-07-08	9.5	374.308	0.791	13.09
2020-07-09	9.255	383.563	0.794	13.884
2020-07-10	9.031	392.594	0.793	14.677
2020-07-11	8.802	401.396	0.786	15.463
2020-07-12	8.552	409.948	0.775	16.238
2020-07-13	8.281	418.229	0.764	17.002
2020-07-14	7.989	426.218	0.749	17.751
2020-07-15	7.677	433.895	0.731	18.482
2020-07-16	7.364	441.259	0.712	19.194
2020-07-17	7.052	448.311	0.693	19.887
2020-07-18	6.743	455.054	0.674	20.561
2020-07-19	6.44	461.494	0.657	21.218
2020-07-20	6.147	467.641	0.641	21.859
2020-07-21	5.857	473.498	0.625	22.484
2020-07-22	5.574	479.072	0.607	23.091
2020-07-23	5.299	484.371	0.588	23.679
2020-07-24	5.033	489.404	0.567	24.246
2020-07-25	4.775	494.179	0.545	24.791
2020-07-26	4.529	498.708	0.523	25.314
2020-07-27	4.295	503.003	0.5	25.814
2020-07-28	4.071	507.074	0.479	26.293
2020-07-29	3.856	510.93	0.457	26.75
2020-07-30	3.648	514.578	0.436	27.186
2020-07-31	3.446	518.024	0.416	27.602
2020-08-01	3.249	521.273	0.396	27.998
2020-08-02	3.053	524.326	0.376	28.374
2020-08-03	2.857	527.183	0.357	28.731
2020-08-04	2.661	529.844	0.339	29.07
2020-08-05	2.468	532.312	0.321	29.391
2020-08-06	2.289	534.601	0.305	29.696
2020-08-07	2.132	536.733	0.289	29.985
2020-08-08	1.995	538.728	0.274	30.259
2020-08-09	1.877	540.605	0.259	30.518
2020-08-10	1.775	542.38	0.245	30.763
2020-08-11	1.68	544.06	0.231	30.994
2020-08-12	1.586	545.646	0.217	31.211
2020-08-13	1.492	547.138	0.203	31.414
2020-08-14	1.398	548.536	0.189	31.603
2020-08-15	1.304	549.84	0.175	31.778
2020-08-16	1.212	551.052	0.162	31.94
2020-08-17	1.128	552.18	0.151	32.091
2020-08-18	1.052	553.232	0.142	32.233
2020-08-19	0.984	554.216	0.133	32.366
2020-08-20	0.923	555.139	0.126	32.492
2020-08-21	0.868	556.007	0.119	32.611
2020-08-22	0.813	556.82	0.113	32.724
2020-08-23	0.758	557.578	0.106	32.83
2020-08-24	0.704	558.282	0.099	32.929
2020-08-25	0.649	558.931	0.093	33.022
2020-08-26	0.594	559.525	0.086	33.108
2020-08-27	0.539	560.064	0.08	33.188
2020-08-28	0.485	560.549	0.075	33.263
2020-08-29	0.436	560.985	0.07	33.333
2020-08-30	0.39	561.375	0.065	33.398
2020-08-31	0.349	561.724	0.062	33.46
2020-09-01	0.31	562.034	0.058	33.518
2020-09-02	0.274	562.308	0.054	33.572
2020-09-03	0.239	562.547	0.05	33.622
2020-09-04	0.203	562.75	0.046	33.668
2020-09-05	0.167	562.917	0.042	33.71
2020-09-06	0.131	563.048	0.038	33.748
2020-09-07	0.093	563.141	0.034	33.782
2020-09-08	0.06	563.201	0.031	33.813
2020-09-09	0.037	563.238	0.028	33.841
2020-09-10	0.023	563.261	0.025	33.866
2020-09-11	0.015	563.276	0.022	33.888
2020-09-12	0.011	563.287	0.019	33.907
2020-09-13	0.008	563.295	0.017	33.924
2020-09-14	0.007	563.302	0.014	33.938
2020-09-15	0.005	563.307	0.012	33.95
2020-09-16	0.004	563.311	0.009	33.959
2020-09-17	0.003	563.314	0.007	33.966
2020-09-18	0.002	563.316	0.004	33.97
2020-09-19	0.0	563.316	0.003	33.973
2020-09-20	0.0	563.316	0.002	33.975
2020-09-21	0.0	563.316	0.001	33.976
2020-09-22	0.0	563.316	0.001	33.977
2020-09-23	0.0	563.316	0.001	33.978
2020-09-24	0.0	563.316	0.0	33.978
2020-09-25	0.0	563.316	0.0	33.978
2020-09-26	0.0	563.316	0.0	33.978
2020-09-27	0.0	563.316	0.0	33.978
