Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	26.636	1141.636	0.0	22.0
2020-08-14	26.391	1168.027	0.0	22.0
2020-08-15	26.048	1194.075	0.0	22.0
2020-08-16	25.655	1219.73	0.0	22.0
2020-08-17	25.16	1244.89	0.0	22.0
2020-08-18	24.566	1269.456	0.0	22.0
2020-08-19	23.926	1293.382	0.0	22.0
2020-08-20	23.287	1316.669	0.0	22.0
2020-08-21	22.652	1339.321	0.0	22.0
2020-08-22	22.068	1361.389	0.0	22.0
2020-08-23	21.532	1382.921	0.0	22.0
2020-08-24	20.987	1403.908	0.0	22.0
2020-08-25	20.392	1424.3	0.0	22.0
2020-08-26	19.745	1444.045	0.0	22.0
2020-08-27	19.048	1463.093	0.0	22.0
2020-08-28	18.304	1481.397	0.0	22.0
2020-08-29	17.559	1498.956	0.0	22.0
2020-08-30	16.815	1515.771	0.0	22.0
2020-08-31	16.078	1531.849	0.0	22.0
2020-09-01	15.356	1547.205	0.0	22.0
2020-09-02	14.656	1561.861	0.0	22.0
2020-09-03	13.965	1575.826	0.0	22.0
2020-09-04	13.29	1589.116	0.0	22.0
2020-09-05	12.634	1601.75	0.0	22.0
2020-09-06	12.001	1613.751	0.0	22.0
2020-09-07	11.386	1625.137	0.0	22.0
2020-09-08	10.799	1635.936	0.0	22.0
2020-09-09	10.24	1646.176	0.0	22.0
2020-09-10	9.707	1655.883	0.0	22.0
2020-09-11	9.193	1665.076	0.0	22.0
2020-09-12	8.698	1673.774	0.0	22.0
2020-09-13	8.218	1681.992	0.0	22.0
2020-09-14	7.746	1689.738	0.0	22.0
2020-09-15	7.279	1697.017	0.0	22.0
2020-09-16	6.812	1703.829	0.0	22.0
2020-09-17	6.344	1710.173	0.0	22.0
2020-09-18	5.884	1716.057	0.0	22.0
2020-09-19	5.458	1721.515	0.0	22.0
2020-09-20	5.083	1726.598	0.0	22.0
2020-09-21	4.756	1731.354	0.0	22.0
2020-09-22	4.476	1735.83	0.0	22.0
2020-09-23	4.232	1740.062	0.0	22.0
2020-09-24	4.006	1744.068	0.0	22.0
2020-09-25	3.782	1747.85	0.0	22.0
2020-09-26	3.558	1751.408	0.0	22.0
2020-09-27	3.334	1754.742	0.0	22.0
2020-09-28	3.11	1757.852	0.0	22.0
2020-09-29	2.889	1760.741	0.0	22.0
2020-09-30	2.689	1763.43	0.0	22.0
2020-10-01	2.508	1765.938	0.0	22.0
2020-10-02	2.345	1768.283	0.0	22.0
2020-10-03	2.2	1770.483	0.0	22.0
2020-10-04	2.069	1772.552	0.0	22.0
2020-10-05	1.938	1774.49	0.0	22.0
2020-10-06	1.808	1776.298	0.0	22.0
2020-10-07	1.677	1777.975	0.0	22.0
2020-10-08	1.547	1779.522	0.0	22.0
2020-10-09	1.416	1780.938	0.0	22.0
2020-10-10	1.285	1782.223	0.0	22.0
2020-10-11	1.158	1783.381	0.0	22.0
2020-10-12	1.039	1784.42	0.0	22.0
2020-10-13	0.93	1785.35	0.0	22.0
2020-10-14	0.831	1786.181	0.0	22.0
2020-10-15	0.74	1786.921	0.0	22.0
2020-10-16	0.654	1787.575	0.0	22.0
2020-10-17	0.57	1788.145	0.0	22.0
2020-10-18	0.485	1788.63	0.0	22.0
2020-10-19	0.399	1789.029	0.0	22.0
2020-10-20	0.312	1789.341	0.0	22.0
2020-10-21	0.221	1789.562	0.0	22.0
2020-10-22	0.142	1789.704	0.0	22.0
2020-10-23	0.088	1789.792	0.0	22.0
2020-10-24	0.055	1789.847	0.0	22.0
2020-10-25	0.037	1789.884	0.0	22.0
2020-10-26	0.026	1789.91	0.0	22.0
2020-10-27	0.02	1789.93	0.0	22.0
2020-10-28	0.016	1789.946	0.0	22.0
2020-10-29	0.013	1789.959	0.0	22.0
2020-10-30	0.01	1789.969	0.0	22.0
2020-10-31	0.008	1789.977	0.0	22.0
2020-11-01	0.006	1789.983	0.0	22.0
2020-11-02	0.0	1789.983	0.0	22.0
2020-11-03	0.0	1789.983	0.0	22.0
2020-11-04	0.0	1789.983	0.0	22.0
2020-11-05	0.0	1789.983	0.0	22.0
2020-11-06	0.0	1789.983	0.0	22.0
2020-11-07	0.0	1789.983	0.0	22.0
2020-11-08	0.0	1789.983	0.0	22.0
2020-11-09	0.0	1789.983	0.0	22.0
2020-11-10	0.0	1789.983	0.0	22.0
