Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Burnett	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brown	72.696	2170.023	2811.847	0.0	0.0	2.0	0.00027601	0.0082392	0.01067609	0.0	0.0	7.59e-06
Wood	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.738e-05	0.0	0.0	0.0
Forest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Richland	0.066	4.252	16.02	0.0	0.0	1.0	3.8e-06	0.00024469	0.00092191	0.0	0.0	5.755e-05
Green	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.00027079	0.0	0.0	0.0
Manitowoc	0.109	5.362	13.987	0.0	0.0	0.0	1.38e-06	6.781e-05	0.00017688	0.0	0.0	0.0
Green Lake	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.286e-05	0.0	0.0	0.0
Pierce	1.028	16.47	24.813	0.0	0.0	0.0	2.416e-05	0.00038703	0.00058308	0.0	0.0	0.0
Lincoln	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fond du Lac	0.0	3.776	74.145	0.039	1.932	5.517	0.0	3.664e-05	0.00071939	3.8e-07	1.875e-05	5.353e-05
Ozaukee	0.313	15.454	100.136	0.0	0.0	9.0	3.51e-06	0.00017335	0.00112327	0.0	0.0	0.00010096
Washington	0.388	23.436	121.978	0.006	0.297	4.385	2.86e-06	0.00017271	0.00089893	4e-08	2.19e-06	3.232e-05
Langlade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jefferson	0.511	23.37	66.602	0.006	0.297	0.385	6e-06	0.00027452	0.00078237	7e-08	3.49e-06	4.52e-06
Trempealeau	0.0	0.0	1.0	0.006	0.297	0.385	0.0	0.0	3.397e-05	2e-07	1.009e-05	1.308e-05
Monroe	0.231	11.38	28.827	0.0	0.0	1.0	5.02e-06	0.00024712	0.00062598	0.0	0.0	2.172e-05
Chippewa	0.0	0.021	20.113	0.0	0.0	0.0	0.0	3.3e-07	0.0003136	0.0	0.0	0.0
Douglas	3.494	55.993	66.164	0.0	0.0	0.0	8.086e-05	0.00129589	0.00153129	0.0	0.0	0.0
Walworth	2.395	118.078	253.838	0.0	0.0	7.0	2.309e-05	0.00113845	0.00244739	0.0	0.0	6.749e-05
Waukesha	1.413	86.716	400.894	0.153	7.973	24.543	3.51e-06	0.00021514	0.0009946	3.8e-07	1.978e-05	6.089e-05
Winnebago	0.806	36.896	92.737	0.0	0.0	1.0	4.71e-06	0.00021574	0.00054226	0.0	0.0	5.85e-06
Marathon	0.193	9.185	28.818	0.0	0.0	1.0	1.43e-06	6.782e-05	0.00021279	0.0	0.0	7.38e-06
Iowa	0.088	4.129	12.274	0.0	0.0	0.0	3.7e-06	0.0001737	0.00051634	0.0	0.0	0.0
Ashland	0.0	0.012	2.067	0.0	0.0	0.0	0.0	7.7e-07	0.0001325	0.0	0.0	0.0
Marquette	0.039	1.932	5.517	0.0	0.0	1.0	2.53e-06	0.00012518	0.00035746	0.0	0.0	6.479e-05
