Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Brown	0.091	83.087	3.5e-07	0.00031547
Wood	0.0	0.0	0.0	0.0
Richland	0.0	0.0	0.0	0.0
Green	0.0	0.0	0.0	0.0
Manitowoc	0.0	0.0	0.0	0.0
Pierce	0.0	0.0	0.0	0.0
Fond du Lac	0.056	50.631	5.4e-07	0.00049125
Ozaukee	0.078	71.403	8.8e-07	0.00080096
Washington	0.0	17.128	0.0	0.00012623
Jefferson	0.011	10.386	1.3e-07	0.000122
Trempealeau	0.015	17.734	5.1e-07	0.00060235
Monroe	0.0	0.079	0.0	1.72e-06
Chippewa	0.0	0.0	0.0	0.0
Douglas	0.0	0.0	0.0	0.0
Walworth	0.036	32.456	3.4e-07	0.00031293
Waukesha	0.0	19.571	0.0	4.855e-05
Winnebago	0.0	0.027	0.0	1.6e-07
Marathon	0.0	0.086	0.0	6.3e-07
Iowa	0.002	2.479	1e-07	0.00010429
Ashland	0.021	19.474	1.37e-06	0.00124831
Marquette	0.043	38.947	2.77e-06	0.00252347
Columbia	0.0	11.767	0.0	0.00020515
Bayfield	0.0	0.0	0.0	0.0
Sheboygan	0.047	42.842	4.1e-07	0.00037107
Dane	0.0	6.712	0.0	1.237e-05
Pepin	0.0	0.0	0.0	0.0
Florence	0.0	0.0	0.0	0.0
Dodge	0.007	6.491	8e-08	7.389e-05
Unassigned	0.0	0.0	N/A	N/A
Kewaunee	0.0	0.0	0.0	0.0
Waupaca	0.001	1.126	2e-08	2.203e-05
Eau Claire	0.0	7.499	0.0	7.173e-05
Adams	0.03	35.469	1.47e-06	0.0017431
Shawano	0.0	0.0	0.0	0.0
Buffalo	0.043	38.947	3.26e-06	0.00296741
Dunn	0.006	5.193	1.3e-07	0.00011506
Saint Croix	0.0	0.0	0.0	0.0
Kenosha	0.015	139.443	9e-08	0.00082369
Rock	0.074	67.509	4.5e-07	0.00041384
Sawyer	0.0	0.0	0.0	0.0
Iron	0.0	0.0	0.0	0.0
Lafayette	0.0	0.0	0.0	0.0
Marinette	0.002	3.215	4e-08	7.951e-05
Clark	0.003	3.547	9e-08	0.00010219
Oconto	0.064	58.421	1.7e-06	0.0015443
Sauk	0.0	1.11	0.0	1.727e-05
La Crosse	0.013	11.684	1.1e-07	9.883e-05
Racine	0.126	114.245	6.4e-07	0.00058115
Rusk	0.0	0.0	0.0	0.0
Barron	0.0	0.0	0.0	0.0
Juneau	0.002	2.253	6e-08	8.464e-05
Milwaukee	1.637	1490.38	1.73e-06	0.0015718
Vilas	0.002	2.253	7e-08	0.00010269
Crawford	0.036	37.187	2.23e-06	0.00228268
Menominee	0.015	17.734	3.22e-06	0.00380727
Calumet	0.0	0.0	0.0	0.0
Outagamie	0.0	9.948	0.0	5.309e-05
Waushara	0.0	0.0	0.0	0.0
Portage	0.0	0.026	0.0	3.7e-07
Oneida	0.002	6.109	6e-08	0.00017223
Grant	0.004	4.729	8e-08	9.173e-05
Door	0.171	155.789	6.2e-06	0.00564248
Jackson	0.15	136.315	7.31e-06	0.00665667
