Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Burnett	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6.497e-05	0.0	0.0	6.497e-05
Brown	4.928	367.677	2610.677	0.403	23.922	55.922	1.871e-05	0.001396	0.00991228	1.53e-06	9.083e-05	0.00021233
Wood	0.215	11.707	20.707	0.0	0.0	1.0	2.94e-06	0.00016025	0.00028344	0.0	0.0	1.369e-05
Forest	0.0	3.103	14.103	0.0	0.0	0.0	0.0	0.00034512	0.00156857	0.0	0.0	0.0
Richland	0.044	2.437	16.437	0.189	7.598	11.598	2.53e-06	0.00014024	0.00094591	1.088e-05	0.00043724	0.00066743
Green	0.581	32.401	85.401	0.189	7.598	7.598	1.573e-05	0.00087739	0.00231257	5.12e-06	0.00020575	0.00020575
Manitowoc	2.662	76.103	105.103	0.0	0.0	1.0	3.366e-05	0.00096243	0.00132917	0.0	0.0	1.265e-05
Green Lake	0.12	6.68	20.68	0.0	0.0	0.0	6.34e-06	0.0003531	0.00109314	0.0	0.0	0.0
Pierce	20.895	390.907	432.907	0.0	0.0	0.0	0.00049101	0.00918592	0.01017288	0.0	0.0	0.0
Lincoln	0.011	2.131	6.131	0.0	0.0	0.0	4e-07	7.696e-05	0.00022142	0.0	0.0	0.0
Fond du Lac	1.734	98.731	263.731	0.066	2.791	6.791	1.682e-05	0.00095794	0.00255886	6.4e-07	2.708e-05	6.589e-05
Ozaukee	0.778	45.218	182.218	0.091	3.968	14.968	8.73e-06	0.00050723	0.00204402	1.02e-06	4.451e-05	0.0001679
Washington	2.842	142.996	335.996	0.0	0.0	4.0	2.094e-05	0.00105382	0.00247615	0.0	0.0	2.948e-05
Langlade	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.19e-05	0.0	0.0	0.0
Jefferson	0.744	38.53	118.53	4.729	66.351	69.351	8.74e-06	0.00045261	0.00139236	5.555e-05	0.00077942	0.00081466
Trempealeau	0.343	18.235	36.235	4.729	66.351	66.351	1.165e-05	0.00061935	0.00123072	0.00016062	0.00225362	0.00225362
Monroe	0.029	1.624	17.624	0.0	0.0	1.0	6.3e-07	3.527e-05	0.00038271	0.0	0.0	2.172e-05
Chippewa	0.544	30.322	79.322	0.0	0.0	0.0	8.48e-06	0.00047278	0.0012368	0.0	0.0	0.0
Douglas	1.575	45.033	62.033	0.0	0.0	0.0	3.645e-05	0.00104224	0.00143568	0.0	0.0	0.0
Walworth	3.358	173.89	521.89	0.013	0.444	13.444	3.238e-05	0.00167657	0.00503182	1.3e-07	4.28e-06	0.00012962
Waukesha	4.791	254.724	815.724	0.203	7.452	32.452	1.189e-05	0.00063196	0.00202377	5e-07	1.849e-05	8.051e-05
Winnebago	5.44	209.282	381.282	0.0	0.0	1.0	3.181e-05	0.00122373	0.00222946	0.0	0.0	5.85e-06
Marathon	0.0	6.502	47.502	0.0	0.0	1.0	0.0	4.801e-05	0.00035075	0.0	0.0	7.38e-06
Iowa	0.0	0.124	11.124	0.0	0.0	0.0	0.0	5.22e-06	0.00046797	0.0	0.0	0.0
Ashland	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00012821	0.0	0.0	0.0
Marquette	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.00019438	0.0	0.0	6.479e-05
Columbia	0.003	3.718	40.718	0.0	0.0	1.0	5e-08	6.482e-05	0.00070989	0.0	0.0	1.743e-05
Bayfield	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.00019944	0.0	0.0	6.648e-05
Sheboygan	28.056	393.674	475.674	0.0	0.067	3.067	0.000243	0.00340973	0.00411996	0.0	5.8e-07	2.656e-05
Dane	4.278	227.466	823.466	0.445	16.31	42.31	7.89e-06	0.0004194	0.00151829	8.2e-07	3.007e-05	7.801e-05
Pepin	0.0	0.0	1.0	0.445	16.31	16.31	0.0	0.0	0.00013719	6.105e-05	0.00223762	0.00223762
Florence	0.0	0.0	2.0	0.445	16.31	16.31	0.0	0.0	0.00046286	0.00010299	0.00377459	0.00377459
Dodge	2.496	129.27	281.27	0.0	0.0	1.0	2.841e-05	0.00147154	0.00320182	0.0	0.0	1.138e-05
Price	1.891	26.539	28.539	0.0	0.0	0.0	0.00014115	0.00198097	0.00213025	0.0	0.0	0.0
Unassigned	0.0	0.0	1.0	0.0	0.0	4.0	N/A	N/A	N/A	N/A	N/A	N/A
Kewaunee	0.169	8.233	41.233	0.0	0.0	1.0	8.29e-06	0.00040392	0.00202291	0.0	0.0	4.906e-05
Waupaca	0.212	12.076	35.076	0.0	0.0	1.0	4.15e-06	0.00023619	0.00068604	0.0	0.0	1.956e-05
Eau Claire	3.589	131.702	227.702	0.0	0.0	0.0	3.433e-05	0.0012599	0.00217826	0.0	0.0	0.0
Adams	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.00019658	0.0	0.0	4.914e-05
Shawano	0.179	14.741	52.741	0.0	0.0	0.0	4.39e-06	0.00036133	0.0012928	0.0	0.0	0.0
Buffalo	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.00038095	0.0	0.0	7.619e-05
Dunn	0.0	0.387	22.387	0.0	0.0	0.0	0.0	8.58e-06	0.00049604	0.0	0.0	0.0
Saint Croix	1.622	76.569	143.569	0.0	0.0	0.0	1.808e-05	0.00085367	0.00160065	0.0	0.0	0.0
Kenosha	8.047	448.373	1446.373	0.541	21.791	43.791	4.753e-05	0.00264855	0.00854376	3.2e-06	0.00012872	0.00025867
Rock	5.441	281.797	826.797	0.152	5.325	21.325	3.335e-05	0.00172745	0.00506836	9.3e-07	3.264e-05	0.00013072
Sawyer	5.674	79.617	86.617	0.152	5.325	5.325	0.00034411	0.00482849	0.00525302	9.22e-06	0.00032294	0.00032294
Iron	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.00035236	0.0	0.0	0.00017618
Lafayette	0.0	0.815	20.815	0.0	0.0	0.0	0.0	4.89e-05	0.00124902	0.0	0.0	0.0
Washburn	1.891	26.539	28.539	0.0	0.0	0.0	0.0001191	0.00167143	0.00179739	0.0	0.0	0.0
Marinette	0.524	25.592	56.592	0.0	0.124	2.124	1.296e-05	0.00063293	0.00139961	0.0	3.07e-06	5.253e-05
Clark	0.209	11.642	39.642	0.0	0.0	4.0	6.02e-06	0.00033542	0.00114212	0.0	0.0	0.00011524
Oconto	0.131	7.31	41.31	0.0	0.0	0.0	3.46e-06	0.00019323	0.00109199	0.0	0.0	0.0
Sauk	0.0	1.25	78.25	0.0	0.0	3.0	0.0	1.946e-05	0.00121792	0.0	0.0	4.669e-05
La Crosse	0.228	18.576	65.576	0.0	0.0	0.0	1.93e-06	0.00015712	0.00055465	0.0	0.0	0.0
Racine	16.204	902.884	2289.884	0.42	16.894	38.894	8.243e-05	0.00459287	0.01164837	2.14e-06	8.594e-05	0.00019785
Rusk	0.0	0.0	4.0	0.42	16.894	16.894	0.0	0.0	0.00028275	2.969e-05	0.00119418	0.00119418
Barron	0.006	0.361	12.361	0.42	16.894	16.894	1.3e-07	7.99e-06	0.00027369	9.3e-06	0.00037406	0.00037406
Juneau	0.12	5.247	27.247	0.0	0.0	1.0	4.51e-06	0.00019713	0.00102367	0.0	0.0	3.757e-05
Milwaukee	69.645	3606.774	9791.774	1.095	66.42	342.42	7.345e-05	0.00380381	0.01032669	1.15e-06	7.005e-05	0.00036113
Vilas	2.942	41.284	47.284	1.095	66.42	66.42	0.00013411	0.00188185	0.00215535	4.991e-05	0.00302762	0.00302762
Vernon	0.161	12.514	28.514	1.095	66.42	66.42	5.23e-06	0.0004065	0.00092623	3.557e-05	0.00215754	0.00215754
Taylor	0.0	0.0	1.0	1.095	66.42	66.42	0.0	0.0	4.899e-05	5.364e-05	0.00325397	0.00325397
Crawford	0.267	14.891	39.891	1.095	66.42	66.42	1.639e-05	0.00091406	0.00244865	6.722e-05	0.0040771	0.0040771
Menominee	0.0	0.0	3.0	1.095	66.42	66.42	0.0	0.0	0.00064405	0.00023508	0.01425934	0.01425934
Calumet	0.0	13.986	82.986	0.0	0.0	1.0	0.0	0.00027883	0.00165446	0.0	0.0	1.994e-05
Outagamie	4.334	182.248	366.248	1.066	27.529	34.529	2.313e-05	0.00097269	0.00195473	5.69e-06	0.00014693	0.00018429
Waushara	0.149	8.303	16.303	1.066	27.529	27.529	6.14e-06	0.00034221	0.00067193	4.394e-05	0.00113461	0.00113461
Polk	13.45	188.728	204.728	0.0	0.0	1.0	0.0003085	0.00432882	0.00469581	0.0	0.0	2.294e-05
Portage	2.312	32.438	42.438	0.0	0.0	0.0	3.259e-05	0.00045725	0.00059821	0.0	0.0	0.0
Oneida	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.00019735	0.0	0.0	0.0
Grant	1.057	42.568	124.568	0.211	5.156	16.156	2.05e-05	0.0008257	0.00241626	4.09e-06	0.00010001	0.00031338
Door	0.211	17.212	54.212	0.0	0.0	3.0	7.64e-06	0.0006234	0.00196349	0.0	0.0	0.00010866
Jackson	0.0	0.129	15.129	0.0	0.0	1.0	0.0	6.3e-06	0.00073879	0.0	0.0	4.883e-05
