Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Goshen	0.0	0.0	5.0	0.104	29.17	29.17	0.0	0.0	0.0003738	7.78e-06	0.00218077	0.00218077
Laramie	0.226	56.897	244.897	0.104	29.17	29.17	2.28e-06	0.00057486	0.00247431	1.05e-06	0.00029472	0.00029472
Platte	0.0	0.0	1.0	0.104	29.17	29.17	0.0	0.0	0.00011674	1.214e-05	0.00340532	0.00340532
Lincoln	0.0	0.014	15.014	0.104	29.17	29.17	0.0	7.2e-07	0.00077256	5.35e-06	0.00150098	0.00150098
Natrona	0.062	26.612	105.612	0.104	29.17	29.17	7.8e-07	0.00033637	0.00133492	1.31e-06	0.0003687	0.0003687
Uinta	0.002	0.884	13.884	0.104	29.17	29.17	1e-07	4.355e-05	0.00068397	5.12e-06	0.00143702	0.00143702
Teton	0.0	0.0	100.0	0.104	29.17	29.17	0.0	0.0	0.00433257	4.51e-06	0.00126381	0.00126381
Carbon	0.0	0.0	16.0	0.104	29.17	29.17	0.0	0.0	0.00106873	6.95e-06	0.00194843	0.00194843
Weston	0.0	0.0	1.0	0.104	29.17	29.17	0.0	0.0	0.00014353	1.493e-05	0.00418688	0.00418688
Park	0.0	0.0	2.0	0.104	29.17	29.17	0.0	0.0	6.82e-05	3.55e-06	0.00099475	0.00099475
Washakie	0.0	16.968	53.968	0.104	29.17	29.17	0.0	0.00215193	0.00684439	1.319e-05	0.00369943	0.00369943
Fremont	0.402	143.415	426.415	0.104	29.17	29.17	1.017e-05	0.00362791	0.01078685	2.63e-06	0.0007379	0.0007379
Big Horn	0.014	6.102	12.102	0.104	29.17	29.17	1.18e-06	0.00051359	0.0010186	8.75e-06	0.00245518	0.00245518
Hot Springs	0.022	10.01	22.01	0.104	29.17	29.17	4.83e-06	0.00219759	0.00483205	2.283e-05	0.00640395	0.00640395
Sweetwater	1.451	160.622	190.622	0.104	29.17	29.17	3.37e-05	0.00373097	0.00442782	2.42e-06	0.00067757	0.00067757
unassigned	0.0	1.839	17.839	0.104	29.17	29.17	N/A	N/A	N/A	N/A	N/A	N/A
Sheridan	0.0	0.0	16.0	0.104	29.17	29.17	0.0	0.0	0.00052922	3.44e-06	0.00096484	0.00096484
Crook	0.0	0.0	5.0	0.104	29.17	29.17	0.0	0.0	0.00067114	1.396e-05	0.00391544	0.00391544
Niobrara	0.0	0.0	2.0	0.104	29.17	29.17	0.0	0.0	0.00083752	4.355e-05	0.01221524	0.01221524
Campbell	0.007	2.995	33.995	0.104	29.17	29.17	1.5e-07	6.491e-05	0.00073678	2.25e-06	0.00063221	0.00063221
Albany	0.087	37.479	62.479	0.104	29.17	29.17	2.25e-06	0.00097093	0.00161859	2.69e-06	0.00075568	0.00075568
Johnson	0.0	1.127	19.127	0.0	0.0	1.0	0.0	0.00013322	0.00226087	0.0	0.0	0.0001182
Converse	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.00175953	0.0	0.0	0.0
Sublette	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00030572	0.0	0.0	0.0
