Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Queensland	0.069	4.131	1080.131	0.0	0.0	6.0	1e-08	8.1e-07	0.00021199	0.0	0.0	1.18e-06
Western Australia	0.733	43.872	697.872	0.0	0.0	9.0	2.8e-07	1.673e-05	0.00026619	0.0	0.0	3.43e-06
Victoria	132.778	7175.555	14580.555	1.473	71.917	126.917	2.013e-05	0.00108806	0.00221092	2.2e-07	1.091e-05	1.924e-05
External territories	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Australia	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Australian Capital Territory	0.0	0.0	113.0	0.0	0.0	3.0	0.0	0.0	0.00026482	0.0	0.0	7.03e-06
Tasmania	1.874	28.413	257.413	0.0	0.0	13.0	3.51e-06	5.318e-05	0.00048179	0.0	0.0	2.433e-05
New South Wales	6.668	349.245	3989.245	0.0	0.0	49.0	8.2e-07	4.317e-05	0.00049314	0.0	0.0	6.06e-06
South Australia	0.054	3.215	450.215	0.0	0.0	4.0	2e-08	1.23e-06	0.00017173	0.0	0.0	1.53e-06
Jervis Bay Territory	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Northern Territory	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.00012608	0.0	0.0	0.0
