Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-26	30902.942	1259016.942	1048.756	56019.756
2020-06-27	31298.914	1290315.856	1039.114	57058.87
2020-06-28	31411.208	1321727.064	1025.603	58084.473
2020-06-29	31352.048	1353079.112	1010.132	59094.605
2020-06-30	31063.823	1384142.935	990.671	60085.276
2020-07-01	30659.91	1414802.845	967.274	61052.55
2020-07-02	30197.425	1445000.27	942.063	61994.613
2020-07-03	29615.635	1474615.905	916.911	62911.524
2020-07-04	28916.205	1503532.11	891.916	63803.44
2020-07-05	28162.529	1531694.639	868.9	64672.34
2020-07-06	27410.616	1559105.255	847.81	65520.15
2020-07-07	26663.402	1585768.657	826.349	66346.499
2020-07-08	25975.34	1611743.997	802.905	67149.404
2020-07-09	25344.89	1637088.887	777.439	67926.843
2020-07-10	24703.299	1661792.186	750.01	68676.853
2020-07-11	24002.467	1685794.653	720.7	69397.553
2020-07-12	23241.163	1709035.816	691.386	70088.939
2020-07-13	22421.206	1731457.022	662.068	70751.007
2020-07-14	21544.986	1753002.008	633.04	71384.047
2020-07-15	20668.654	1773670.662	604.622	71988.669
2020-07-16	19792.193	1793462.855	577.055	72565.724
2020-07-17	18924.426	1812387.281	549.851	73115.575
2020-07-18	18074.896	1830462.177	523.304	73638.879
2020-07-19	17250.772	1847712.949	497.455	74136.334
2020-07-20	16437.54	1864150.489	472.544	74608.878
2020-07-21	15643.913	1879794.402	448.318	75057.196
2020-07-22	14871.175	1894665.577	425.219	75482.415
2020-07-23	14126.478	1908792.055	403.201	75885.616
2020-07-24	13402.264	1922194.319	382.208	76267.824
2020-07-25	12711.724	1934906.043	361.98	76629.804
2020-07-26	12053.488	1946959.531	342.477	76972.281
2020-07-27	11425.924	1958385.455	323.563	77295.844
2020-07-28	10821.218	1969206.673	305.011	77600.855
2020-07-29	10238.185	1979444.858	286.614	77887.469
2020-07-30	9672.763	1989117.621	268.208	78155.677
2020-07-31	9118.151	1998235.772	249.791	78405.468
2020-08-01	8568.19	2006803.962	231.697	78637.165
2020-08-02	8017.955	2014821.917	214.915	78852.08
2020-08-03	7467.387	2022289.304	200.125	79052.205
2020-08-04	6926.458	2029215.762	187.272	79239.477
2020-08-05	6424.793	2035640.555	176.222	79415.699
2020-08-06	5982.627	2041623.182	166.642	79582.341
2020-08-07	5598.402	2047221.584	157.743	79740.084
2020-08-08	5268.088	2052489.672	148.925	79889.009
2020-08-09	4981.69	2057471.362	140.103	80029.112
2020-08-10	4715.657	2062187.019	131.278	80160.39
2020-08-11	4452.041	2066639.06	122.447	80282.837
2020-08-12	4188.323	2070827.383	113.767	80396.604
2020-08-13	3924.48	2074751.863	105.86	80502.464
2020-08-14	3660.487	2078412.35	98.738	80601.202
2020-08-15	3401.001	2081813.351	92.344	80693.546
2020-08-16	3164.633	2084977.984	86.631	80780.177
2020-08-17	2951.726	2087929.71	81.448	80861.625
2020-08-18	2760.583	2090690.293	76.318	80937.943
2020-08-19	2589.782	2093280.075	71.184	81009.127
2020-08-20	2434.86	2095714.935	66.046	81075.173
2020-08-21	2281.477	2097996.412	60.905	81136.078
2020-08-22	2128.006	2100124.418	55.757	81191.835
2020-08-23	1974.427	2102098.845	50.602	81242.437
2020-08-24	1820.713	2103919.558	45.578	81288.015
2020-08-25	1666.829	2105586.387	40.9	81328.915
2020-08-26	1512.722	2107099.109	36.628	81365.543
2020-08-27	1362.519	2108461.628	32.721	81398.264
2020-08-28	1222.689	2109684.317	29.14	81427.404
2020-08-29	1094.986	2110779.303	25.766	81453.17
2020-08-30	978.187	2111757.49	22.439	81475.609
2020-08-31	871.13	2112628.62	19.093	81494.702
2020-09-01	770.259	2113398.879	15.715	81510.417
2020-09-02	670.798	2114069.677	12.28	81522.697
2020-09-03	570.764	2114640.441	8.719	81531.416
2020-09-04	469.793	2115110.234	5.609	81537.025
2020-09-05	367.109	2115477.343	3.459	81540.484
2020-09-06	260.648	2115737.991	2.18	81542.664
2020-09-07	167.683	2115905.674	1.44	81544.104
2020-09-08	103.405	2116009.079	1.031	81545.135
2020-09-09	65.176	2116074.255	0.796	81545.931
2020-09-10	43.056	2116117.311	0.636	81546.567
2020-09-11	30.835	2116148.146	0.505	81547.072
2020-09-12	23.796	2116171.942	0.395	81547.467
2020-09-13	18.998	2116190.94	0.299	81547.766
2020-09-14	15.099	2116206.039	0.221	81547.987
2020-09-15	11.794	2116217.833	0.0	81547.987
2020-09-16	8.95	2116226.783	0.0	81547.987
2020-09-17	6.593	2116233.376	0.0	81547.987
