Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Guyana	0.048	86.8	203.8	0.0	0.288	10.288	6e-08	0.00011142	0.00026162	0.0	3.7e-07	1.321e-05
Brazil	176.094	273514.764	514594.764	12.429	19305.375	35423.375	8.4e-07	0.00130575	0.00245666	6e-08	9.216e-05	0.00016911
Ecuador	0.0	519.93	33701.93	2.546	3477.877	6213.877	0.0	3.043e-05	0.00197268	1.5e-07	0.00020357	0.00036372
Uruguay	0.0	86.904	820.904	0.0	4.062	24.062	0.0	2.519e-05	0.00023799	0.0	1.18e-06	6.98e-06
Venezuela	0.175	272.078	813.078	0.0	0.0	10.0	1e-08	9.42e-06	2.816e-05	0.0	0.0	3.5e-07
Argentina	7.998	8915.791	16983.791	0.072	219.49	592.49	1.8e-07	0.00020038	0.00038171	0.0	4.93e-06	1.332e-05
Belize	0.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0	4.699e-05	0.0	0.0	5.22e-06
Bolivia	4.061	5546.567	9634.567	0.131	202.983	371.983	3.6e-07	0.00048855	0.00084863	1e-08	1.788e-05	3.276e-05
Colombia	12.903	17622.348	33196.348	0.089	404.585	978.585	2.6e-07	0.00035494	0.00066862	0.0	8.15e-06	1.971e-05
Suriname	0.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	1.736e-05	0.0	0.0	1.74e-06
Peru	25.565	77879.292	170152.292	1.075	2417.039	5065.039	8e-07	0.00243455	0.00531904	3e-08	7.556e-05	0.00015834
Grenada	0.0	1.125	23.125	1.075	2417.039	2417.039	0.0	1.009e-05	0.00020748	9.65e-06	0.02168643	0.02168643
Barbados	0.003	9.339	97.339	0.0	0.0	7.0	1e-08	3.258e-05	0.00033959	0.0	0.0	2.442e-05
Curacao	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.26e-06	0.0	0.0	0.0
Chile	45.87	56245.014	100026.014	0.969	688.421	1138.421	2.45e-06	0.00300307	0.00534066	5e-08	3.676e-05	6.078e-05
Aruba	0.0	0.0	4.0	0.969	688.421	688.421	0.0	0.0	3.779e-05	9.15e-06	0.00650405	0.00650405
