Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Guyana	3.658	72.991	408.991	0.85	11.201	30.201	4.7e-06	9.37e-05	0.00052502	1.09e-06	1.438e-05	3.877e-05
Brazil	20408.689	476433.052	2574822.052	686.467	15010.371	94498.371	9.743e-05	0.00227448	0.01229212	3.28e-06	7.166e-05	0.00045113
Ecuador	644.161	14085.304	88098.304	27.796	596.922	5909.922	3.77e-05	0.00082446	0.00515666	1.63e-06	3.494e-05	0.00034593
Uruguay	4.646	96.141	1150.141	0.739	10.88	43.88	1.35e-06	2.787e-05	0.00033344	2.1e-07	3.15e-06	1.272e-05
Venezuela	221.421	4841.622	16732.622	2.3	50.293	162.293	7.67e-06	0.0001677	0.00057958	8e-08	1.74e-06	5.62e-06
Argentina	2466.163	51964.844	178719.844	40.679	841.749	3101.749	5.543e-05	0.00116789	0.00401667	9.1e-07	1.892e-05	6.971e-05
Belize	0.6	13.356	53.356	0.0	0.0	2.0	1.57e-06	3.487e-05	0.00013928	0.0	0.0	5.22e-06
Bolivia	1003.521	21145.32	80727.32	30.069	691.48	2842.48	8.839e-05	0.00186251	0.00711057	2.65e-06	6.091e-05	0.00025037
Colombia	4793.662	95641.581	292919.581	126.147	2758.349	9494.349	9.655e-05	0.00192637	0.00589985	2.54e-06	5.556e-05	0.00019123
Suriname	20.287	427.475	1456.475	0.322	5.001	26.001	3.522e-05	0.00074216	0.00252864	5.6e-07	8.68e-06	4.514e-05
Peru	2590.851	54592.152	408182.152	121.307	2652.511	15839.511	8.099e-05	0.00170658	0.01275998	3.79e-06	8.292e-05	0.00049515
Grenada	0.0	0.0	23.0	121.307	2652.511	2652.511	0.0	0.0	0.00020636	0.0010884	0.02379915	0.02379915
Barbados	0.475	10.378	115.378	0.0	0.0	7.0	1.66e-06	3.621e-05	0.00040252	0.0	0.0	2.442e-05
Curacao	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.26e-06	0.0	0.0	0.0
Chile	1417.945	33602.262	364532.262	87.484	1878.758	10381.758	7.571e-05	0.00179411	0.01946335	4.67e-06	0.00010031	0.00055431
Aruba	0.0	0.0	4.0	87.484	1878.758	1878.758	0.0	0.0	3.779e-05	0.00082653	0.01775009	0.01775009
