Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
East Timor	5.411	4.27e-06	63.334	4.995e-05	0.021	2e-08	0.064	5e-08
Sao Tome and Principe	0.01	5e-08	0.019	9e-08	0.0	0.0	0.0	0.0
Guernsey	0.007	1.1e-07	0.255	3.8e-06	0.0	0.0	0.001	1e-08
Vatican	0.0	0.0	0.0	5e-08	0.0	0.0	0.0	0.0
Saint Kitts and Nevis	0.009	1.8e-07	0.071	1.35e-06	0.0	0.0	0.0	0.0
Ethiopia	15956.963	0.00014609	691296.832	0.00632913	247.076	2.26e-06	2334.864	2.138e-05
Aruba	0.015	1.4e-07	0.649	6.13e-06	0.0	0.0	0.002	2e-08
Swaziland	2.061	1.81e-06	73.078	6.432e-05	0.027	2e-08	0.226	2e-07
Argentina	341.681	7.68e-06	125482.294	0.00282018	15.888	3.6e-07	688.316	1.547e-05
Bolivia	111.227	9.8e-06	7719.151	0.00067991	2.603	2.3e-07	30.465	2.68e-06
Cameroon	246.917	9.79e-06	39863.38	0.00158086	8.231	3.3e-07	202.801	8.04e-06
Burkina Faso	286.153	1.449e-05	23649.719	0.00119736	7.373	3.7e-07	99.581	5.04e-06
Saudi Arabia	147.003	4.36e-06	72129.712	0.00214035	7.35	2.2e-07	402.202	1.193e-05
Slovenia	1.291	6.2e-07	269.239	0.00013023	0.048	2e-08	1.411	6.8e-07
Guatemala	474.917	2.753e-05	16840.29	0.00097637	6.238	3.6e-07	52.061	3.02e-06
Bosnia and Herzegovina	3.337	1e-06	695.992	0.00020939	0.123	4e-08	3.647	1.1e-06
Guinea	206.137	1.66e-05	8930.375	0.00071936	3.192	2.6e-07	30.162	2.43e-06
Jordan	17.107	1.72e-06	6282.616	0.00063104	0.795	8e-08	34.462	3.46e-06
Liberia	50.099	1.04e-05	1234.435	0.00025616	0.475	1e-07	3.096	6.4e-07
Jamaica	7.433	2.53e-06	515.835	0.00017576	0.174	6e-08	2.036	6.9e-07
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Monaco	0.0	0.0	0.095	2.46e-06	0.0	0.0	0.001	1e-08
Yemen	35.043	1.23e-06	35.043	1.23e-06	0.0	0.0	0.0	0.0
Jersey	0.015	1.6e-07	0.539	5.52e-06	0.0	0.0	0.002	2e-08
Albania	5.317	1.86e-06	503.388	0.00017562	0.151	5e-08	2.248	7.8e-07
Uruguay	18.994	5.51e-06	673.509	0.00019526	0.249	7e-08	2.082	6e-07
Azerbaijan	8.53	8.6e-07	6286.691	0.00063232	0.512	5e-08	35.519	3.57e-06
Saint Vincent and the Grenadines	0.019	1.8e-07	0.688	6.24e-06	0.0	0.0	0.002	2e-08
Republic of Serbia	18.93	2.71e-06	3056.214	0.00043772	0.631	9e-08	15.548	2.23e-06
Kenya	3532.789	6.874e-05	153049.556	0.00297802	54.701	1.06e-06	516.927	1.006e-05
Turkey	5847.709	7.104e-05	405831.012	0.00492994	136.836	1.66e-06	1601.688	1.946e-05
Czech Republic	9.743	9.2e-07	7180.59	0.00067578	0.585	6e-08	40.57	3.82e-06
