Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.658	195.89	534.89	0.066	13.397	27.397	2.24e-06	0.0006673	0.0018221	2.2e-07	4.564e-05	9.333e-05
Somerset	0.721	102.132	115.132	0.066	13.397	13.397	1.425e-05	0.00201874	0.0022757	1.3e-06	0.0002648	0.0002648
Lincoln	0.012	3.499	15.499	0.066	13.397	13.397	3.5e-07	0.00010189	0.00045131	1.92e-06	0.00039011	0.00039011
Penobscot	0.0	10.604	46.604	0.0	8.764	8.764	0.0	7.018e-05	0.00030844	0.0	5.8e-05	5.8e-05
Washington	0.083	24.608	26.608	0.066	13.397	13.397	2.64e-06	0.00078145	0.00084497	2.1e-06	0.00042544	0.00042544
Oxford	0.0	1.758	14.758	0.0	8.136	8.136	0.0	3.051e-05	0.00025614	0.0	0.00014121	0.00014121
Piscataquis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sagadahoc	0.0	4.713	19.713	0.0	0.0	1.0	0.0	0.00013226	0.00055321	0.0	0.0	2.806e-05
Kennebec	0.485	115.388	208.388	0.165	49.22	52.22	3.97e-06	0.00094516	0.00170694	1.35e-06	0.00040317	0.00042774
Androscoggin	0.0	12.436	43.436	0.0	48.272	48.272	0.0	0.00011549	0.00040338	0.0	0.0004483	0.0004483
Unassigned	0.152	37.789	39.789	0.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
Franklin	0.028	8.198	17.198	0.0	0.0	0.0	9.4e-07	0.00027421	0.00057524	0.0	0.0	0.0
Hancock	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	9.122e-05	0.0	0.0	0.0
Aroostook	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.98e-05	0.0	0.0	0.0
Knox	0.019	5.686	17.686	0.0	0.0	0.0	4.8e-07	0.00014297	0.0004447	0.0	0.0	0.0
York	0.013	102.353	258.353	0.011	6.133	10.133	6e-08	0.00049631	0.00125275	5e-08	2.974e-05	4.913e-05
Waldo	18.065	1444.948	1474.948	0.0	0.0	2.0	0.00045511	0.03640218	0.03715796	0.0	0.0	5.039e-05
