Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-02-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-02-28	1822.825	8.7e-06	1822.825	8.7e-06	10.937	5e-08	10.937	5e-08
2020-02-29	1822.825	8.7e-06	3645.649	1.74e-05	10.937	5e-08	21.874	1e-07
2020-03-01	1822.825	8.7e-06	5468.474	2.611e-05	10.937	5e-08	32.811	1.6e-07
2020-03-02	3645.649	1.74e-05	9114.123	4.351e-05	21.874	1e-07	54.685	2.6e-07
2020-03-03	9114.123	4.351e-05	18228.246	8.702e-05	54.685	2.6e-07	109.369	5.2e-07
2020-03-04	14582.597	6.962e-05	32810.842	0.00015664	87.496	4.2e-07	196.865	9.4e-07
2020-03-05	20051.07	9.572e-05	52861.912	0.00025236	120.306	5.7e-07	317.171	1.51e-06
2020-03-06	27342.368	0.00013053	80204.281	0.00038289	164.054	7.8e-07	481.226	2.3e-06
2020-03-07	43747.79	0.00020885	123952.07	0.00059174	262.487	1.25e-06	743.712	3.55e-06
2020-03-08	65621.684	0.00031328	189573.755	0.00090502	393.73	1.88e-06	1137.443	5.43e-06
2020-03-09	91141.228	0.00043511	280714.983	0.00134012	546.847	2.61e-06	1684.29	8.04e-06
2020-03-10	111192.298	0.00053083	391907.281	0.00187095	667.154	3.18e-06	2351.444	1.123e-05
2020-03-11	125774.895	0.00060045	517682.176	0.0024714	754.649	3.6e-06	3106.093	1.483e-05
2020-03-12	134889.018	0.00064396	652571.194	0.00311535	809.334	3.86e-06	3915.427	1.869e-05
2020-03-13	142180.316	0.00067876	794751.51	0.00379412	853.082	4.07e-06	4768.509	2.276e-05
2020-03-14	144003.141	0.00068747	938754.65	0.00448159	864.019	4.12e-06	5632.528	2.689e-05
2020-03-15	145825.965	0.00069617	1084580.615	0.00517775	874.956	4.18e-06	6507.484	3.107e-05
2020-03-16	147648.79	0.00070487	1232229.405	0.00588262	885.893	4.23e-06	7393.376	3.53e-05
2020-03-17	145825.965	0.00069617	1378055.37	0.00657879	874.956	4.18e-06	8268.332	3.947e-05
2020-03-18	144003.141	0.00068747	1522058.511	0.00726626	864.019	4.12e-06	9132.351	4.36e-05
2020-03-19	142180.316	0.00067876	1664238.827	0.00794502	853.082	4.07e-06	9985.433	4.767e-05
2020-03-20	133066.193	0.00063525	1797305.02	0.00858028	798.397	3.81e-06	10783.83	5.148e-05
2020-03-21	129420.544	0.00061785	1926725.564	0.00919813	776.523	3.71e-06	11560.353	5.519e-05
2020-03-22	122129.246	0.00058304	2048854.81	0.00978117	732.775	3.5e-06	12293.129	5.869e-05
2020-03-23	105723.825	0.00050472	2154578.634	0.01028589	634.343	3.03e-06	12927.472	6.172e-05
2020-03-24	91141.228	0.00043511	2245719.862	0.010721	546.847	2.61e-06	13474.319	6.433e-05
2020-03-25	78381.456	0.00037419	2324101.319	0.01109519	470.289	2.25e-06	13944.608	6.657e-05
2020-03-26	67444.509	0.00032198	2391545.827	0.01141716	404.667	1.93e-06	14349.275	6.85e-05
2020-03-27	56507.561	0.00026977	2448053.389	0.01168693	339.045	1.62e-06	14688.32	7.012e-05
2020-03-28	45570.614	0.00021755	2493624.003	0.01190448	273.424	1.31e-06	14961.744	7.143e-05
2020-03-29	36456.491	0.00017404	2530080.494	0.01207852	218.739	1.04e-06	15180.483	7.247e-05
2020-03-30	30988.018	0.00014794	2561068.512	0.01222646	185.928	8.9e-07	15366.411	7.336e-05
2020-03-31	27342.368	0.00013053	2588410.88	0.01235699	164.054	7.8e-07	15530.465	7.414e-05
2020-04-01	23696.719	0.00011313	2612107.6	0.01247012	142.18	6.8e-07	15672.646	7.482e-05
2020-04-02	20051.07	9.572e-05	2632158.67	0.01256584	120.306	5.7e-07	15792.952	7.54e-05
2020-04-03	16405.421	7.832e-05	2648564.091	0.01264416	98.433	4.7e-07	15891.385	7.586e-05
2020-04-04	12759.772	6.091e-05	2661323.863	0.01270508	76.559	3.7e-07	15967.943	7.623e-05
2020-04-05	9114.123	4.351e-05	2670437.986	0.01274859	54.685	2.6e-07	16022.628	7.649e-05
2020-04-06	7291.298	3.481e-05	2677729.284	0.0127834	43.748	2.1e-07	16066.376	7.67e-05
2020-04-07	5468.474	2.611e-05	2683197.758	0.0128095	32.811	1.6e-07	16099.187	7.686e-05
2020-04-08	3645.649	1.74e-05	2686843.407	0.01282691	21.874	1e-07	16121.06	7.696e-05
2020-04-09	1822.825	8.7e-06	2688666.231	0.01283561	10.937	5e-08	16131.997	7.701e-05
2020-04-10	2688666.231	0.01283561	5377332.463	0.02567122	16131.997	7.701e-05	32263.995	0.00015403
