Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Choctaw	0.045	7.134	18.134	0.0	0.0	1.0	5.44e-06	0.0008618	0.00219063	0.0	0.0	0.0001208
Jones	4.743	342.112	384.112	0.0	0.0	0.0	6.928e-05	0.00499718	0.00561067	0.0	0.0	0.0
Pike	5.545	399.927	471.927	0.15	23.616	25.616	0.00014016	0.01010861	0.01192849	3.79e-06	0.00059692	0.00064747
Wayne	0.0	0.0	9.0	0.15	23.616	23.616	0.0	0.0	0.00044339	7.39e-06	0.00116346	0.00116346
Oktibbeha	0.242	38.0	79.0	0.0	0.0	1.0	4.88e-06	0.00076614	0.00159277	0.0	0.0	2.016e-05
Montgomery	0.039	9.138	24.138	0.0	0.0	1.0	3.89e-06	0.0009117	0.00240826	0.0	0.0	9.977e-05
Rankin	0.579	90.903	203.903	0.0	0.0	2.0	3.76e-06	0.00059066	0.00132489	0.0	0.0	1.3e-05
Webster	0.0	1.37	15.37	0.0	0.0	1.0	0.0	0.00013997	0.00157029	0.0	0.0	0.00010217
Jefferson Davis	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.00062311	0.0	0.0	8.902e-05
Attala	0.105	16.477	41.477	0.0	0.0	0.0	5.72e-06	0.0008972	0.00225848	0.0	0.0	0.0
George	0.281	25.129	33.129	0.0	0.0	0.0	1.159e-05	0.00103625	0.00136614	0.0	0.0	0.0
Lincoln	2.298	227.426	308.426	0.0	0.0	4.0	6.718e-05	0.00664891	0.00901699	0.0	0.0	0.00011694
Kemper	0.0	1.004	16.004	0.0	0.0	0.0	0.0	0.00010013	0.00159609	0.0	0.0	0.0
Quitman	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.00184371	0.0	0.0	0.0
Hinds	3.038	409.785	689.785	0.0	0.0	4.0	1.281e-05	0.00172843	0.00290944	0.0	0.0	1.687e-05
Lee	0.282	44.295	90.295	0.152	15.757	19.757	3.31e-06	0.00051988	0.00105978	1.78e-06	0.00018494	0.00023188
Washington	0.38	59.622	121.622	0.0	0.0	2.0	8.43e-06	0.00132308	0.00269893	0.0	0.0	4.438e-05
Alcorn	0.02	3.146	10.146	0.0	0.0	0.0	5.4e-07	8.52e-05	0.00027477	0.0	0.0	0.0
Leake	0.508	71.632	111.632	0.0	0.0	1.0	2.232e-05	0.00314686	0.0049041	0.0	0.0	4.393e-05
Desoto	0.876	140.379	339.379	0.03	4.725	7.725	4.81e-06	0.00077131	0.00186471	1.6e-07	2.596e-05	4.244e-05
Yalobusha	0.08	12.595	26.595	0.03	4.725	4.725	6.46e-06	0.00101638	0.00214614	2.42e-06	0.00038129	0.00038129
Tallahatchie	0.0	0.626	6.626	0.0	3.561	3.561	0.0	4.476e-05	0.00047373	0.0	0.00025459	0.00025459
Jefferson	0.0	0.0	4.0	0.0	1.515	1.515	0.0	0.0	0.0005629	0.0	0.0002132	0.0002132
Newton	0.093	14.591	28.591	0.03	4.725	4.725	4.34e-06	0.00068046	0.00133335	1.4e-06	0.00022035	0.00022035
Smith	0.553	70.919	106.919	0.0	0.0	1.0	3.456e-05	0.00443188	0.0066816	0.0	0.0	6.249e-05
Covington	0.211	33.063	52.063	0.0	0.0	0.0	1.119e-05	0.00175373	0.00276152	0.0	0.0	0.0
Panola	0.0	8.197	34.197	0.0	3.561	5.561	0.0	0.00023983	0.00100056	0.0	0.00010419	0.00016271
Monroe	1.734	163.336	209.336	0.0	0.0	2.0	4.876e-05	0.00459273	0.00588618	0.0	0.0	5.624e-05
Lamar	1.849	174.092	222.092	0.0	0.0	1.0	2.961e-05	0.00278784	0.00355649	0.0	0.0	1.601e-05
Lawrence	0.041	6.505	13.505	0.0	0.0	0.0	3.29e-06	0.00052228	0.0010843	0.0	0.0	0.0
Marion	0.265	41.668	75.668	0.0	0.0	0.0	1.072e-05	0.00168594	0.00306162	0.0	0.0	0.0
Benton	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.00060452	0.0	0.0	0.0
Simpson	0.0	1.498	13.498	0.0	0.0	0.0	0.0	5.598e-05	0.00050445	0.0	0.0	0.0
Madison	0.665	104.443	216.443	0.0	0.0	3.0	6.3e-06	0.00098876	0.00204907	0.0	0.0	2.84e-05
Wilkinson	0.37	58.052	109.052	0.0	0.0	3.0	4.208e-05	0.00660282	0.01240355	0.0	0.0	0.00034122
Bolivar	0.0	23.805	93.805	0.0	2.204	7.204	0.0	0.00075974	0.00299381	0.0	7.034e-05	0.00022992
Scott	0.862	126.171	205.171	0.0	2.224	2.224	3.047e-05	0.00446039	0.00725319	0.0	7.862e-05	7.862e-05
