Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Georgetown	0.004	50.828	83.828	0.001	25.337	27.337	6e-08	0.00081653	0.00134666	2e-08	0.00040703	0.00043916
McCormick	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.00042508	0.0	0.0	0.00010627
Richland	0.023	774.265	1322.265	0.011	17.681	29.681	6e-08	0.00186761	0.00318944	3e-08	4.265e-05	7.159e-05
Berkeley	0.003	116.677	217.677	0.0	0.0	3.0	1e-08	0.00052773	0.00098456	0.0	0.0	1.357e-05
Clarendon	0.0	75.259	165.259	0.0	7.405	13.405	0.0	0.0022332	0.00490383	0.0	0.00021973	0.00039777
Cherokee	0.0	0.0	8.0	0.0	7.41	7.41	0.0	0.0	0.00014016	0.0	0.00012982	0.00012982
Beaufort	0.0	26.312	231.312	0.0	3.366	10.366	0.0	0.00013943	0.00122572	0.0	1.784e-05	5.493e-05
Fairfield	0.0	11.987	35.987	0.0	3.427	3.427	0.0	0.00053509	0.00160642	0.0	0.00015298	0.00015298
Barnwell	0.0	5.073	10.073	0.0	3.427	3.427	0.0	0.00024029	0.00047712	0.0	0.00016232	0.00016232
Horry	0.021	286.194	436.194	0.02	22.598	30.598	6e-08	0.0008316	0.00126746	6e-08	6.566e-05	8.891e-05
Abbeville	1.151	395.599	405.599	0.02	22.598	22.598	4.69e-05	0.01611992	0.0165274	8.1e-07	0.00092083	0.00092083
Lee	0.001	47.641	81.641	0.0	0.0	3.0	6e-08	0.0027792	0.00476263	0.0	0.0	0.00017501
Laurens	0.001	27.028	41.028	0.0	0.0	1.0	1e-08	0.00040344	0.00061241	0.0	0.0	1.493e-05
Sumter	0.007	238.416	399.416	0.007	10.609	15.609	7e-08	0.0022384	0.00374996	7e-08	9.96e-05	0.00014655
Dillon	0.106	80.832	87.832	0.007	10.609	10.609	3.46e-06	0.00264165	0.00287042	2.3e-07	0.00034671	0.00034671
Marlboro	0.002	36.271	51.271	0.007	10.609	10.609	8e-08	0.00137401	0.00194223	2.7e-07	0.00040189	0.00040189
Saluda	0.0	7.097	15.097	0.0	10.4	10.4	0.0	0.00034545	0.00073486	0.0	0.00050623	0.00050623
Chesterfield	0.001	36.042	64.042	0.007	10.609	10.609	2e-08	0.00078773	0.0013997	1.5e-07	0.00023187	0.00023187
Lexington	0.03	405.47	623.47	0.031	35.05	43.05	1e-07	0.00137433	0.00211323	1.1e-07	0.0001188	0.00014592
Marion	0.0	12.61	20.61	0.0	0.0	1.0	0.0	0.00040626	0.000664	0.0	0.0	3.222e-05
Oconee	0.001	22.785	36.785	0.0	0.0	0.0	1e-08	0.00029072	0.00046935	0.0	0.0	0.0
Newberry	0.01	36.785	52.785	0.0	0.0	1.0	2.6e-07	0.00095496	0.00137033	0.0	0.0	2.596e-05
Calhoun	0.0	1.49	6.49	0.0	0.0	1.0	0.0	0.00010262	0.00044697	0.0	0.0	6.887e-05
Florence	0.136	248.684	335.684	0.075	47.737	54.737	9.8e-07	0.00179998	0.00242969	5.4e-07	0.00034552	0.00039619
Greenville	1.13	1423.41	1823.41	0.568	291.774	302.774	2.2e-06	0.00276813	0.00354602	1.1e-06	0.00056742	0.00058881
Kershaw	0.0	56.153	243.153	0.0	4.091	11.091	0.0	0.0008561	0.00370705	0.0	6.237e-05	0.00016909
Dorchester	0.003	89.421	167.421	0.0	0.0	1.0	2e-08	0.00055663	0.00104217	0.0	0.0	6.22e-06
Edgefield	0.034	42.543	52.543	0.0	0.0	0.0	1.26e-06	0.00157264	0.0019423	0.0	0.0	0.0
